ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page327

<overview>
このページは「6.2 パラメーター一覧」の一部であり、「2. 全軸共通パラメーター（XSEL-RA/SA）」に関する内容です。  
構成は主に表形式で、パラメーター番号、名称、初期値、入力範囲、単位、備考・考察が列挙されています。  
テキストはパラメーターの説明や関連情報、ビットごとの詳細な意味が記載されています。  
図やグラフはなく、表のみで構成されています。
</overview>

<contents>
### 表
#### 全軸共通パラメーター（XSEL-RA/SA）

| No. | パラメーター名称 | 初期値（参考） | 入力範囲 | 単位 | 備考・考察 |
| :--- | :--- | :---: | :--- | :--- | :--- |
| 124 | ビジョンシステム I/F1 座標オフセット角度 | 0 | -99,999,999 ～ 99,999,999 | 0.001deg | ロボット座標を基準としたビジョンシステム I/F1 座標の回転角度<br>※ビジョンシステム I/F 調整時に設定される。 |
| 125 | ビジョンシステム I/F1 Z軸方向ビジョンシステム位置判定基準 | 0 | -99,999,999 ～ 99,999,999 | 0.001mm | 関連情報：全軸パラメーターNo.130<br>“ビジョンシステム I/F1 コントロール 2” |
| 126 | ビジョンシステム I/F1 X軸（GTVD取得データ）補正オフセット | 0 | -99,999 ～ 99,999 | 0.001mm |  |
| 127 | ビジョンシステム I/F1 Y軸（GTVD取得データ）補正オフセット | 0 | -99,999 ～ 99,999 | 0.001mm |  |
| 128 | ビジョンシステム I/F1 R軸（GTVD取得データ）補正オフセット | 0 | -360,000 ～ 360,000 | 0.001deg |  |
| 129 | ビジョンシステム I/F1 コントロール 1 | 0h | 0h ～ FFFFFFFFh | － | ビット0-3：システム予約<br>ビット4-11：システム予約<br>ビット12-19：システム予約<br>ビット20-23：R軸補正符号反転<br>0：符号反転しない<br>1：符号反転する<br>ビット24-31：予備 |
| 130 | ビジョンシステム I/F1 コントロール 2 | 0h | 0h ～ FFFFFFFFh | － | ビット0-7：Z軸方向位置判定基準距離（0.1mm）<br>（ロボット設置時、「0」の時は無効）<br>ビット8-11：ビジョン設置種類<br>0：固定設置（非ロボット上）<br>1：ロボット上に設置<br>※ビジョンシステム I/F 調整時に設定される。<br>ビット12-31：予備 |
| 131～140 | （拡張用） | － | － | － |  |
| 141～150 | システム予約（変更禁止） | 0 | － | － |  |
| 151 | 拡張モーション制御設定 | 0h | 0h ～ FFFFFFFFh | － | ビット0-3：拡張モーション制御機能使用選択<br>0：不使用<br>1：使用<br>ビット4-31：拡張用 |
| 152～199 | （拡張用） | 0 | － | － |  |

</contents>
