ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page303

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する詳細な表形式の一覧が掲載されています。ページ構成は主に表部分で構成されており、各パラメーターのNo.、名称、初期値、入力範囲、単位、備考が列挙されています。テキストやグラフは含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（抜粋）

| No.  | パラメーター名称                          | 初期値（参考） | 入力範囲           | 単位 | 備考                                                                                              |
| :--- | :-------------------------------------- | :------------- | :----------------- | :--- | :------------------------------------------------------------------------------------------------ |
| 126  | ネットワーク属性 7                       | 7D007D0h       | 0h～FFFFFFFFh      | —    | システム予約                                                                                      |
| 127  | ネットワーク属性 8                       | 5050214h       | 0h～FFFFFFFFh      | —    | イーサネット TCP/IP メッセージ通信属性<br>ビット0-7：CONNECT_TIMEOUT（変更禁止）（0禁止）[s]<br>ビット8-15：Connectionリトライ間隔（IAIプロトコルB/TCP）[s]<br>ビット16-23：Sendタイムアウト値[s]<br>ビット24-31：IAIプロトコルB-SIO無通信確認タイマー値[s]（IAIプロトコルB/TCP接続トリガー） |
| 128  | ネットワーク属性 9                       | 10000h        | 0h～FFFFFFFFh      | —    | イーサネット TCP/IP メッセージ通信属性<br>ビット0-15：SELサーバーオープンタイムアウト値[s]（0時タイムアウトチェックなし）<br>ビット16-23：変更禁止 |
| 129  | ネットワーク属性 10                      | 0h            | 0h～FFFFFFFFh      | —    | イーサネット動作規定<br>ビット0-3：システム予約<br>ビット4-7：TCP/IPメッセージ通信（0：使用しない、1：使用する）<br>ビット8-31：予約（動作規定） |
| 130  | I/Oフィールドバス 自MACアドレス（H）    | 0h            | 参照のみ（HEX）    | —    | 下位2バイトのみ有効                                                                               |
| 131  | I/Oフィールドバス 自MACアドレス（L）    | 0h            | 参照のみ（HEX）    | —    | —                                                                                                |
| 132  | I/Oフィールドバス 自IPアドレス（H）     | 192           | 1～255             | —    | ※0、および127は設定禁止                                                                          |
| 133  | I/Oフィールドバス 自IPアドレス（MH）    | 168           | 0～255             | —    | —                                                                                                |
| 134  | I/Oフィールドバス 自IPアドレス（ML）    | 0             | 0～255             | —    | —                                                                                                |
| 135  | I/Oフィールドバス 自IPアドレス（L）     | 1             | 1～254             | —    | ※0、および255は設定禁止                                                                          |
| 136  | I/Oフィールドバス サブネットマスク（H） | 255           | 0～255             | —    | —                                                                                                |
| 137  | I/Oフィールドバス サブネットマスク（MH）| 255           | 0～255             | —    | —                                                                                                |
| 138  | I/Oフィールドバス サブネットマスク（ML）| 255           | 0～255             | —    | —                                                                                                |
| 139  | I/Oフィールドバス サブネットマスク（L） | 0             | 0～255             | —    | —                                                                                                |
| 140  | I/Oフィールドバス デフォルトゲートウェイ（H） | 0             | 0～255             | —    | —                                                                                                |
| 141  | I/Oフィールドバス デフォルトゲートウェイ（MH）| 0             | 0～255             | —    | —                                                                                                |
| 142  | I/Oフィールドバス デフォルトゲートウェイ（ML）| 0             | 0～255             | —    | —                                                                                                |
| 143  | I/Oフィールドバス デフォルトゲートウェイ（L） | 0             | 0～255             | —    | —                                                                                                |
| 144  | IAIプロトコルB/TCP自ポート番号（MANUモード） | 64,511        | 1,025～65,535      | —    | ※要注意：各自ポート番号は必ず異なる番号を設定すること（IAIプロトコルB/TCP自ポート番号MANUモード/AUTOモード用のみ同一番号許可） |
| 145  | ユーザー開放チャンネル31（TCP/IP）自ポート番号 | 64,512        | 1,025～65,535      | —    | ※要注意：各自ポート番号は必ず異なる番号を設定すること（IAIプロトコルB/TCP自ポート番号MANUモード/AUTOモード用のみ同一番号許可） |

</contents>
