ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page328

<overview>
本ページは「6.2 パラメーター一覧」の一部で、「2. 全軸共通パラメーター（XSEL-RAX/SAX、RAXD/SAXD）」に関する内容です。  
構成は以下の通りです。  
- テキスト部分：パラメーターの説明や備考  
- 表部分：パラメーターの一覧表（No.、パラメーター名称、初期値、入力範囲、単位、備考）  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 全軸共通パラメーター（XSEL-RAX/SAX、RAXD/SAXD）
各パラメーターの名称、初期値、入力範囲、単位、及び備考が表形式で示されています。  
備考欄にはパラメーターの使用条件や注意点、動作内容の詳細が記載されています。

### 表
#### パラメーター一覧（抜粋）

| No. | パラメーター名称                         | 初期値（参考） | 入力範囲          | 単位   | 備考                                                                                                   |
| :-- | :------------------------------------- | :------------- | :---------------- | :----- | :----------------------------------------------------------------------------------------------------- |
| 1   | 有効軸パターン                         | 0b             | 0b～11111111b     | －     | OFFビット：ドライバー非実装の設定。スカラ軸は該当ユニット軸全ビットがONの場合のみ有効。                 |
| 2   | オーバーライド初期値                   | 100            | 1～100            | －     | プログラム内でオーバーライドを指定していない場合に使用。SIOから動作させる場合は作用しない。標準・拡張モーション軸とも有効。 |
| 3～8 | （拡張用）                             | 0              | －                 | －     | －                                                                                                     |
| 9   | システム予約（変更禁止）               | 11111111B      | －                 | －     | －                                                                                                     |
| 10  | システム予約（変更禁止）               | 0              | －                 | －     | －                                                                                                     |
| 11  | スカラ軸 CP 加速度初期値               | 10             | 1～200             | 0.01G  | ポジションデータ・プログラム・SIO伝文で指定されない時などに使用。                                       |
| 12  | スカラ軸 CP 減速度初期値               | 10             | 1～200             | 0.01G  | ポジションデータ・プログラム・SIO伝文で指定されない時などに使用。                                       |
| 13  | スカラ軸 CP 速度初期値                 | 30             | 1～250             | mm/s   | SIO伝文・ポジションデータ指定されない時などに使用。                                                   |
| 14  | 動作ポジションデータ減速度0有効選択   | 0              | 0～5               | －     | 0：動作ポジションデータ減速度0時、減速度＝加速度<br>1：動作ポジションデータ減速度0時、減速度＝0データと見なす |
| 15  | 座標未確定/原点復帰未完了時直動軸JOG速度MAX | 30             | 1～250             | mm/s   | 注意：直動軸にかぎり有効。                                                                             |
| 16～18 | システム予約（変更禁止）             | 0              | －                 | －     | －                                                                                                     |
| 19  | 定常（非押付け）トルクリミットオーバー時処理種類 | 0              | 0～9               | －     | 0：動作解除レベルエラー（推奨）<br>1：動作キャンセル（SEL命令出力部はOFF）<br>過負荷などドライバーエラー優先<br>軸別パラメーターNo.167が0以外の場合、本設定によらず強制的に動作解除レベルエラー |
| 20  | システム予約（変更禁止）               | 1              | 0～1               | －     | －                                                                                                     |
| 21  | スカラ軸 CP 速度MAX（第1～4軸）       | 3,000          | 1～9,999           | mm/s   | 機構により異なる                                                                                       |
| 22  | スカラ軸 CP 加速度MAX（第1～4軸）     | 200            | 1～999             | 0.01G  | 機構により異なる                                                                                       |
| 23  | スカラ軸 CP 減速度MAX（第1～4軸）     | 200            | 1～999             | 0.01G  | 機構により異なる                                                                                       |
| 24  | スカラ軸 CP 緊急減速度MIN（第1～4軸） | 50             | 1～999             | 0.01G  | －                                                                                                     |
| 25～27 | システム予約（変更禁止）             | 0              | －                 | －     | －                                                                                                     |
| 28  | インチング→ジョグ自動切換禁止選択     | 0              | 0～5               | －     | 0：自動切換実行（ボタン連続ONタイマー）<br>1：禁止<br>PC・TPが参照<br>直動軸のみ有効                       |

</contents>
