ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page447

<overview>
本ページは「7.3 エラー表」の一部であり、主に表形式で構成されています。内容はエラーNo.、エラー名称、及びそれぞれのエラーの内容・原因・対処方法を示すエラー一覧表です。テキスト部分は表の説明文が少量含まれています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                           |
| :------- | :----------------------------------- | :------------------------------------------------------------------------------------------------------------- |
| 6B5      | ベルト破断エラー                     | アクチュエーター内の駆動用ベルトが破断しました。                                                             |
| 6B6      | 連続運転可能トルク超過許容時間オーバーエラー | トルク指令が“連続運転可能トルク”を超える状態が、“連続運転可能トルク超過許容時間”以上継続しました。           |
| 6B7      | ハード未サポートエンコーダーエラー | FPGAが未サポートのエンコーダーです。FPGAの対応バージョンを確認してください。                                 |
| 6B8      | ドライバー未サポートエンコーダーエラー | ドライバー一部が未サポートのエンコーダーです。ドライバー部の対応バージョンを確認してください。               |
| 6B9      | エンコーダー多回転データリセット時サーボONエラー | サーボON中の多回転データリセットが許可されていないエンコーダーに対して、多回転データリセットを試みました。サーボOFFしてください。 |
| 6BA      | エンコーダーカウント不定要因検出エラー | エンコーダーカウントが不定となるエラーを検出しました。                                                       |
| 6BB      | 偏差オーバーフローエラー（原点復帰未完了時） | 指令に追従できません。動作の拘束・配線・エンコーダー・モーターなどを確認してください。電気角が不整合の可能性があります。 |
| 6BC      | 停止偏差オーバーフローエラー（原点復帰未完了時） | 停止中に外力により動いたか、減速中に動作が拘束された可能性があります。ジョグ動作中の動作拘束（障害物接触や、原点復帰前ジョグロックエンコ接触など）や、減速中の配線異常・エンコーダー故障・モーター故障の場合も発生する可能性があります。電気角が不整合の可能性があります。 |
| 6BD      | ポジションデータ構成変更エラー     | ポジションデータ定義軸数パラメーターが変更されました。ポジションデータを初期化およびフラッシュROM保存してください。 |
| 6BE      | ポジションデータパラメーター設定エラー | ポジションデータ定義軸数パラメーター設定値が異常です。                                                     |
| 6BF      | ポジションデータサムチェックエラー | 【内容・原因】<br>ポジションデータの異常を検出しました。エラーリストのInfo.1の内容が異常を検出したデータ領域を示します。<br>Info.1=1：フラッシュROMに格納されたデータ<br>フラッシュROM書込み中に電源をOFFした場合も発生します。<br>Info.1=2：バックアップメモリーに格納されたデータ<br>メモリー初期化中に誤って電源をOFFした場合も発生します。<br>【対処方法】<br>エラー検出時もポジションデータは初期化されません。エラー解除するためには初期化を行ってください。フラッシュROM領域で検出している場合、フラッシュROM書込みも行ってください。初期化（フラッシュROM書込み）しても再現する場合は、当社まで連絡してください。 |
</contents>
