ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page294

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の情報が中心です。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が詳細に記載されています。テキスト部分は表の説明や注意事項として備考欄に含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（抜粋）

| No. | パラメーター名称       | 初期値(参考) | 入力範囲 | 単位 | 備考                                                                                                                             |
|-----|------------------------|--------------|----------|------|----------------------------------------------------------------------------------------------------------------------------------|
| 32  | 入力機能選択 002       | 0            | 0～5     | ―    | 0:汎用入力<br>1:サーボON<br>※ONエッジ：全有効軸サーボONコマンド等価<br>OFFエッジ：全有効軸サーボOFFコマンド等価<br>（1.5s以上インターバル必要）（非動作中に行うこと）<br>※標準モーション制御軸にかぎり有効<br>注意：I/OパラメーターNo.285 “入力機能選択 002 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |
| 33  | 入力機能選択 003       | 1            | 0～5     | ―    | 0:汎用入力<br>1:汎用入力（AUTOモード時パワーONリセット/ソフトリセットでオートスタートプログラム起動）<br>2:オートスタートプログラム起動信号<br>（ONエッジ：開始 OFFエッジ：全動作・プログラム打切（動作・プログラム打切時I/O処理プログラム除く））<br>※オートスタートプログラム起動信号として使用する場合、確実に起動するために、100ms以上間ONして下さい。<br>注意：I/OパラメーターNo.286 “入力機能選択 003 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |
| 34  | 入力機能選択 004       | 0            | 0～5     | ―    | 0:汎用入力<br>1:全サーボ軸ソフトインターロック（OFFレベル）<br>（サーボOFFコマンド以外に有効）<br>（自動運転中インターロック時動作保留、非自動運転中インターロック時動作打切）<br>注意：I/OパラメーターNo.287 “入力機能選択 004 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |
| 35  | 入力機能選択 005       | 0            | 0～5     | ―    | 0:汎用入力<br>1:動作一時停止解除信号（ONエッジ）<br>注意：I/OパラメーターNo.288 “入力機能選択 005 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |
| 36  | 入力機能選択 006       | 0            | 0～5     | ―    | 0:汎用入力<br>1:動作一時停止信号（OFFレベル）<br>（自動運転中のみ有効）<br>※動作一時停止解除信号で一時停止解除<br>注意：I/OパラメーターNo.289 “入力機能選択 006 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |
| 37  | 入力機能選択 007       | 1            | 0～5     | ―    | 0:汎用入力<br>1:プログラムスタート指定プログラムNo.（最下位ビット）<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わります。<br>注意：I/OパラメーターNo.290 “入力機能選択 007 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |
| 38  | 入力機能選択 008       | 1            | 0～5     | ―    | 0:汎用入力<br>1:プログラムスタート指定プログラムNo.<br>注意：I/OパラメーターNo.30 “入力機能選択 000”の設定値により割付けが変わります。<br>注意：I/OパラメーターNo.291 “入力機能選択 008 割付ポートNo.”で、機能割付けポートNo.の変更ができます。 |

</contents>
