ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page345

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関するパラメーター番号166から400までの一覧表で構成されています。主に表形式で、パラメーター名称、初期値、入力範囲、単位、備考が記載されています。テキストは表の説明や備考欄に含まれ、グラフや図はありません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.166～400）

| No. | パラメーター名称                         | 初期値（参考） | 入力範囲           | 単位    | 備考                                                                                         |
|:----|:---------------------------------------|:--------------|:-------------------|:--------|:--------------------------------------------------------------------------------------------|
| 166 | ドライブ無効指定                       | 0             | 0～1               | ―       | 0: ドライブ有効<br>1: ドライブ無効<br>※ドライブ無効指定時、アクチュエーターは接続禁止。   |
| 167 | システム予約                           | 0             | 0～10              | ―       |                                                                                             |
| 168 | システム予約                           | 0             | 0～99,999,999      | ―       |                                                                                             |
|169～193| (拡張用)                            | 0             | ―                  | ―       |                                                                                             |
| 194 | ACMX+加速度 3                         | 30            | 1～999             | 0.01G   | 軸別パラメーターNo.2と同じ。                                                                |
| 195 | ACMX+加速度 3                         | 30            | 1～999             | 0.01G   | 軸別パラメーターNo.3と同じ。                                                                |
| 196 | ACMX+加速度 4                         | 30            | 1～999             | 0.01G   | 軸別パラメーターNo.2と同じ。                                                                |
| 197 | ACMX-加速度 4                         | 30            | 1～999             | 0.01G   | 軸別パラメーターNo.3と同じ。                                                                |
|198～208| (拡張用)                            | 0             | ―                  | ―       |                                                                                             |
| 209 | 同期動作終了時減速度                 | 30            | 1～300             | 0.01G   | 同期動作（電子カム、電子シャフト）打切り終了する場合の減速度                               |
|210～217| (拡張用)                            | 0             | ―                  | ―       |                                                                                             |
| 218 | ABSエンコーダーカウント範囲オフセット加算値 | 10,000        | 0～99,999,999       | 0.001mm | ※インデックスモード時は無効                                                                   |
| 219 | (拡張用)                             | ―             | ―                  | ―       |                                                                                             |
| 220 | システム予約                         | 0             | 0                   | ―       |                                                                                             |
| 221 | 通算移動回数閾値                     | 0             | 0～99,999,999       | ―       | メンテナンス情報アラート機能用<br>設定値「0」の場合、アラート機能は無効になる。<br>メンテナンス情報「通算移動回数」が本パラメーターの設定値を超えると、エラーNo.231「移動回数閾値オーバー」が発生。 |
| 222 | 通算走行距離閾値                     | 0             | 0～99,999,999       | ―       | メンテナンス情報アラート機能用<br>設定値「0」の場合、アラート機能は無効になる。<br>メンテナンス情報「通算走行距離」が本パラメーターの設定値を超えると、エラーNo.232「走行距離閾値オーバー」が発生。 |
| 223 | エンコーダー個体識別番号             | 0             | 0h～FFFFFFFFh       | ―       | アプリリセット時に自動取得                                                                   |
|224～229| (拡張用)                            | 0             | ―                  | ―       |                                                                                             |
| 230 | システム予約                         | 0             | 0～1                | ―       |                                                                                             |
|231～239| (拡張用)                            | 0             | ―                  | ―       |                                                                                             |
| 240 | システム予約                         | 0h            | ―                   | ―       |                                                                                             |
| 241 | エンコーダーオーバーヒート警告温度レベル比 | 100           | 100                 | %       | 0℃を0%、エンコーダオーバーヒートエラー発生温度を100%とした場合の、オーバーヒート警告を検出する比率%を設定<br>（「100」を設定している場合は無効になる。）<br>（メインアプリ部V1.10以降） |
| 242 | エンコーダーオーバーヒート警告出力No. | 0             | 0～6,999            | ―       | 物理的出力ポートまたは拡張出力ポート<br>（0時出力無効、重複指定無効）<br>（メインアプリ部V1.10以降）<br>※B接点 |
|243～400| (拡張用)                            | 0             | ―                  | ―       |                                                                                             |

</contents>
