ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page313

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の一覧が掲載されています。ページ全体は表部分のみで構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が詳細に記載されています。テキストやグラフ、図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（抜粋）

| No.  | パラメーター名称                             | 初期値（参考） | 入力範囲          | 単位 | 備考                                                                                                   |
|-------|--------------------------------------------|----------------|-------------------|------|--------------------------------------------------------------------------------------------------------|
| 352   | ビジョンシステム I/F1 機能選択 2           | 0h             | 0h～FFFFFFFFh     | ―    | ビット0-7：ビジョンシステム I/F1 通信フォーマット選択（0：フォーマットD、1：フォーマットO、2：フォーマットK）<br>ビット8-31：システム予約<br>注意：XSEL-RA/SAコントローラー専用 |
| 353   | ビジョンシステム I/F1 機能選択 3           | 54313C0Dh      | 0h～FFFFFFFFh     | ―    | ビット0-7：ビジョンシステム I/F1 通信デリミター<br>ビット8-15：ビジョンシステム I/F1 通信ヘッダー1（0時ヘッダーなし）<br>ビット16-31：ビジョンシステム I/F1 通信ヘッダー2（0時ヘッダーなし）<br>注意：XSEL-RA/SAコントローラー専用 |
| 354～355 | システム予約（変更禁止）                   | 0              | ―                 | ―    | ―                                                                                                      |
| 356   | ビジョンシステム I/F1 イニシャル完了ステータス物理入力ポートNo. | 0              | 0～299            | ―    | ※0時無効<br>注意：XSEL-RA/SAコントローラー専用                                                     |
| 357   | ビジョンシステム I/F1 撮像指令物理出力ポートNo. | 0              | 0～599            | ―    | ※システムに応じて設定必要<br>注意：XSEL-RA/SAコントローラー専用                                     |
| 358～360 | （拡張用）                               | 0              | ―                 | ―    | ―                                                                                                      |
| 361～363 | システム予約（変更禁止）                   | 0h             | 0h～FFFFFFFFh     | ―    | ―                                                                                                      |
| 364～365 | システム予約（変更禁止）                   | 0              | ―                 | ―    | ―                                                                                                      |
| 366   | システム予約（変更禁止）                     | 0              | 0～299            | ―    | ―                                                                                                      |
| 367   | システム予約（変更禁止）                     | 0              | 0～599            | ―    | ―                                                                                                      |
| 368～379 | （拡張用）                               | 0              | ―                 | ―    | ―                                                                                                      |
| 380   | 全動作・プログラム打切時、無操作汎用出力エリア2 No.MIN | 0              | 0～6,999          | ―    | (I/OパラメーターNo.70と同等)                                                                           |
| 381   | 全動作・プログラム打切時、無操作汎用出力エリア2 No.MAX | 0              | 0～6,999          | ―    | ―                                                                                                      |
| 382   | 全動作・プログラム打切時、無操作汎用出力エリア3 No.MIN | 0              | 0～6,999          | ―    | (I/OパラメーターNo.70と同等)                                                                           |
| 383   | 全動作・プログラム打切時、無操作汎用出力エリア3 No.MAX | 0              | 0～6,999          | ―    | ―                                                                                                      |
| 384   | 全動作・プログラム打切時、無操作汎用出力エリア4 No.MIN | 0              | 0～6,999          | ―    | (I/OパラメーターNo.70と同等)                                                                           |
| 385   | 全動作・プログラム打切時、無操作汎用出力エリア4 No.MAX | 0              | 0～6,999          | ―    | ―                                                                                                      |
| 386～389 | （拡張用）                               | 0              | ―                 | ―    | ―                                                                                                      |

</contents>
