<overview>
LED・スイッチの詳細説明ページ。ドライバ機種によるLED・スイッチの名称、表示、機能の違いを説明している。位置決め機能内蔵タイプ、RS-485通信付きパルス列入力タイプとパルス列入力タイプの2つのタイプに分けて詳細に記載されている。
</overview>

<contents>
## LED・スイッチ

ドライバの機種によって、LEDとスイッチの名称、表示、および機能が異なります。次表で確認してください。

### 位置決め機能内蔵タイプ、RS-485通信付きパルス列入力タイプ

| No. | 名称 | 表示 | 説明 |
| --- | --- | --- | --- |
| 8 | CHARGE LED（赤） | CHARGE | 主電源が投入されていることを示します。主電源を切った後、内部の残留電荷が安全なレベルまで放電するのを確認します。<br>• 制御電源が投入されている間、緑色が点灯します。<br>• アラーム（保護機能）が発生すると、赤色が点滅します。 |
| 12 | PWR/ALM LED（緑/赤） | PWR/ALM | • 動力遮断機能が作動すると、緑色が消灯します。<br>• ソフトウェーションが発生すると、予備状態時間中、赤色に高速で点滅します。（点滅について2とも確認できることがあります。） |
| 13 | CDAT/CERR LED（橙/赤） | CDAT/CERR | • RS-485通信によりLEDシステムとの通信状況を示しています。<br>通信が正常に行われています。<br>• RS-485通信により上位システムとの通信に異常が発生すると、赤色が点灯します。 |
| 14 | 機種設定スイッチ | ID | RS-485通信で使用することを示します。特にくださいと機種設定スイッチ（SW1）の No.1と併用して、RS-485通信の局番号を設定します。<br>出荷時設定：位置決め機能内蔵タイプ：0<br>　　　　　　RS-485通信付きパルス列入力タイプ：1 |
| 15 | 通信速度設定スイッチ | BAUD | RS-485通信で使用することを示します。特にくださいRS-485通信の通信速度を設定します。<br>出荷時設定：位置決め機能内蔵タイプ：0<br>　　　　　　RS-485通信付きパルス列入力タイプ：3 |
| 16 | 機能設定スイッチ | SW1 | RS-485通信で使用することを示します。特にください<br>• No.1：機種設定スイッチ（ID）と併用して、局番号を設定します。<br>出荷時設定：位置決め機能内蔵タイプ：OFF<br>　　　　　　RS-485通信付きパルス列入力タイプ：ON |
| 17 | HOME RESETスイッチ | HOME RESET | 位置決め機能のホーム位置を初期化する機能（原点復帰）を実行します。 |
| 20 | 機械出力設定スイッチ | TERMI | RS-485通信で使用することを示します。特にください<br>RS-485通信の終端抵抗（120Ω）を設定します。<br>出荷時設定：No.1、No.2とも OFF |

### パルス列入力タイプ

| No. | 名称 | 表示 | 説明 |
| --- | --- | --- | --- |
| 8 | CHARGE LED（赤） | CHARGE | 主電源が投入されていることを示します。主電源を切った後、内部の残留電荷が安全なレベルまで放電するのを確認します。<br>• 制御電源が投入されている間、緑色が点灯します。<br>• アラーム（保護機能）が発生すると、赤色が点滅します。 |
| 12 | PWR/ALM LED（緑/赤） | PWR/ALM | • 動力遮断機能が作動すると、緑色が消灯します。<br>• ソフトウェーションが発生すると、予備状態時間中、赤色に高速で点滅します。（点滅について確認できることがあります。） |
| 13 | READY LED（緑） | READY | READY信号が ON になることを示します。OFFの時は点灯しません。 |
| 14 | 電流値スイッチ | CURRENT | 運転電流と停止電流のもとになる基準電流値を設定します。<br>出荷時設定：4 |
| 15 | 微分フィルタ設定スイッチ | FIL | モーターの応答性を調整します。<br>出荷時設定：1<br>• No.1：モーター出力軸1回転あたりの分解能を設定します。<br>　出荷時設定：OFF（1,000 P/R）<br>• No.2：パルス入力方式を、1パルス入力方式または2パルス入力方式に設定します。<br>　出荷時設定：OFF（1パルス入力方式） |
| 16 | 機能設定スイッチ | SW1 | • No.1：モーター出力軸1回転あたりの分解能を設定します。<br>　出荷時設定：OFF（1,000 P/R）<br>• No.2：パルス入力方式を、1パルス入力方式または2パルス入力方式に設定します。<br>　出荷時設定：OFF（1パルス入力方式） |
| 17 | HOME RESETスイッチ | HOME RESET | 位置決めの基準となる位置に初期化する機能（原点復帰）を実行します。 |
</contents>
