<overview>
ページ56はケーブルの製品ラインナップを示すページで、接続ケーブルセットと可動接続ケーブルセットの品名と長さが表形式で整理されている。モーター/エンコーダ用と電磁ブレーキ付用に分けて記載されている。
</overview>

<contents>
## 接続ケーブルセット

### モーター/エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC005VZF | 0.5 |
| CC010VZF | 1 |
| CC015VZF | 1.5 |
| CC020VZF | 2 |
| CC025VZF | 2.5 |
| CC030VZF | 3 |
| CC040VZF | 4 |
| CC050VZF | 5 |
| CC070VZF | 7 |
| CC100VZF | 10 |
| CC150VZF | 15 |
| CC200VZF | 20 |

### モーター/エンコーダ/電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC005VZFB | 0.5 |
| CC010VZFB | 1 |
| CC015VZFB | 1.5 |
| CC020VZFB | 2 |
| CC025VZFB | 2.5 |
| CC030VZFB | 3 |
| CC040VZFB | 4 |
| CC050VZFB | 5 |
| CC070VZFB | 7 |
| CC100VZFB | 10 |
| CC150VZFB | 15 |
| CC200VZFB | 20 |

## 可動接続ケーブルセット

### モーター/エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC005VZR | 0.5 |
| CC010VZR | 1 |
| CC015VZR | 1.5 |
| CC020VZR | 2 |
| CC025VZR | 2.5 |
| CC030VZR | 3 |
| CC040VZR | 4 |
| CC050VZR | 5 |
| CC070VZR | 7 |
| CC100VZR | 10 |
| CC150VZR | 15 |
| CC200VZR | 20 |

### モーター/エンコーダ/電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC005VZRB | 0.5 |
| CC010VZRB | 1 |
| CC015VZRB | 1.5 |
| CC020VZRB | 2 |
| CC025VZRB | 2.5 |
| CC030VZRB | 3 |
| CC040VZRB | 4 |
| CC050VZRB | 5 |
| CC070VZRB | 7 |
| CC100VZRB | 10 |
| CC150VZRB | 15 |
| CC200VZRB | 20 |

56
</contents>
