<overview>
本ページはCN5コネクタのピンアサイン表を示している。位置決め機能内蔵タイプとRS-485通信付きパルス列入力タイプの2つの構成に対するピン配置と信号名、内容が詳細に記載されている。24ピンコネクタの構成図も含まれている。
</overview>

<contents>
## ピンアサイン一覧

### 位置決め機能内蔵タイプ

| ピンNo. | 信号名 | 内容 |
|---------|---------|----------|
| 1 | IN0 | 制御入力0（ST） |
| 2 | IN2 | 制御入力2（M1） |
| 3 | - | - |
| 4 | IN6 | 制御入力6（STOP） |
| 5 | IN-COM | 制御入力7（HOME） |
| 6 | IN8 | 制御入力8（FW-JOG） |
| 7 | OUT0 | 制御出力0（HOME-END） |
| 8 | OUT2 | 制御出力2（PLS-RDY） |
| 9 | OUT4 | 制御出力4（MOVE） |
| 10 | OUT-COM | 出力コモン |
| 11 | ASG+ | A相パルス出力＋ |
| 12 | BSG+ | B相パルス出力＋ |

| ピンNo. | 信号名 | 内容 |
|---------|---------|----------|
| 13 | IN1 | 制御入力1（M0） |
| 14 | IN3 | 制御入力3（M2） |
| 15 | IN5 | 制御入力5（RST） |
| 16 | IN7 | 制御入力7（ALM-RST） |
| 17 | IN-COM | IN-B、IN-9コモン |
| 18 | IN9 | 制御入力9（RV-JOG） |
| 19 | OUT1 | 制御出力1（INP-POS） |
| 20 | OUT3 | 制御出力3（READY） |
| 21 | OUT5 | 制御出力5（ALARM） |
| 22 | GND | グランド |
| 23 | ASG- | A相パルス出力ー |
| 24 | BSG- | B相パルス出力ー |

※（）内は初期値です。

### RS-485通信付きパルス列入力タイプ、パルス列入力タイプ

| ピンNo. | 信号名 | 内容 |
|---------|---------|----------|
| 1 | - | - |
| 2 | CCW（DIR+） | CCWパルス入力＋ |
| 3 | - | - |
| 4 | IN6 | 制御入力6（STOP） |
| 5 | IN-COM | 制御入力コモン |
| 6 | IN8 | 制御入力8（FW-JOG） |
| 7 | OUT0 | 制御出力0（HOME-END） |
| 8 | OUT2 | 制御出力2（PLS-RDY） |
| 9 | OUT4 | 制御出力4（MOVE） |
| 10 | OUT-COM | 出力コモン |
| 11 | ASG+ | A相パルス出力＋ |
| 12 | BSG+ | B相パルス出力＋ |

| ピンNo. | 信号名 | 内容 |
|---------|---------|----------|
| 13 | CW（DIR-） | CWパルス入力＋ |
| 14 | CCW（DIR-） | パルス入力ー |
| 15 | IN5 | 制御入力5（RST） |
| 16 | IN7 | 制御入力7（ALM-RST） |
| 17 | IN-COM | IN-B、IN-9コモン |
| 18 | IN9 | 制御入力9（RV-JOG） |
| 19 | OUT1 | 制御出力1（INP-POS） |
| 20 | OUT3 | 制御出力3（READY） |
| 21 | OUT5 | 制御出力5（ALARM） |
| 22 | GND | グランド |
| 23 | ASG- | A相パルス出力ー |
| 24 | BSG- | B相パルス出力ー |

※（）内は初期値です。

[コネクタピン配置図: 24ピン2列配置、ピン1から24まで番号付け]
</contents>
