<overview>
ページ57は中継ケーブルセット/可動中継ケーブルセットについて説明しているページで、モーターと接続ケーブルを中継する際に使用する製品について図解と製品リストで示している。使用時の注意事項も含まれている。
</overview>

<contents>
## 中継ケーブルセット／可動中継ケーブルセット

モーターと接続ケーブルを中継するときに使用します。
モーターとドライバの間隔を離す場合、使用している接続ケーブルの長さが足りないときに使用します。
モーター用とエンコーダ用の2本組です。電磁ブレーキ付モーター用は、モーター用、エンコーダ用、および電磁ブレーキ用の3本組です。

```mermaid
graph LR
    A[モーター] --- B[中継ケーブルセット]
    B --- C[接続ケーブルセット※1]
    C --- D[ドライバ]

    subgraph "中継ケーブルセット"
        E[電磁ブレーキ用※2]
        F[エンコーダ用]
        G[モーター用]
    end

    subgraph "接続ケーブルセット※1"
        H[電磁ブレーキ用※2]
        I[エンコーダ用]
        J[モーター用]
    end
```

※1 使用している接続ケーブルセットをお使いください。
※2 電磁ブレーキ付モーターのとき。

**メモ**
・モーターを可動部分に取り付けるときは、可動ケーブルを使用してください。
・中継ケーブルを接続するケーブルに延長をしたい場合は、ケーブル全長を20m以内にしてください。

## 中継ケーブルセット

### モーター/エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZFT | 1 |
| CC020VZFT | 2 |
| CC030VZFT | 3 |
| CC050VZFT | 5 |
| CC070VZFT | 7 |
| CC100VZFT | 10 |
| CC150VZFT | 15 |

### モーター/エンコーダ/電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZFBT | 1 |
| CC020VZFBT | 2 |
| CC030VZFBT | 3 |
| CC050VZFBT | 5 |
| CC070VZFBT | 7 |
| CC100VZFBT | 10 |
| CC150VZFBT | 15 |

## 可動中継ケーブルセット

### モーター/エンコーダ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZRT | 1 |
| CC020VZRT | 2 |
| CC030VZRT | 3 |
| CC050VZRT | 5 |
| CC070VZRT | 7 |
| CC100VZRT | 10 |
| CC150VZRT | 15 |

### モーター/エンコーダ/電磁ブレーキ用

| 品名 | 長さ (m) |
|------|----------|
| CC010VZRBT | 1 |
| CC020VZRBT | 2 |
| CC030VZRBT | 3 |
| CC050VZRBT | 5 |
| CC070VZRBT | 7 |
| CC100VZRBT | 10 |
| CC150VZRBT | 15 |

57
</contents>
