ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page143

<overview>
本ページは「3.1.5 EtherNet/IPの入出力エリア」に関する内容で構成されています。  
テキスト部分では、PLC出力からSCON2の入力に関する説明があり、PLCアドレスの“n”が各軸の先頭アドレスを示す旨が記載されています。  
表部分は、EtherNet/IPのSCON2のDIおよび入力データレジスターの各モード別のPLC出力エリア（バイト）対応表で、リモートI/Oモード、ポジション/簡易直値モード、ハーフ直値モード、フル直値モード、リモートI/O 2モードの各占有バイト数と内容が示されています。  
グラフや図はなく、表がメインの構成です。
</overview>

<contents>
### テキスト
#### 3.1.5 EtherNet/IPの入出力エリア
- PLC出力 → SCON2の入力  
- PLCアドレスの“n”は各軸の先頭アドレスを示す。

### 表
#### SCON2のDIおよび入力データレジスター（EtherNet/IP）

| PLC出力エリア（バイト） | リモートI/Oモード<br>占有バイト数：2 | ポジション/簡易直値モード<br>占有バイト数：8 | ハーフ直値モード<br>占有バイト数：16 | フル直値モード<br>占有バイト数：32 | リモートI/O 2モード<br>占有バイト数：12 |
|-------------------------|------------------------------|--------------------------|-----------------------|--------------------|-------------------------|
| n+0、n+1                | ポート番号 0～15             | 目標位置                 | 目標位置              | 目標位置           | ポート番号 0～15        |
| n+2、n+3                |                              | 指定ポジションNo.        | 位置決め幅            | 位置決め幅         |                         |
| n+4、n+5                |                              | 制御信号                 |                        |                    | 占有領域                |
| n+6、n+7                |                              |                          | 速度                   | 速度指定           |                         |
| n+8、n+9                |                              |                          | 加減速度                |                    |                         |
| n+10、n+11              |                              |                          | 押付け電流制限値        | ゾーン境界値＋      |                         |
| n+12、n+13              |                              |                          | 制御信号                |                    |                         |
| n+14、n+15              |                              |                          |                        | ゾーン境界値－      |                         |
| n+16、n+17              |                              |                          |                        | 加速度             |                         |
| n+18、n+19              |                              |                          |                        | 減速度             |                         |
| n+20、n+21              |                              |                          |                        | 押付け電流制限値    |                         |
| n+22、n+23              |                              |                          |                        | 負荷電流閾値       |                         |
| n+24、n+25              |                              |                          |                        | 制御信号1          |                         |
| n+26、n+27              |                              |                          |                        | 制御信号2          |                         |
| n+28、n+29              |                              |                          |                        |                    |                         |
| n+30、n+31              |                              |                          |                        |                    |                         |

- 「占有領域」は本モードで占有される領域であり、他の目的には使用不可。アドレスの重複使用に注意。

</contents>
