ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page186

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」に関する内容で、主に表形式で構成されています。表はPLC出力の制御信号1に関する信号種類ごとのビット、記号、内容、詳細を示しています。表内には制御モード選択や停止モード選択に関するパラメーターセットの説明が含まれており、複数の小表（パラメーターセット選択表）が埋め込まれています。テキスト部分は表の注釈としてON/OFFの意味を説明しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
- 表中のONの表記は該当ビットが「1」を表し、OFFは「0」を表す。

### 表
#### ポジショナー仕様の動作モード（PLC出力 制御信号1）

| 信号種類 | ビット | 記号 | 内容 | 詳細 |
| :--- | :---: | :--- | :--- | :--- |
|  | b15 | ー | 使用できません | ー |
|  | b14 | ー | 使用できません | ー |
| 制御信号1 | b13 | NTC1 | 制振制御モード選択1 |  |
|  | b12 | NTC0 | 制振制御モード選択0 |  |
|  |  |  | 使用する制振制御パラメーターセット選択 | 3.5.2 (30) |
|  |  |  | <table><thead><tr><th>NTC1</th><th>NTC0</th><th>機能</th></tr></thead><tbody><tr><td>OFF</td><td>OFF</td><td>制振制御未使用</td></tr><tr><td>OFF</td><td>ON</td><td>パラメーターセット1選択</td></tr><tr><td>ON</td><td>OFF</td><td>パラメーターセット2選択</td></tr><tr><td>ON</td><td>ON</td><td>パラメーターセット3選択</td></tr></tbody></table> |  |
|  | b11 | ー | 使用できません | ー |
|  | b10 | ー | 使用できません | ー |
|  | b9 | ASO1 | 停止モード1 |  |
|  | b8 | ASO0 | 停止モード0 |  |
|  |  |  | 待機時の停止モードを選択 | 3.5.2 (32) |
|  |  |  | <table><thead><tr><th>ASO1</th><th>ASO0</th><th>機能</th></tr></thead><tbody><tr><td>OFF</td><td>OFF</td><td>無効（常にサーボON）</td></tr><tr><td>OFF</td><td>ON</td><td>パラメーターNo.36の設定時間でサーボOFF</td></tr><tr><td>ON</td><td>OFF</td><td>パラメーターNo.37の設定時間でサーボOFF</td></tr><tr><td>ON</td><td>ON</td><td>パラメーターNo.38の設定時間でサーボOFF</td></tr></tbody></table> |  |
|  | b7 | MOD1 | 【加減速モード】<br>OFF, OFFで台形パターン<br>OFF, ONでS字モーション<br>ON, OFFで一次遅れフィルター | 3.5.2 (31) |
|  | b6 | MOD0 | 【加減速モード】の一部（上記参照） | 3.5.2 (31) |
|  | b5 | GSL1 | サーボゲインパラメーターセット選択1 |  |
|  | b4 | GSL0 | サーボゲインパラメーターセット選択0 |  |
|  |  |  | 使用するサーボゲインパラメーターセット選択 | 3.5.2 (34) |
|  |  |  | <table><thead><tr><th>GSL1</th><th>GSL0</th><th>機能</th></tr></thead><tbody><tr><td>OFF</td><td>OFF</td><td>パラメーターセット0選択</td></tr><tr><td>OFF</td><td>ON</td><td>パラメーターセット1選択</td></tr><tr><td>ON</td><td>OFF</td><td>パラメーターセット2選択</td></tr><tr><td>ON</td><td>ON</td><td>パラメーターセット3選択</td></tr></tbody></table> |  |
|  | b3 | INC | 【インクリメンタル指定】<br>OFFで絶対位置指令、ONで相対位置指令 | 3.5.2 (25) |
|  | b2 | DIR | 【押付け方向指定】<br>OFFで目標位置から位置決め幅を減算した位置方向<br>ONで目標位置に位置決め幅を加算した位置方向 | 3.5.2 (23) |
|  | b1 | PUSH | 【押付け指定】<br>OFFで位置決め動作、ONで押付け動作 | 3.5.2 (22) |
|  | b0 | ー | 使用できません | ー |

</contents>
