ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page236

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」に関する内容で、主に表形式で構成されています。表は信号種類ごとにビット数、記号、内容、詳細の項目に分かれており、各信号のデータ仕様や意味が詳細に説明されています。テキスト部分は表の注釈としてON/OFFのビット表記の説明があり、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
- 表中のONは該当ビットが“1”、OFFは“0”を表す。

### 表
#### ポジショナー仕様の動作モード（信号種類別データ仕様）

| 信号種類           | ビット           | 記号 | 内容                                                                                                                                                                                                                         | 詳細   |
|--------------------|------------------|------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------|
| 現在位置           | 32ビットデータ   | ―    | 現在位置32ビット符号付き整数。<br>現在位置を格納。<br>単位：0.01mm（DDモーター以外）、0.001°（DDモーター）。<br>読取り例：000003FFH = 1023（10進数）= 10.23mm（単位が0.01の場合）。<br>16進数で読み取る場合、負数は2の補数表示。 | 4.2.3  |
| 指令電流           | 32ビットデータ   | ―    | 32ビット整数。<br>現在指令している電流値を格納。<br>単位：mA。<br>読取り例：000003FFH = 1023（10進数）= 1023mA。                                                                                                         | 4.2.3  |
| 現在速度           | 32ビットデータ   | ―    | 32ビット符号付き整数。<br>現在速度を格納。<br>単位は0.01mm/s。<br>正数：反原点方向へ移動中、負数：原点方向へ移動中。<br>読取り例：000003FFH = 1023（10進数）= 10.23mm/s。<br>16進数で読み取る場合、負数は2の補数表示。 | 4.2.3  |
| アラームコード     | 16ビットデータ   | ―    | 16ビット整数。<br>アラーム（メッセージレベルを含む全てのアラーム）が発生した場合にアラームコードを格納。<br>アラーム未発生およびバッテリー電圧低下警告時は“0H”。<br>詳細は「SCON2取扱説明書（MJ0458）8章トラブルシューティング」参照。 | 4.2.3  |
| 過負荷レベルモニター | 16ビットデータ   | ―    | 16ビット整数。<br>モーターの負荷率（%）を表示。                                                                                                                                                                           | 4.2.3  |
| 現在指令値         | 32ビットデータ   | ―    | 32ビット符号付き整数。<br>コントローラーが現在指令している運転計画上の位置。<br>単位は0.01mm。<br>読取り例：000003FFH=1023（10進数）=10.23mm。<br>16進数で読み取る場合、負数は2の補数表示。                             | 4.2.3  |
| 推定回生放電電力量 | 32ビットデータ   | ―    | 32ビット符号付き整数。<br>回生抵抗に印加している平均電力の推定値。<br>更新周期は512ms。<br>推定値がコントローラーの規定値以上になるとアラーム：0CA“過熱”を出力。<br>運転条件の見直しや外部回生抵抗の追加を検討。           | ―      |
| 通算走行距離       | 32ビットデータ   | ―    | 32ビット整数。<br>単位はm。                                                                                                                                                                                               | ―      |
</contents>
