ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page135

<overview>
このページは「3.1.3 DeviceNetの入出力エリア」に関する内容で構成されています。  
主にテキスト説明と表で構成されており、PLC出力からSCON2の入力に関するアドレス割り当てと各モードごとの占有チャネル数やデータレジスターの内容を示しています。  
図やグラフはなく、表が中心の構成です。
</overview>

<contents>
### テキスト
#### 3.1.3 DeviceNetの入出力エリア
- PLC出力 → SCON2の入力について説明。
- PLCアドレスの“n”は各軸の先頭アドレスを示す。
- 「占有領域」は本モードで占有される領域であり、他の目的には使用不可。
- アドレスの重複使用に注意が必要。

### 表
#### PLC出力エリア（CH）とSCON2側DOおよび出力データレジスター（DeviceNet）

| PLC出力エリア(CH) | リモートI/Oモード<br>占有チャネル数：1CH | ポジション/簡易直値モード<br>占有チャネル数：4CH | ハーフ直値モード<br>占有チャネル数：8CH | フル直値モード<br>占有チャネル数：16CH | リモートI/O 2モード<br>占有チャネル数：6CH |
|-------------------|--------------------------------------------|-----------------------------------------------|------------------------------------------|--------------------------------------------|--------------------------------------------|
| n+0               | ポート番号0～15                            | 目標位置                                      | 目標位置                                 | 目標位置                                   | ポート番号0～15                            |
| n+1               |                                            |                                               |                                          |                                            |                                            |
| n+2               |                                            | 指定ポジションNo.                             | 位置決め幅                               | 位置決め幅                                 | 占有領域                                   |
| n+3               |                                            | 制御信号                                      |                                          |                                            |                                            |
| n+4               |                                            |                                               | 速度                                     | 速度指定                                   |                                            |
| n+5               |                                            |                                               | 加減速度                                 |                                            |                                            |
| n+6               |                                            |                                               | 押付け電流制限値                         | ゾーン境界値＋                             |                                            |
| n+7               |                                            |                                               | 制御信号                                  |                                            |                                            |
| n+8               |                                            |                                               |                                          | ゾーン境界値－                             |                                            |
| n+9               |                                            |                                               |                                          | 加速度                                     |                                            |
| n+10              |                                            |                                               |                                          | 減速度                                     |                                            |
| n+11              |                                            |                                               |                                          | 押付け電流制限値                           |                                            |
| n+12              |                                            |                                               |                                          | 負荷電流閾値                               |                                            |
| n+13              |                                            |                                               |                                          | 制御信号1                                  |                                            |
| n+14              |                                            |                                               |                                          | 制御信号2                                  |                                            |
| n+15              |                                            |                                               |                                          |                                            |                                            |

※「占有領域」は本モードで占有される領域であり、他の目的には使用できません。またアドレスの重複使用に注意してください。
</contents>
