ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page161

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」に関する内容で、主に表形式で構成されています。表はPLC出力からSCON2入力、SCON2出力からPLC入力までの各ポート番号に対応した信号名称とその説明を示しています。テキストは表の注釈として信号の論理状態や制御可否についての説明が付されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーターNo.25の設定（力制御モード1および力制御モード2）

| 区分 | ポート番号 | 力制御モード1 (6) 記号 | 信号名称 | 力制御モード2 (7) 記号 | 信号名称 |
| :--- | :---: | :---: | :--- | :---: | :--- |
| PLC出力 → SCON2入力 | 0 | PC1 | 指令ポジションNo. | ST0 | スタートポジション0 |
|  | 1 | PC2 | 〃 | ST1 | スタートポジション1 |
|  | 2 | PC4 | 〃 | ST2 | スタートポジション2 |
|  | 3 | PC8 | 〃 | ST3 | スタートポジション3 |
|  | 4 | PC16 | 〃 | ST4 | スタートポジション4 |
|  | 5 | ー | 使用できません | ー | 使用できません |
|  | 6 | ー | 〃 | ー | 〃 |
|  | 7 | ー | 〃 | ー | 〃 |
|  | 8 | CLBR | ロードセルキャリブレーション指令 | CLBR | ロードセルキャリブレーション指令 |
|  | 9 | BKRL | ブレーキ強制解除 | BKRL | ブレーキ強制解除 |
|  | 10 | RMOD | 運転モード | RMOD | 運転モード |
|  | 11 | HOME | 原点復帰 | HOME | 原点復帰 |
|  | 12 | *STP | 一時停止 | *STP | 一時停止 |
|  | 13 | CSTR | 位置決めスタート | ー | 使用できません |
|  | 14 | RES | リセット | RES | リセット |
|  | 15 | SON | サーボON指令 | SON | サーボON指令 |
| SCON2出力 → PLC入力 | 0 | PM1 | 完了ポジションNo. | PE0 | ポジション完了0 |
|  | 1 | PM2 | 〃 | PE1 | ポジション完了1 |
|  | 2 | PM4 | 〃 | PE2 | ポジション完了2 |
|  | 3 | PM8 | 〃 | PE3 | ポジション完了3 |
|  | 4 | PM16 | 〃 | PE4 | ポジション完了4 |
|  | 5 | TRQS | トルクレベルステータス | TRQS | トルクレベルステータス |
|  | 6 | LOAD | 負荷出力判定ステータス | LOAD | 負荷出力判定ステータス |
|  | 7 | CEND | ロードセルキャリブレーション完了 | CEND | ロードセルキャリブレーション完了 |
|  | 8 | PZONE/ZONE1 | ポジションゾーン/ゾーン1 | PZONE/ZONE1 | ポジションゾーン/ゾーン1 |
|  | 9 | RMDS | 運転モード状態 | RMDS | 運転モード状態 |
|  | 10 | HEND | 原点復帰完了 | HEND | 原点復帰完了 |
|  | 11 | PEND | 位置決め完了信号 | PEND | 位置決め完了信号 |
|  | 12 | SV | 運転準備完了 | SV | 運転準備完了 |
|  | 13 | *EMGS | 非常停止 | *EMGS | 非常停止 |
|  | 14 | *ALM | アラーム | *ALM | アラーム |
|  | 15 | *ALML | 軽故障アラーム | *ALML | 軽故障アラーム |

### 注釈
- 記号名に「*」が付く信号は負論理信号を表し、通常ONのとき信号はOFFとなります。
- 「使用できません」と表記されている信号は制御されておらず、ON/OFFは不定です。
</contents>
