ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page187

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」に関する内容で構成されています。ページ全体は主に表形式で構成されており、PLC出力の制御信号2に関する信号種類、ビット、記号、内容、詳細の説明がまとめられています。テキスト部分は表の注釈や説明文が含まれています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
- 表中のONは該当ビットが「1」を表し、OFFは「0」を表す。
- ※1 ロードセル付きアクチュエーターの場合にのみ使用可能。

### 表
#### PLC出力 制御信号2の信号一覧

| 信号種類 | ビット | 記号 | 内容 | 詳細 |
| :--- | :--- | :--- | :--- | :--- |
| 制御信号2 | b15 | BKRL | 【ブレーキ強制解除】ONでブレーキ解除 | 3.5.2（19） |
| 制御信号2 | b14 | RMOD | 【運転モード】OFFでAUTOモード、ONでMANUモード | 3.5.2（20） |
| 制御信号2 | b13 | ー | 使用できません | ー |
| 制御信号2 | b12 | ー | 使用できません | ー |
| 制御信号2 | b11 | ー | 使用できません | ー |
| 制御信号2 | b10 | ー | 使用できません | ー |
| 制御信号2 | b9 | CLBR ※1 | 【ロードセルキャリブレーション指令】ONでキャリブレーション実行 | 3.5.2（33） |
| 制御信号2 | b8 | JOG+ | 【＋ジョグ】ONで反原点方向にジョグ移動 | 3.5.2（14） |
| 制御信号2 | b7 | JOG- | 【－ジョグ】ONで原点方向にジョグ移動 | 3.5.2（14） |
| 制御信号2 | b6 | JVEL | 【ジョグ速度/インチング距離切替え】使用する設定値（パラメーター）を切替える。<br>OFF：パラメーターNo.26「ジョグ速度」、パラメーターNo.48「インチング距離」<br>ON：指令速度=0の場合はパラメーターNo.47「ジョグ速度2」、速度指令≠0の場合はパラメーターNo.49「インチング距離2」 | 3.5.2（15） |
| 制御信号2 | b5 | JISL | 【ジョグ/インチング切替え】OFFでジョグ動作、ONでインチング動作 | 3.5.2（16） |
| 制御信号2 | b4 | SON | 【サーボON指令】ONでサーボON | 3.5.2（5） |
| 制御信号2 | b3 | RES | 【リセット】ONでリセット実行 | 3.5.2（4） |
| 制御信号2 | b2 | STP | 【一時停止】ONで一時停止指令 | 3.5.2（12） |
| 制御信号2 | b1 | HOME | 【原点復帰】ONで原点復帰指令 | 3.5.2（6） |
| 制御信号2 | b0 | DSTR | 【位置決めスタート】ONで移動指令 | 3.5.2（7） |

</contents>
