ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page254

<overview>
このページは「3.4 プレスプログラム仕様の動作モード」の一部で、PLCアドレス構成に関する説明が中心です。ページ構成は以下の通りです。
- テキスト部分：PLCアドレス構成の説明、注釈
- 表部分：SCON2側入出力レジスターのポート番号と占有領域の対応表が2つ（入力レジスター、出力レジスター）
- グラフ・図はなし
</overview>

<contents>
### テキスト
#### 3.4 プレスプログラム仕様の動作モード
（1）PLCアドレス構成について説明しています。

注1：CC-Linkの場合は「システム領域」となり、リモートデバイス局のシステム領域であるため、他の目的には使用できません。
※「占有領域」は他の目的に使用できず、アドレスの重複使用に注意が必要です。

### 表
#### SCON2側入カレジスター（入力レジスター）
| ポート番号 0～15 | CC、CIE          | DV    | EC、EP、PRT     | ML3         |
|-----------------|------------------|-------|-----------------|-------------|
| 占有領域注1     | RY n0～nF        | n+0   | n+0、n+1        | n+4、n+5    |
| 占有領域        | RY(n+1)0～(n+1)F | －    | －              | －          |
| 占有領域        | RWw (n+0)        | －    | －              | －          |
| 占有領域        | RWw (n+1)        | －    | －              | －          |
| 占有領域        | RWw (n+2)        | －    | －              | －          |
| 占有領域        | RWw (n+3)        | －    | －              | －          |

#### SCON2側出力レジスター（出力レジスター）
| ポート番号 0～15 | CC、CIE          | DV    | EC、EP、PRT     | ML3         |
|-----------------|------------------|-------|-----------------|-------------|
| 占有領域注1     | RX n0～nF        | n+0   | n+0、n+1        | n+4、n+5    |
| 占有領域        | RY(n+1)0～(n+1)F | －    | －              | －          |
| 占有領域        | RWr (n+0)        | －    | －              | －          |
| 占有領域        | RWr (n+1)        | －    | －              | －          |
| 占有領域        | RWr (n+2)        | －    | －              | －          |
| 占有領域        | RWr (n+3)        | －    | －              | －          |
</contents>
