ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page256

<overview>
本ページは「3.4 プレスプログラム仕様の動作モード」に関する内容で、主に入出力信号の割付けについて説明しています。構成は以下の通りです。
- テキスト部分：信号割付けの詳細説明と参照資料の案内
- 表部分：PLC出力→SCON2入力およびSCON2出力→PLC入力の信号割付け一覧表
- グラフ・図表はなし
</overview>

<contents>
### テキスト
#### 入出力信号割付け
信号割付けの詳細は「SCON2 サーボプレス仕様取扱説明書（MJ0470）」を参照するよう案内しています。

### 表
#### 入出力信号割付け一覧

| 区分                     | ポート番号 | 記号   | 信号名称                     |
|--------------------------|------------|--------|------------------------------|
| **PLC出力 → SCON2入力** | 0          | PC1    | 指令プログラム No.           |
|                          | 1          | PC2    |                              |
|                          | 2          | PC4    |                              |
|                          | 3          | PC8    |                              |
|                          | 4          | PC16   |                              |
|                          | 5          | PC32   |                              |
|                          | 6          | PSTR   | プレスプログラムスタート     |
|                          | 7          | PHOM   | プレスプログラム原点移動     |
|                          | 8          | ENMV   | 軸移動許可                   |
|                          | 9          | FPST   | プログラム強制終了           |
|                          | 10         | CLBR   | ロードセルキャリブレーション指令 |
|                          | 11         | BKRL   | ブレーキ強制解除             |
|                          | 12         | RMOD   | 運転モード切替え             |
|                          | 13         | HOME   | 原点復帰                     |
|                          | 14         | RES    | リセット                     |
|                          | 15         | SON    | サーボ ON 指令               |
| **SCON2出力 → PLC入力** | 0          | PCMP   | プレスプログラム正常終了     |
|                          | 1          | PRUN   | プレスプログラム実行中       |
|                          | 2          | PORG   | プレスプログラム原点位置     |
|                          | 3          | APRC   | アプローチ動作中             |
|                          | 4          | SERC   | 探り動作中                   |
|                          | 5          | PRSS   | 加圧動作中                   |
|                          | 6          | PSTP   | 加圧停止中                   |
|                          | 7          | MPHM   | プレスプログラム原点移動中   |
|                          | 8          | JDOK   | 判定 OK                      |
|                          | 9          | JDNG   | 判定 NG                      |
|                          | 10         | CEND   | ロードセルキャリブレーション完了 |
|                          | 11         | RMDS   | 運転モードステータス         |
|                          | 12         | HEND   | 原点復帰完了                 |
|                          | 13         | SV     | サーボ ON ステータス         |
|                          | 14         | *ALM   | アラーム                     |
|                          | 15         | *ALML  | 軽故障アラーム               |

**注記**  
記号名の「*」は負論理の信号を表し、通常ONで信号を出力するときはOFFとなることを示しています。
</contents>
