ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page110

<overview>
本ページはテキストと表で構成されています。テキスト部分では、MECHATROLINK-Ⅲのネットワークタイプやフィールドバス入出力フォーマット、FBハーフ直値モード速度単位のパラメーター設定について説明しています。表部分では、各パラメーターの設定値とその内容、速度単位の対応関係が示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 4. ネットワークタイプ（パラメーターNo.87）
コントローラーに搭載しているネットワークモジュールの種類を指定します。初期値から変更しないでください。

#### 5. フィールドバス入出力フォーマット（パラメーターNo.90）
設定を変更することで、PLCの入出力データレジスターとの交信域で、2ワード内のデータをバイト単位で入替えて送受信することができます。

#### 6. FBハーフ直値モード速度単位（パラメーターNo.159）
ハーフ直値モード、ハーフ直値2モード、ハーフ直値3モードで制御する場合の速度単位を選択します。

### 表
#### フィールドバス入出力フォーマット設定値と内容

| 設定値 | 内容                                                                                         |
| :----- | :------------------------------------------------------------------------------------------- |
| 0      | 入替は行いません。PLCにはそのまま送信されます。                                             |
| 1      | 上位ワードの上位バイトと下位バイトを入替え、また下位ワードの上位バイトと下位バイトを入替えます。 |
| 2      | ワードレジスターの場合、上位ワードと下位ワードを入替えます。                               |
| 3      | 上位ワードの上位バイトと下位バイトを入替え、また下位ワードの上位バイトと下位バイトを入替えます。ダブルワードの場合、さらに上位ワードと下位ワードを入替えます。 |

#### FBハーフ直値モード速度単位設定値と速度単位

| 設定値 | 速度単位  |
| :----- | :-------- |
| 0      | 1.0mm/s   |
| 1      | 0.1mm/s   |
</contents>
