ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page167

<overview>
本ページは「3.2 ポジショナー仕様の動作モード」に関する内容で構成されています。  
主に表形式で、PLC入力信号の信号種類ごとにビット数、記号、内容、詳細参照先が整理されています。  
テキストは表の説明や注釈が含まれています。  
図やグラフはなく、表がメインの構成です。
</overview>

<contents>
### テキスト
- 表中のONは該当ビットが“1”、OFFは“0”を表す。
- 現在位置は32ビット符号付き整数で格納され、単位は0.01mm（DDモーター以外）、0.001°（DDモーター）である。
- 16進数で読み取る場合、負数は2の補数表示となる。

### 表
#### PLC入力信号一覧

| 信号種類 | ビット | 記号 | 内容 | 詳細 |
| :--- | :---: | :--- | :--- | :---: |
| 現在位置 | 32ビット | — | 現在位置32ビット符号付き整数。単位：0.01mm（DDモーター以外）、0.001°（DDモーター）。例：000003FF₁₆ = 1023（10進数）= 10.23mm（単位0.01の場合） | 4.2.1 |
| 完了ポジションNo.（簡易アラームコード） | 16ビット | PM1～PM383 | 16ビット整数。目標位置まで移動し、位置決め幅内に入ると位置決め完了のポジションNo.が出力される。移動中や未移動時は“0”。アラーム発生時は簡易アラームコードが出力される。 | 4.2.1 |
| 状態信号 | b15 | EMGS | 【非常停止】ONで非常停止状態 | 3.5.2（2） |
| 状態信号 | b14 | PWR | 【コントローラー準備完了】準備完了でON | 3.5.2（1） |
| 状態信号 | b13 | ZONE2 | 【ゾーン2】現在位置がゾーン設定内にあるときON | 3.5.2（13） |
| 状態信号 | b12 | ZONE1 | 【ゾーン1】現在位置がゾーン設定内にあるときON | 3.5.2（13） |
| 状態信号 | b11 | PZONE | 【ポジションゾーン】現在位置がポジションゾーン設定内にあるときON | 3.5.2（13） |
| 状態信号 | b10 | MODES | 【表示モード信号】表示モード選択中でON | 3.5.2（17） |
| 状態信号 | b9 | WEND | 【ポジションデータ取込み完了】取込み完了でON | 3.5.2（18） |
| 状態信号 | b8 | RMDS | 【運転モード状態】現在の状態がAUTOモードでOFF、MANUモードでON | 3.5.2（20） |
| 状態信号 | b7 | BAML / ALML | 【軽故障アラーム】バッテリー電圧低下や軽故障アラーム発生でON。出力内容はパラメータ設定により変更可能。 | 3.5.2（29） |
| 状態信号 | b6 | — | 使用できません | — |
| 状態信号 | b5 | PSFL | 【押付け空振り】押付け動作空振りでON | 3.5.2（24） |
| 状態信号 | b4 | SV | 【運転準備完了】サーボONでON | 3.5.2（5） |
| 状態信号 | b3 | ALM | 【アラーム】アラーム発生でON | 3.5.2（3） |
| 状態信号 | b2 | MOVE | 【移動中信号】アクチュエーター移動中でON | 3.5.2（9） |
| 状態信号 | b1 | HEND | 【原点復帰完了】原点復帰完了でON | 3.5.2（6） |
| 状態信号 | b0 | PEND | 【位置決め完了信号】位置決め完了でON | 3.5.2（10） |

</contents>
