ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page201

<overview>
このページは「ポジショナー仕様の動作モード」に関する説明で構成されています。  
主に以下の3つのセクションで構成されています。  
1. テキスト部分：信号の種類やビットの説明、動作モードの概要説明。  
2. 表部分：信号種類ごとのビット、記号、内容、詳細参照ページをまとめた表。  
3. グラフ部分はなく、図やフローチャートは含まれていません。  
</overview>

<contents>
### テキスト
- 表中のONはビットが「1」、OFFは「0」を表すことの説明。  
- 現在位置は32ビット符号付整数で格納され、単位は0.01mm（DDモーター以外）、0.001°（DDモーター）であること。  
- 完了ポジションNo.（簡易アラームコード）は16ビット整数で、目標位置まで移動し位置決め完了したポジションNo.が出力される。移動中や未移動時は「0」が出力される。  
- アラーム発生時は簡易アラームコードが出力される。  

### 表
| 信号種類 | ビット | 記号 | 内容 | 詳細 |
| :--- | :--- | :--- | :--- | :--- |
| 現在位置 | 32ビット | — | 現在位置32ビット符号付整数。単位は0.01mm（DDモーター以外）、0.001°（DDモーター）。例：1023(10進数)＝10.23mm。16進数の場合は負数は2の補数表示。 | 4.2.1 |
| 完了ポジションNo.（簡易アラームコード） | 16ビット | PM1～PM256 | 目標位置まで移動し位置決め完了したポジションNo.出力。未移動・移動中は「0」。アラーム発生時は簡易アラームコード出力。 | 4.2.1 |
| 状態信号 | b15 | EMGS | 【非常停止】ONで非常停止状態 | 3.5.2（2） |
| 状態信号 | b14 | PWR | 【コントローラー準備完了】準備完了でON | 3.5.2（1） |
| 状態信号 | b13 | CEND | 【ロードセルキャリブレーション完了】ONで完了 | 3.5.2（33） |
| 状態信号 | b12 | ZONE1 | 【ゾーン1】現在位置がゾーン設定内にあるときON | 3.5.2（13） |
| 状態信号 | b11 | PZONE/ZONE2 | 【ポジションゾーン/ゾーン2】パラメーターNo.149で切替。No.149=0でゾーン1、1でゾーン2。現在位置がゾーン設定内にあるときON | 3.5.2（13） |
| 状態信号 | b10 | LOAD | 【負荷出力判定】ONで到達、OFFで未達。詳細は取扱説明書参照 | 3.5.2（27） |
| 状態信号 | b9 | TRQS | 【トルクレベル】ONで到達、OFFで未達。詳細は取扱説明書参照 | 3.5.2（28） |
| 状態信号 | b8 | RMDS | 【運転モード状態】現在の状態がAUTOモードでOFF、MANUモードでON | 3.5.2（20） |
| 状態信号 | b7 | BAML/ALML | 【軽故障アラーム】バッテリー電圧低下や軽故障アラーム発生でON。パラメーターNo.143、No.151で出力内容設定可能 | 3.5.2（29） |
| 状態信号 | b6 | PUSHS | 【押付け動作中】押付け動作中でON | 3.5.2（26） |
| 状態信号 | b5 | PSFL | 【押付け空振り】押付け動作空振りでON | 3.5.2（24） |
| 状態信号 | b4 | SV | 【運転準備完了】サーボONでON | 3.5.2（5） |
| 状態信号 | b3 | ALM | 【アラーム】アラーム発生でON | 3.5.2（3） |
| 状態信号 | b2 | MOVE | 【移動中信号】アクチュエーター移動中でON | 3.5.2（9） |
| 状態信号 | b1 | HEND | 【原点復帰完了】原点復帰完了でON | 3.5.2（6） |
| 状態信号 | b0 | PEND | 【位置決め完了信号】位置決め完了でON | 3.5.2（10） |

</contents>
