ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page55

<overview>
このページは、CC-Link IE FieldのステータスLEDに関する説明で構成されています。  
テキスト部分では、NS（Network Status）、MS（Module Status）、LINK、L.ERの4つのLEDが示す意味や役割について解説しています。  
表部分では、各LEDの名称、表示色、状態（点灯・消灯など）、およびその状態の説明がまとめられています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### ステータスLEDについて
コントローラー前面に設置されている4つのLED（NS、MS、LINK、L.ER）により、各スレーブ（コントローラー）の状態やネットワークの状態を把握できます。

- NS（Network Status）: CC-Link IE Fieldの運転状態やユニットのエラー状態を表示  
- MS（Module Status）: データリンクの状態、ネットワークモジュールの状態およびCC-Link IE Field通信の異常発生を表示  
- LINK: ポートのリンク状態を表示  
- L.ER: ポートで受けるデータの状態を表示

### 表
#### LED表示

| LED名称 | 表示色          | 状態   | 説明                         |
| :------ | :-------------- | :----- | :--------------------------- |
| MS      | 緑 (D LINK)     | 点灯   | 正常動作中                   |
|         |                 | 消灯   | ハードウェア異常発生中       |
|         | 赤 (L EER)      | 点灯   | 異常発生中                   |
|         |                 | 消灯   | 正常動作中                   |
| NS      | 緑 (RUN)        | 点灯   | サイクリック伝送実施中       |
|         |                 | 点滅   | サイクリック伝送停止中       |
|         |                 | 消灯   | サイクリック伝送未実施、解列中 |
|         | 赤 (ERR)        | 点灯   | 受信データが異常             |
|         |                 | 消灯   | 受信データが正常             |
| LINK    | 緑              | 点灯   | リンクアップ中               |
|         |                 | 消灯   | リンクダウン中、電源未投入   |
| L.ER    | 橙              | 点灯   | 受信データが異常             |
|         |                 | 消灯   | 受信データが正常、電源未投入 |

</contents>
