ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page148

<overview>
本ページは、ポジショナー仕様の動作モードとPLCの入出力エリアに関する説明で構成されています。ページ全体はテキスト説明と表で構成されており、PLC出力からSCON2の入力に対応する各種モード別のデータレジスターの割り当てを詳細に示した表が中心です。グラフや図はなく、主に表形式で情報が整理されています。
</overview>

<contents>
### テキスト
#### ポジショナー仕様の動作モードとPLC入出力エリア
- PLC出力はSCON2の入力に対応している。
- PLCアドレスの“n”は各軸の先頭アドレスを示す。
- 「占有領域」は本モードで占有される領域であり、他の目的には使用不可。
- アドレスの重複使用に注意が必要。

### 表
#### SCON2のDIおよび入力データレジスター（MECHATROLINK-Ⅲ）

| PLC出力エリア (CMD_DATA) | ポジション/簡易直値2モード 16、32、48バイトモード | ハーフ直値2モード 32、48バイトモード | リモートI/O3モード 16、32、48バイトモード | ハーフ直値3モード 32、48バイトモード | フル直値2モード 48バイトモード |
|--------------------------|-----------------------------|-----------------------------|-----------------------------|-----------------------------|-----------------------------|
| n+4、n+5                 | 目標位置                    | 目標位置                    | ポート番号0～15             | 目標位置                    | 目標位置                    |
| n+6、n+7                 |                             |                             |                             |                             |                             |
| n+8、n+9                 | 指定ポジションNo.           | 位置決め幅                  |                             | 位置決め幅                  | 位置決め幅                  |
| n+10、n+11               | 制御信号                    |                             | 占有領域                    |                             |                             |
| n+12、n+13               |                             | 速度                        |                             | 速度                        | 速度                        |
| n+14、n+15               |                             | 加減速度                    |                             | 加減速度                    |                             |
| n+16、n+17               |                             | 押付け電流制限値            |                             | 押付け電流制限値            | ゾーン境界値＋              |
| n+18、n+19               |                             | 制御信号                    |                             | 制御信号                    |                             |
| n+20、n+21               |                             |                             |                             |                             | ゾーン境界値－              |
| n+22、n+23               |                             |                             |                             |                             | 加速度                      |
| n+24、n+25               |                             |                             |                             |                             | 減速度                      |
| n+26、n+27               |                             |                             |                             |                             | 押付け電流制限値            |
| n+28、n+29               |                             |                             |                             |                             | 負荷電流閾値                |
| n+30、n+31               |                             |                             |                             |                             | 制御信号1                   |
| n+32、n+33               |                             |                             |                             |                             | 制御信号2                   |
| n+34、n+35               |                             |                             |                             |                             |                             |

**注記:**  
「占有領域」は本モードで占有される領域であり、他の目的には使用できません。また、アドレスの重複使用に注意してください。
</contents>
