ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page282

<overview>
本ページは「プレスプログラム仕様の動作モード」に関する説明で構成されています。主に以下のセクションがあります。
- テキスト部分：PEND信号、DPEN信号の動作タイミングや用途についての解説。
- 表部分：PLC入力の状態信号1に関するビットごとの信号種類、記号、内容、詳細の一覧表。
- グラフや図はなし。
</overview>

<contents>
### テキスト
#### 参考 PEND信号、DPEN信号について
プレス直値動作（DPSTで開始した動作）を行った場合、動作モードや停止方法によって、PEND信号とDPEN信号のONタイミングが変わることがあります。また、PENDがONしない場合もあります。
そのため、プレス直値動作の完了判定でPENDを参照すると、完了と判定できなかったり、完了判定までに必要以上の時間がかかる場合があります。
この二つの信号の用途は以下のように使い分けられます。
- PEND：位置決め動作（DSTRで開始した動作）の完了判定
- DPED：プレス直値動作（DPSTで開始した動作）の完了判定

### 表
#### 状態信号1（PLC入力）
| 信号種類 | ビット | 記号 | 内容 | 詳細 |
| :--- | :--- | :--- | :--- | :--- |
| 状態信号1 | b15 | EMGS | 【非常停止】ONで非常停止状態 | 3.5.2（2） |
| 〃 | b14 | ALM | 【アラーム】アラーム発生でON | 3.5.2（3） |
| 〃 | b13 | ALML | 【軽故障アラーム】軽故障アラーム発生でON | 3.5.2（13） |
| 〃 | b12 | ー | 使用できません。 | ー |
| 〃 | b11 | DPED | 【加圧動作終了】プレス直値指令による加圧動作が正常に終了するとON | 3.5.2（56） |
| 〃 | b10 | DPRS | 【加圧動作中】プレス直値指令による加圧動作中にON | 3.5.2（55） |
| 〃 | b9 | LZONE | 【荷重ゾーン】現在荷重値がゾーン範囲内にあるときON | 3.5.2（54） |
| 〃 | b8 | PZONE | 【ポジションゾーン】現在位置がポジションゾーン設定内にあるときON | 3.5.2（13） |
| 〃 | b7 | ZONE2 | 【ゾーン2】現在位置がゾーン設定内にあるときON | 3.5.2（13） |
| 〃 | b6 | ZONE1 | 【ゾーン1】現在位置がゾーン設定内にあるときON | 3.5.2（13） |
| 〃 | b5 | ー | 使用できません。 | ー |
| 〃 | b4 | PEND | 【位置決め完了信号】位置決め完了でON | 3.5.2（10） |
| 〃 | b3 | RMDS | 【運転モード状態】現在の状態がAUTOモードでOFF、MANUモードでON | 3.5.2（20） |
| 〃 | b2 | CEND | 【ロードセルキャリブレーション完了？】ONでキャリブレーション完了 | 3.5.2（33） |
| 〃 | b1 | HEND | 【原点復帰完了】原点復帰完了でON | 3.5.2（6） |
| 〃 | b0 | SV | 【運転準備完了】サーボONでON | 3.5.2（5） |

**表中のONは該当ビットが"1"を表し、OFFは"0"を表します。**
</contents>
