ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page131

<overview>
本ページは「3.1.2 CC-Link IE Fieldの入出力エリア」に関する説明で構成されています。テキスト部分では、コントローラーが占有するビットレジスターおよびワードレジスターの概要と設定方法について記載されています。表部分では、PLCアドレスごとにSCON2のDIおよび入力データレジスターの各モード（リモートI/Oモード、ポジション/簡易直値モード、ハーフ直値モード、フル直値モード、リモートI/O 2モード）に対応した占有ワード数と割り当てられるデータ内容が詳細に示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 3.1.2 CC-Link IE Fieldの入出力エリア
本コントローラーは、ビットレジスター（RX/RY）32ビットとワードレジスター（RWr/RWw）4、8、16ワード（モードにより異なる）を占有します。  
マスター局の局情報には動作モードで定められた局数を局No.ごとに設定してください。

- PLC出力 → SCON2の入力  
  ※ PLCアドレスの“n”は各軸の先頭アドレスを示します。

### 表
#### SCON2のDIおよび入力データレジスター（CC-Link IE Field）

| PLCアドレス | リモートI/Oモード<br>占有ワード数：4 | ポジション/簡易直値モード<br>占有ワード数：4 | ハーフ直値モード<br>占有ワード数：8 | フル直値モード<br>占有ワード数：16 | リモートI/O 2モード<br>占有ワード数：4 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| RY n0～nF | ポート番号0～15 | 占有領域 | 占有領域 | 占有領域 | ポート番号0～15 |
| RY(n+1)0～(n+1)F | 占有領域 |  | 占有領域 |  | 占有領域 |
| RWw (n+0) | 占有領域 | 目標位置 | 目標位置 | 目標位置 | 占有領域 |
| RWw (n+1) |  |  |  |  |  |
| RWw (n+2) |  | 指定ポジションNo.<br>制御信号 | 位置決め幅 | 位置決め幅 |  |
| RWw (n+3) |  |  |  |  |  |
| RWw (n+4) |  |  | 速度 | 速度 |  |
| RWw (n+5) |  |  | 加減速度 |  |  |
| RWw (n+6) |  |  | 押付け電流制限値 | ゾーン境界値＋ |  |
| RWw (n+7) |  |  | 制御信号 |  |  |
| RWw (n+8) |  |  |  | ゾーン境界値－ |  |
| RWw (n+9) |  |  |  | 加速度 |  |
| RWw (n+A) |  |  |  | 減速度 |  |
| RWw (n+B) |  |  |  | 押付け電流制限値 |  |
| RWw (n+C) |  |  |  | 負荷電流閾値 |  |
| RWw (n+D) |  |  |  | 制御信号1 |  |
| RWw (n+E) |  |  |  | 制御信号2 |  |
| RWw (n+F) |  |  |  |  |  |

※「占有領域」は本モードで占有される領域であり、他の目的には使用できません。またアドレスの重複使用に注意が必要です。
</contents>
