ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page202

<overview>
このページは「3.2 ポジショナー仕様の動作モード」セクションの一部で、「3.2.7 ハーフ直値2モード」について説明しています。構成は以下の通りです。
- テキスト部分：モードの概要説明と使用方法、設定の注意点
- 表部分：本モードで制御可能なアクチュエーターの主要機能一覧と、それぞれの制御方式（直接制御、間接制御、無効）および備考
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 3.2.7 ハーフ直値2モード
本モードは、力制御（ロードセル値のフィードバック押付け）を使用し、かつPLCから目標位置、位置決め幅、速度、加減速度、押付け電流値を直接数値で指定する運転方式です。入出力エリアに各値を設定してください。ゾーン機能を使用する場合はパラメーターNo.1、2、23、24に設定が必要です。
本モードで制御可能なアクチュエーターの有効な主要機能は次の表のとおりです。

### 表
#### アクチュエーターの機能と制御方式

| アクチュエーターの機能       | ○：直接制御 | △：間接制御 | ×：無効 | 備考                         |
| :--------------------------- | :---------- | :---------- | :------ | :--------------------------- |
| 原点復帰動作                 | ○           |             |         |                              |
| 位置決め動作                 | ○           |             |         |                              |
| 速度・加減速度設定           | ○           |             |         |                              |
| ピッチ送り（インチング）     | ○           |             |         |                              |
| 押付け動作                   | ○           |             |         |                              |
| 移動中の速度変更             | ○           |             |         |                              |
| 加速度・減速度の個別設定     |             |             | ×       |                              |
| 一時停止                     | ○           |             |         |                              |
| ゾーン信号出力               |             | △           |         | パラメーターに設定が必要です。 |
| PIOパターン選択             |             |             | ×       |                              |
</contents>
