ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page226

<overview>
このページは「ポジショナー仕様の動作モード」に関する説明で構成されています。主に表形式で、SCON2側出力レジスターの各占有領域に対応するアドレスやデータの割り当てが示されています。テキストは表の注釈として、CC-Linkのシステム領域の説明や占有領域の使用制限について記載されています。グラフや図はなく、表とテキストのみで構成されています。
</overview>

<contents>
### テキスト
#### ポジショナー仕様の動作モード
SCON2側出力レジスターの各占有領域に対して、CC、CIE、DV、EC、EP、PRT、ML3の各項目がどのように割り当てられているかを示しています。

##### 注釈
- CC-Linkの場合、占有領域は「システム領域」となり、リモートデバイス局のシステム領域であるため、他の目的には使用できません。
- 占有領域は他の目的に使用できず、アドレスの重複使用に注意が必要です。

### 表
#### SCON2側出力レジスターの占有領域と対応アドレス

| 項目               | CC、CIE            | DV     | EC、EP、PRT       | ML3               |
|--------------------|--------------------|--------|-------------------|-------------------|
| 占有領域           | RX n0～nF          | －     | －                | －                |
| 占有領域¹          | RX(n+1)0～(n+1)F   | －     | －                | －                |
| 現在位置           | RWr (n+0)          | n+0    | n+0、n+1          | n+4、n+5          |
| 指令電流           | RWr (n+1)          | n+1    | n+2、n+3          | n+6、n+7          |
| 現在速度           | RWr (n+2)          | n+2    | n+4、n+5          | n+8、n+9          |
| アラームコード     | RWr (n+3)          | n+3    | n+6、n+7          | n+10、n+11        |
| 過負荷レベルモニター | RWr (n+4)          | n+4    | n+8、n+9          | n+12、n+13        |
| 現在指令値         | RWr (n+5)          | n+5    | n+10、n+11        | n+14、n+15        |
| 推定回生放電電力量 | RWr (n+6)          | n+6    | n+12、n+13        | n+16、n+17        |
| 通算走行距離       | RWr (n+7)          | n+7    | n+14、n+15        | n+18、n+19        |
| 状態信号1          | RWr (n+8)          | n+8    | n+16、n+17        | n+20、n+21        |
| 状態信号2          | RWr (n+9)          | n+9    | n+18、n+19        | n+22、n+23        |
|                    | RWr (n+10)         | n+10   | n+20、n+21        | n+24、n+25        |
|                    | RWr (n+11)         | n+11   | n+22、n+23        | n+26、n+27        |
|                    | RWr (n+12)         | n+12   | n+24、n+25        | n+28、n+29        |
|                    | RWr (n+13)         | n+13   | n+26、n+27        | n+30、n+31        |
|                    | RWr (n+14)         | n+14   | n+28、n+29        | n+32、n+33        |
|                    | RWr (n+15)         | n+15   | n+30、n+31        | n+34、n+35        |

¹ CC-Linkの場合はシステム領域となり、他の目的には使用不可。

</contents>
