ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page113

<overview>
このページは、PROFINET IOにおけるコントローラー前面のステータスLED（NSおよびMS）の表示内容について説明しています。構成は以下の通りです。
- テキスト部分：NS（Network Status）とMS（Module Status）のLEDが示す通信状態や異常状態の説明
- 表部分：ステータスLEDのパネル表記、表示色、状態、説明をまとめた表
- グラフ部分：なし
</overview>

<contents>
### テキスト
#### ステータスLED
コントローラー前面に設置されているNS（Network Status）、MS（Module Status）の2つのLEDにより、スレーブ（各コントローラー）の状態やネットワークの状態を知ることができます。

- NSはPROFINET IOの通信状態を表します。
- MSはコントローラーの状態、ネットワークモジュールの状態およびPROFINET IO通信の異常発生を表します。

以下にLEDの表示内容を示します。

### 表
#### ステータスLEDの表示内容

| パネル表記 | 表示色 | 状態       | 説明                                                                                         |
|------------|--------|------------|----------------------------------------------------------------------------------------------|
| NS         | 緑     | 点灯       | オンライン状態（正常通信中：RUN）                                                            |
|            | 緑     | 点滅       | オンライン状態（STOP）<br>※コネクションは確立したが通信停止中（STOP状態：ネットワークは正常）<br>マスターユニットの状態を確認してください。 |
|            | -      | 消灯       | コネクションなし<br>※電源OFF、または接続可能コントローラーがありません。                     |
| MS         | 緑     | 点灯       | 正常通信中                                                                                   |
|            | 緑     | 点滅（1回）| ネットワーク診断中                                                                           |
|            | 緑     | 点滅（2回）| エンジニアリングツールがノード識別中                                                       |
|            | 緑     | 点灯       | 例外エラー発生（ハードウェア故障）                                                         |
|            | 橙     | 点滅（1回）| 通信設定の異常、設定と実際のネットワーク構成が異なる。                                      |
|            | 橙     | 点滅（2回）| IPアドレス未確定、またはIPアドレスが正しく設定されていない。                               |
|            | 橙     | 点滅（3回）| ステーション名未設定、または正しく設定されていない。                                        |
|            | 橙     | 点滅（4回）| 内部エラー発生<br>※ハードウェア異常（内部重故障）です。ネットワークモジュールの交換が必要です。 |
|            | -      | 消灯       | 初期化中                                                                                     |
</contents>
