ファイル名: SCON2_FIELDNETOWORK(MJ0469-3A)_page280

<overview>
本ページは「3.4 プレスプログラム仕様の動作モード」に関する内容で構成されています。ページ全体は主に表形式で構成されており、制御信号2に関する信号種類、ビット、記号、内容、詳細の説明が一覧化されています。テキストは表の補足説明や注意事項が含まれており、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### プレスプログラム仕様の動作モードにおける制御信号2のビット説明
本表は制御信号2の各ビットがON（"1"）またはOFF（"0"）の状態で示す意味をまとめています。各ビットの記号と内容、詳細ページ番号が記載されています。

##### 注意事項
- “最高速度”“最大加圧速度”“最大押付け速度”“最大加速度”“最大減速度”はシステム固定値です。
- 本信号群で指定する停止方法の概要はプレスプログラムの加圧ステージの停止方法と同じです。
- 速度制御モードで「2」以上、または力制御モードで「3」以上を設定した場合は「A3：位置指令情報データ異常アラーム」が発生します。
- DSTR信号による位置決め指令時には使用しないでください。

### 表
#### 制御信号2のビット説明

| 信号種類     | ビット | 記号  | 内容                                                                                                   | 詳細       |
|--------------|--------|-------|------------------------------------------------------------------------------------------------------|------------|
| PLC出力     | b15    | DSTR  | 【位置決めスタート】ONで移動指令                                                                        | 3.5.2【7】  |
|              | b14    | JOG-  | 【－ジョグ】ONで原点方向にジョグ移動                                                                     | 3.5.2【14】 |
|              | b13    | JOG+  | 【＋ジョグ】ONで反原点方向にジョグ移動                                                                   | 3.5.2【14】 |
|              | b12    | JVEL  | 【ジョグ速度/インチング距離切替え】使用する設定値（パラメーター）を切替え。OFF：パラメーターNo.26“ジョグ速度”、No.48“インチング距離”<br>ON：指令速度=0の場合はパラメーターNo.47“ジョグ速度2”、No.49“インチング距離2”で動作 | 3.5.2【15】 |
|              | b11    | JISL  | 【ジョグ/インチング切替え】OFFでジョグ動作、ONでインチング動作                                            | 3.5.2【16】 |
|              | b10    | －     | 使用できません                                                                                          | －          |
|              | b9     | －     | 使用できません                                                                                          | －          |
|              | b8     | ZNRF  | 【ゾーン境界値更新】位置ゾーン境界、荷重ゾーン境界を更新                                                  | 3.5.2【53】 |
|              | b7     | DPST  | 【プレス直値スタート】本信号をONするとプレス直値動作を開始                                                | 3.5.2【52】 |
|              | b6     | ENMV  | 【軸動作許可】本信号がONで軸動作可能                                                                    | 3.5.2【37】 |
|              | b5     | BKRL  | 【ブレーキ強制解除】ONでブレーキ解除                                                                    | 3.5.2【19】 |
|              | b4     | RMOD  | 【運転モード】OFFでAUTOモード、ONでMANUモード                                                           | 3.5.2【20】 |
|              | b3     | CLBR  | 【ロードセルキャリブレーション指令】ONでキャリブレーション実行                                           | 3.5.2【33】 |
|              | b2     | RES   | 【リセット】ONでリセット実行                                                                            | 3.5.2【4】  |
|              | b1     | HOME  | 【原点復帰】ONで原点復帰指令                                                                             | 3.5.2【6】  |
|              | b0     | SON   | 【サーボON指令】ONでサーボON                                                                             | 3.5.2【5】  |

</contents>
