ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1567

<overview>
このページは表形式で構成されており、命令名ごとに「基本ステップ数」と「サブセット可否」の情報が一覧で示されています。テキスト部分はほとんどなく、表が主体です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名 | 基本ステップ数 | サブセット可否 |
| :--- | :---: | :---: |
| DCMLP | 3 | ○ |
| SMOV | 6 | ― |
| SMOVP | 7 | ― |
| CMLB | 3 | ○ |
| CMLBP | 4 | ○ |
| BMOV | 4 | ○ |
| BMOVP | 5 | ○ |
| BMOVL | 4 | ○ |
| BMOVLP | 5 | ○ |
| FMOV | 4 | ○ |
| FMOVP | 5 | ○ |
| FMOVL | 4 | ○ |
| FMOVLP | 5 | ○ |
| DFMOV | 4 | ○ |
| DFMOVP | 5 | ○ |
| DFMOVL | 4 | ○ |
| DFMOVLP | 5 | ○ |
| XCH | 3 | ○ |
| XCHP | 4 | ○ |
| DXCH | 3 | ○ |
| DXCHP | 4 | ○ |
| BXCH | 4 | ― |
| BXCHP | 5 | ― |
| SWAP | 2 | ― |
| SWAPP | 3 | ― |
| DSWAP | 3 | ― |
| DSWAPP | 4 | ― |
| MOVB | 2 | ○ |
| MOVBP | 3 | ○ |
| BLKMOVB | 4 | ― |
| BLKMOVBP | 5 | ― |
| ROR | 4 | ○ |
| RORP | 5 | ○ |
| RCR | 4 | ○ |
| RCRP | 5 | ○ |
| DROR | 4 | ○ |
| DRORP | 5 | ○ |
| DRCR | 4 | ○ |
| DRCRP | 5 | ○ |
| ROL | 4 | ○ |
| ROLP | 5 | ○ |
| RCL | 4 | ○ |
| RCLP | 5 | ○ |
| DROL | 4 | ○ |
| DROLP | 5 | ○ |
| DRCL | 4 | ○ |
| DRCLP | 5 | ○ |
| CJ | 4 | ― |
| SCJ | 5 | ― |
| JMP | 4 | ― |
| GOEND | 1 | ― |
| DI | 1 | ― |
| DI (s) | 2 | ○ |

- 「基本ステップ数」は各命令の実行に必要な基本的なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理に対応しているかどうかを「○」または「―」で示しています。
- 命令名は主に移動命令や回転命令、交換命令など多様な種類が含まれています。
</contents>
