ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page79

<overview>
本ページは主に表形式で構成されており、CPUユニット用命令のうち、データ変換に関する命令群を一覧で示しています。テキスト部分は命令の説明や処理内容、参照先ページ番号の記載が中心です。グラフや図はなく、表のみで情報が整理されています。
</overview>

<contents>
### 表
#### ブロックBCD4桁データ→ブロックBIN16ビット変換データ
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| BKBIN / BKBINP | (s)から(n)点分のBCDデータを一括でBINデータに変換し、(d)以降に格納する。 | 468ページ BKBIN(P) |

#### 10進アスキーデータ→BIN16ビット/32ビットデータ変換
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DABIN / DABINP / DABIN_U / DABINP_U | (s)で指定した10進アスキー値を1ワードBIN値に変換し、(d)で指定したワードデバイス番号に格納する。 | 470ページ DABIN(P)_U |
| DDABIN / DDABINP / DDABIN_U / DDABINP_U | (s)で指定した10進アスキー値を2ワードBIN値に変換し、(d)で指定したワードデバイス番号に格納する。 | 473ページ DDABIN(P)(_U) |

#### 16進アスキーデータ→BIN16ビット/32ビットデータ変換
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| HABIN / HABINP | (s)で指定した16進アスキー値を1ワードBIN値に変換し、(d)で指定したワードデバイス番号に格納する。 | 477ページ HABIN(P) |
| DHABIN / DHABINP | (s)で指定した16進アスキー値を2ワードBIN値に変換し、(d)で指定したワードデバイス番号に格納する。 | 479ページ DHABIN(P) |

#### 10進アスキーデータ→BCD4桁/8桁変換
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DABCD / DABCDP | (s)で指定した10進アスキー値を1ワードBCD値に変換し、(d)で指定したワードデバイス番号に格納する。 | 482ページ DABCD(P) |
| DDABCD / DDABCDP | (s)で指定した10進アスキー値を2ワードBCD値に変換し、(d)で指定したワードデバイス番号に格納する。 | 485ページ DDABCD(P) |

#### 10進文字列→BIN16ビット/32ビットデータ変換
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| VAL / VALP / VAL_U / VALP_U | (s)で指定した小数点を含んだ文字列を1ワードBIN値と小数部桁数に変換し、(d1)、(d2)で指定したデバイスに格納する。 | 488ページ VAL(P)(_U) |
| DVAL / DVALP / DVAL_U / DVALP_U | (s)で指定した小数点を含んだ文字列を2ワードBIN値と小数部桁数に変換し、(d1)、(d2)で指定したデバイスに格納する。 | 491ページ DVAL(P)(_U) |

#### 16進アスキー→16進データBIN変換
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| ASC2INT / ASC2INTP | (s)で指定したワードデバイス以降の16進アスキーデータを、(n)で指定した文字数分だけBIN値に変換して、(d)に指定したデバイス番号以降に格納する。 | 494ページ ASC2INT(P) |

#### 単精度実数→BCD分解
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| EMOD / EMODP | (s1)の32ビット浮動小数点データを(s2)で指定した小数部桁数のBCDに変換して、(d)で指定したデバイスに格納する。 | 496ページ EMOD(P) |
</contents>
