ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1525

<overview>
本ページは「付録」セクションの「付1 命令処理時間」に関する内容で構成されています。ページ全体は主にテキスト説明と表で構成されており、テキスト部分では命令処理時間の概要と注意点が説明されています。表部分では各命令の処理時間（マイクロ秒単位）がCPUユニット別に詳細に示されています。グラフは含まれていません。
</overview>

<contents>
### テキスト
#### 付1 命令処理時間
各命令の処理時間を示しています。処理時間はソースやディスティネーションの内容によって多少異なるため、表中の値は処理時間の目安として参照するよう案内しています。

**Point**
ファイルレジスタ（R/ZR）、ユニットアクセスデバイス（U□¥G□）、リンクダイレクトデバイス（J□¥□）、ユニットラベル（ラベル名に_□が付くもののみ）を使用する場合は、表に示す加算時間を各命令処理時間に加算する必要があることが記載されています。

### 表
#### 命令処理時間一覧（単位：μs）
| 命令名 | 条件 | R00CPU, R01CPU 最小 | R00CPU, R01CPU 最大 | R02CPU 最小 | R02CPU 最大 | 左記以外のCPUユニット 最小 | 左記以外のCPUユニット 最大 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| LD | 実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| LDI | 実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| AND | 実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| ANI | 実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| OR | 実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| ORI | 実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| LDP | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| LDF | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ANDP | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ANDF | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ORP | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ORF | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| LDPI | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| LDFI | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ANDPI | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ANDFI | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ORPI | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ORFI | 実行時 | 0.09408 | - | 0.01176 | - | 0.00294 | - |
| ANB | － | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| ORB | － | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| MPS | － | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| MRD | － | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| MPP | － | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| INV | 無実行時/実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| MEP | 無実行時/実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| MEF | 無実行時/実行時 | 0.03136 | - | 0.00392 | - | 0.00098 | - |
| EGP | 無実行時/実行時 | 0.06272 | - | 0.00784 | - | 0.00196 | - |
| EGF | 無実行時/実行時 | 0.06272 | - | 0.00784 | - | 0.00196 | - |
| OUT | 無実行時/実行時 | 0.06272 | - | 0.00784 | - | 0.00196 | - |
| OUT(F) | 無実行時 | 0.22272 | - | 0.02784 | - | 0.00696 | - |
| OUT(F) | 実行時 | 52.400 | 83.100 | 51.400 | 82.100 | 50.900 | 81.600 |
| OUT(T/ST/C) | 無実行時 | 0.38272 | - | 0.04784 | - | 0.01196 | - |
| OUT(T/ST/C) | 実行時:カウント時/タイムアップ後 | 0.38272 | - | 0.04784 | - | 0.01196 | - |
| OUT(LT/LST) | 無実行時 | 0.31872 | - | 0.03984 | - | 0.00996 | - |
| OUT(LT/LST) | 実行時:カウント時/タイムアップ後 | 0.31872 | - | 0.03984 | - | 0.00996 | - |

※最大値が記載されている命令はOUT(F)のみで、その他は最小値のみ記載されています。

以上のように、命令ごとにCPUユニット別の処理時間が詳細に示されており、処理時間の目安として利用可能です。
</contents>
