ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1069

<overview>
本ページは主に表形式で構成されており、エラーコードごとのエラー内容とその処置方法が一覧で示されています。テキスト部分は表の注釈や補足説明が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラーコード一覧と処置方法
| エラーコード | エラー内容 | 処置方法 |
| :--- | :--- | :--- |
| 2007H | インデックス行の書式に誤りがある。 | インデックス行の書式が正しいか確認する。 |
| 2009H | Unicodeテキストファイルの読出しに失敗した。 | ・SDメモリカードの状態を確認する。<br>・Unicodeテキストファイルの内容を確認する。 |
| 200AH | Unicodeテキストファイルの書込みに失敗した。 | SDメモリカードの状態を確認する。 |
| 200BH | Unicodeテキストファイル内のフィールド数が最大数を超えた。 | Unicodeテキストファイル内のフィールド数が128個を超えていないか確認する。※1 |
| 200CH | Unicodeテキストファイルにおいて、フィールド行で設定した列数と他の行で設定した列数が一致しない。 | Unicodeテキストファイルにおいて、フィールド行で設定した列数（フィールド数）と、他の行の列数とが合っているか確認する。 |
| 200DH | Unicodeテキストファイル内のインデックス数が超過した。 | テキストファイル内のインデックス数が、テーブルのフィールド数よりも超過していないか確認する。 |
| 200EH | Unicodeテキストファイル内の主キー、外部キーのキー名、もしくはインデックス名の文字数が16文字以内に設定されていない。 | キー名、インデックス名が16文字以内に設定されているか確認する。 |
| 200FH | SDメモリカードがライトプロテクトされているため、データベースアクセス命令を実行できない。または、外部機器からのCPUユニット内蔵データベースアクセス機能の起動に失敗した。 | SDメモリカードのライトプロテクトを解除する。 |
| 2010H | SDメモリカードに空き容量(10Mバイト以上)がないため、データベースアクセス命令または、外部機器からのCPUユニット内蔵データベースアクセス機能を実行することができない。 | SDメモリカードの空き容量を確保する。 |
| 2011H | データベースのパスの文字数が128文字を超過した。 | パスの文字数を128文字以内にする。 |
| 2020H | CPUDbフォルダ内の構成が正しくない。 | ・CPUDbフォルダ内のデータベースを32個以下に減らす。<br>・CPUDbフォルダ内のデータベースではないフォルダを削除する。<br>・異常データベース確認ファイル(2:\CPUDb\ErrorDB.txt)を参照し、エラー要因のフォルダを削除する。 |
| 2021H | データベースが壊れている。 | ・データベースを再構築する。<br>・異常データベース確認ファイル(2:\CPUDb\ErrorDB.txt)を参照し、エラー要因のデータベースを削除する。 |
| 2023H | データベースの起動に失敗した。 | ・CPUユニットの電源OFF→ON、またはリセットを行う。<br>・データメモリの容量を確認し、1Kバイト以上空きを作る。 |
| 2024H | データベースの停止に失敗した。または、SDメモリカードを取りはずし、データベースが停止した。 | ・CPUユニットの電源OFF→ON、またはリセットを行う。<br>・SDメモリカードを再挿入後、CPUユニットの電源OFF→ONまたはリセットを行う。 |
| 2025H | データベースを認識できない。または修復に失敗した。 | ・SDメモリカードの状態を確認する。<br>・異常データベース確認ファイル(2:\CPUDb\ErrorDB.txt)が存在し、異常データベース確認ファイルに記載されているデータベースがCPUDbフォルダ以下の場合、データベースをフォルダごと削除し、データベースを作り直す。<br>・CPUユニットの電源OFF→ONまたはリセットを行い、再度実行しても同じ現象が発生する場合、または異常データベース確認ファイル(2:\CPUDb\ErrorDB.txt)が存在し、異常データベース確認ファイルに記載されているデータベースがCPUDbフォルダ以外の場合は、SDメモリカード内のSMELPRJ$\DBASYS$フォルダに格納されているdbmaintainpath.txtファイルを削除し、すべてのデータベースフォルダ(CPUDbフォルダ内は除く)をフォルダごと削除し、DBIMPORT(P)命令でデータベースを作り直す。 |
| 上記以外 | ・Unicodeテキストファイルの文字コードが間違っている。<br>・アクセス対象のデータベースが不正な状態になっている。 | ・Unicodeテキストファイルの文字コードを確認する。<br>・電源OFF→ON、もしくはリセットを行い、再度実行しても同じ現象が発生する場合は、アクセス対象のデータベースフォルダをフォルダごと削除し、DBIMPORT(P)命令でデータベースを作り直す。 |

### 注釈
*1 ファームウェアバージョンが"28"より前のシーケンサCPUでは、16以内にしてください。

</contents>
