ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1571

<overview>
このページは表形式で構成されており、命令名ごとに「基本ステップ数」と「サブセット可否」の情報が一覧で示されています。テキスト部分は表のヘッダーとページ番号のみで、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令名ごとの基本ステップ数とサブセット処理の可否一覧

| 命令名       | 基本ステップ数 | サブセット可否 |
|--------------|----------------|----------------|
| INSTR        | 5              | －             |
| INSTRP       | 6              | －             |
| STRINS       | 4              | －             |
| STRINSP      | 5              | －             |
| STRDEL       | 4              | －             |
| STRDELP      | 5              | －             |
| LDE=         | 3              | ○             |
| LDE<>        | 3              | ○             |
| LDE>         | 3              | ○             |
| LDE<=        | 3              | ○             |
| LDE<         | 3              | ○             |
| LDE>=        | 3              | ○             |
| ANDE=        | 3              | ○             |
| ANDE<>       | 3              | ○             |
| ANDE>        | 3              | ○             |
| ANDE<=       | 3              | ○             |
| ANDE<        | 3              | ○             |
| ANDE>=       | 3              | ○             |
| ORE=         | 3              | ○             |
| ORE<>        | 3              | ○             |
| ORE>         | 3              | ○             |
| ORE<=        | 3              | ○             |
| ORE<         | 3              | ○             |
| ORE>=        | 3              | ○             |
| LDED=        | 3              | －             |
| LDED<>       | 3              | －             |
| LDED>        | 3              | －             |
| LDED<=       | 3              | －             |
| LDED<        | 3              | －             |
| LDED>=       | 3              | －             |
| ANDED=       | 3              | －             |
| ANDED<>      | 3              | －             |
| ANDED>       | 3              | －             |
| ANDED<=      | 3              | －             |
| ANDED<       | 3              | －             |
| ANDED>=      | 3              | －             |
| ORED=        | 3              | －             |
| ORED<>       | 3              | －             |
| ORED>        | 3              | －             |
| ORED<=       | 3              | －             |
| ORED<        | 3              | －             |
| ORED>=       | 3              | －             |
| ECMP         | 4              | －             |
| ECMPP        | 5              | －             |
| EDCMP        | 4              | －             |
| EDCMPP       | 5              | －             |
| EZCP         | 5              | －             |
| EZCPP        | 6              | －             |
| EDZCP        | 5              | －             |
| EDZCPP       | 6              | －             |
| E+ (s) (d)   | 3              | ○             |
| E+P (s) (d)  | 4              | ○             |
| E+ (s1) (s2) (d) | 3          | ○             |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理に対応しているかどうかを「○」または「－」で表しています。
- 命令名は比較演算や論理演算、文字列操作など多様な種類が含まれています。

### ページ情報
- ページ番号は「1571」で、付録の一部として位置付けられています。
</contents>
