ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page72

<overview>
このページは主に表形式で構成されており、命令コードごとに処理内容と参照先が整理されています。テキスト部分は少なく、命令の分類見出しがあり、表が4つ並んでいます。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
■BIN16ビットブロックデータ加減算  
■BIN32ビットブロックデータ加減算  
■16ビットBINデータインクリメント、デクリメント  
■32ビットBINデータインクリメント、デクリメント  

### 表
#### BIN16ビットブロックデータ加減算
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| BK+ | 指定した2つのBIN16ビットデータブロックを加算します。 | 278ページ BK+(P)(_U) |
| BK+P | 同上 | 同上 |
| BK+_U | 同上 | 同上 |
| BK+P_U | 同上 | 同上 |
| BK- | 指定した2つのBIN16ビットデータブロックを減算します。 | 280ページ BK-(P)(_U) |
| BK-P | 同上 | 同上 |
| BK-_U | 同上 | 同上 |
| BK-P_U | 同上 | 同上 |

#### BIN32ビットブロックデータ加減算
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DBK+ | 指定した2つのBIN32ビットデータブロックを加算します。 | 282ページ DBK+(P)(_U) |
| DBK+P | 同上 | 同上 |
| DBK+_U | 同上 | 同上 |
| DBK+P_U | 同上 | 同上 |
| DBK- | 指定した2つのBIN32ビットデータブロックを減算します。 | 285ページ DBK-(P)(_U) |
| DBK-P | 同上 | 同上 |
| DBK-_U | 同上 | 同上 |
| DBK-P_U | 同上 | 同上 |

#### 16ビットBINデータインクリメント、デクリメント
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| INC | 指定したBIN16ビットデータを+1します。 | 288ページ INC(P)(_U) |
| INCP | 同上 | 同上 |
| INC_U | 同上 | 同上 |
| INCP_U | 同上 | 同上 |
| DEC | 指定したBIN16ビットデータを-1します。 | 290ページ DEC(P)(_U) |
| DECP | 同上 | 同上 |
| DEC_U | 同上 | 同上 |
| DECP_U | 同上 | 同上 |

#### 32ビットBINデータインクリメント、デクリメント
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| DINC | 指定したBIN32ビットデータを+1します。 | 292ページ DINC(P)(_U) |
| DINCP | 同上 | 同上 |
| DINC_U | 同上 | 同上 |
| DINCP_U | 同上 | 同上 |
| DDEC | 指定したBIN32ビットデータを-1します。 | 294ページ DDEC(P)(_U) |
| DDECP | 同上 | 同上 |
| DDEC_U | 同上 | 同上 |
| DDECP_U | 同上 | 同上 |
</contents>
