ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page95

<overview>
本ページは「ファイル操作命令」と「データ制御命令」に関する内容で構成されています。ページ全体は主にテキストと表で構成されており、各命令の命令記号、処理内容、参照先が表形式で整理されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### ファイル操作命令
ファイル操作に関する各種命令が紹介されています。主に以下の操作が対象です。
- 指定ファイルからのデータリード
- 指定ファイルへのデータライト
- 指定ファイルの削除
- 指定ファイルのコピー
- 指定ファイルの移動
- 指定ファイル名の変更
- 指定ファイルの状態取得

#### データ制御命令
BIN16ビットおよび32ビットデータの上下限リミット制御、不感帯制御に関する命令が紹介されています。

### 表
#### ファイル操作命令一覧
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| SP.FREAD | 指定したファイルからデータを読み出します。 | 632ページ SP.FREAD |
| SP.FWRITE | 指定したファイルにデータを書き込みます。 | 649ページ SP.FWRITE |
| SP.FDELETE | 指定したファイル、またはフォルダを削除します。 | 665ページ SP.FDELETE |
| SP.FCOPY | 指定したファイル、またはフォルダをコピーします。 | 669ページ SP.FCOPY |
| SP.FMOVE | 指定したファイル、またはフォルダを移動します。 | 674ページ SP.FMOVE |
| SP.FRENAME | 指定したファイル名、またはフォルダ名を変更します。 | 679ページ SP.FRENAME |
| SP.FSTATUS | 指定したファイル、またはフォルダの状態を取得します。 | 683ページ SP.FSTATUS |

#### データ制御命令一覧
| 命令記号 | 処理内容 | 参照先 |
| :--- | :--- | :--- |
| LIMIT, LIMITP, LIMIT_U, LIMITP_U | 指定した入力値（BIN16ビット値）が上下限リミット値の範囲内か否かにより、出力値を制御します。 | 688ページ LIMIT(P)(_U) |
| DLIMIT, DLIMITP, DLIMIT_U, DLIMITP_U | 指定した入力値（BIN32ビット値）が上下限リミット値の範囲内か否かにより、出力値を制御します。 | 690ページ DLIMIT(P)(_U) |
| BAND, BANDP, BAND_U, BANDP_U | 指定した入力値（BIN16ビット値）が不感帯の上下限範囲内か否かにより、出力値を制御します。 | 692ページ BAND(P)(_U) |
| DBAND, DBANDP, DBAND_U, DBANDP_U | 指定した入力値（BIN32ビット値）が不感帯の上下限範囲内か否かにより、出力値を制御します。 | 694ページ DBAND(P)(_U) |
</contents>
