ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page638

<overview>
本ページは「ファイル操作命令」に関する説明の一部であり、主にデータの読み出しに関する処理単位や設定範囲を示した表が中心となっています。ページ全体は表形式で構成されており、テキスト部分は表の前後に簡単な説明文があるのみです。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
- データの要求読出しデータ数(d1)+2、ファイル位置(d1)+4、(d1)+5および、読出し結果データ数(d2)+0の処理単位は、実行/完了タイプ(d1)+0およびデータタイプ指定(d1)+7の組合せにより指定することが説明されています。

### 表
#### 処理単位および設定範囲一覧（データの要求読出しに関する詳細）

| 実行/完了タイプ(d1)+0 | データタイプ指定(d1)+7 | 処理単位および設定範囲 | 要求読出しデータ数(d1)+2 | ファイル位置(d1)+4、(d1)+5 | 読出し結果データ数(d2)+0 |
|------------------------|------------------------|------------------------|--------------------------|----------------------------|--------------------------|
| バイナリ読出し         | 0000H: BIN16ビットデータ | 0: ワード               | ワード(1～65535)          | ワード(00000000H～7FFFFFFFH) | ワード                   |
|                        |                        | 1: 偶数バイト           | ワード(1～32767)          | バイト(00000000H～FFFFFFFFH) | バイト                   |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | ワード(1～65535)          | ワード(00000000H～7FFFFFFFH) | ワード                   |
|                        |                        | 3: 奇数バイト           | ワード(1～32767)          | バイト(00000000H～FFFFFFFFH) | バイト                   |
|                        | 0001H: BIN32ビットデータ | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | ダブルワード(1～32767)    | ダブルワード(00000000H～3FFFFFFFH) | ダブルワード             |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |
| CSV形式変換読出し      | 0100H: 10進数(16ビットデータ) | 0: ワード               | 要素数(1～65535)          | 行数                       | ワード                   |
|                        |                        | 1: 偶数バイト           | 要素数(1～32767)          | 行数                       | バイト                   |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～65535)          | 行数                       | ワード                   |
|                        |                        | 3: 奇数バイト           | 要素数(1～32767)          | 行数                       | バイト                   |
|                        | 0110H: 10進数(符号付き32ビットデータ) | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～32767)          | 行数                       | ダブルワード             |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |
|                        | 0120H: 16進数(16ビットデータ) | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～65535)          | 行数                       | ワード                   |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |
|                        | 0121H: 16進数(32ビットデータ) | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～32767)          | 行数                       | ダブルワード             |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |
|                        | 0130H: 文字列(アスキーデータ) | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～1023)           | 行数                       | 要素数                   |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |
|                        | 0140H: 浮動小数点実数(単精度実数) | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～32767)          | 行数                       | ダブルワード             |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |
|                        | 0141H: 浮動小数点実数(倍精度実数) | 0: ワード               | 指定不可                  |                            |                          |
|                        |                        | 1: 偶数バイト           | 指定不可                  |                            |                          |
|                        |                        | 2: 実行/完了タイプで指定したデータ型の単位 | 要素数(1～16383)          | 行数                       | 4ワード                  |
|                        |                        | 3: 奇数バイト           | 指定不可                  |                            |                          |

- 表は、実行/完了タイプとデータタイプ指定の組み合わせにより、要求読出しデータ数、ファイル位置、読出し結果データ数の処理単位や範囲がどのように設定されるかを詳細に示しています。
- バイナリ読出し、CSV形式変換読出しの各種データタイプ（16ビット、32ビット、符号付き、文字列、浮動小数点など）に対応しています。
</contents>
