ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1557

<overview>
このページは「付2 基本ステップ数とサブセット処理の可否」に関する内容で構成されています。主に表形式で、各命令名ごとに「基本ステップ数」と「サブセット処理の可否」が一覧で示されています。テキスト部分はタイトルと説明文のみで、表がページの大部分を占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 付2 基本ステップ数とサブセット処理の可否
下記に各命令の基本ステップ数とサブセット処理の可否を示します。

### 表
| 命令名 | 基本ステップ数 | サブセット可否 |
| :--- | :---: | :---: |
| LD | 1 | ○ |
| LDI | 1 | ○ |
| AND | 1 | ○ |
| ANI | 1 | ○ |
| OR | 1 | ○ |
| ORI | 1 | ○ |
| LDP | 2 | ○ |
| LDF | 2 | ○ |
| ANDP | 2 | ○ |
| ANDF | 2 | ○ |
| ORP | 2 | ○ |
| ORF | 2 | ○ |
| LDPI | 2 | ○ |
| LDFI | 2 | ○ |
| ANDPI | 2 | ○ |
| ANDFI | 2 | ○ |
| ORPI | 2 | ○ |
| ORFI | 2 | ○ |
| ANB | 1 | ― |
| ORB | 1 | ― |
| MPS | 1 | ― |
| MRD | 1 | ― |
| MPP | 1 | ― |
| INV | 1 | ― |
| MEP | 1 | ― |
| MEF | 1 | ― |
| EGP | 1 | ― |
| EGF | 1 | ― |
| OUT | 1 | ○ |
| OUT T/ST | 4 | ― |
| OUT LT/LST | 2 | ― |
| OUT C | 4 | ― |
| OUT LC | 4 | ― |
| OUT F | 2 | ― |
| OUTH T/ST | 4 | ― |
| SET | 1 | ○ |
| RST | 1 | ○ |
| SET F | 3 | ― |
| RST F | 3 | ― |
| PLS | 2 | ○ |
| PLF | 2 | ○ |
| FF | 2 | ○ |
| DELTA | 2 | ― |
| DELTAP | 3 | ― |
| SFT | 2 | ― |
| SFTP | 3 | ― |
| MC | 2 | ○ |
| MCR | 1 | ― |
| PHASE | 19*1 | ― |

- 「基本ステップ数」は各命令の処理に必要な基本的なステップ数を示しています。
- 「サブセット可否」はその命令がサブセット処理に対応しているかどうかを「○」または「―」で示しています。
- 「PHASE」の基本ステップ数は19で、注釈（*1）が付いていますが、詳細はこのページには記載されていません。

</contents>
