ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page687

<overview>
このページは「ファイル操作命令で発生するエラーコード」についての説明で構成されています。主にテキストと表で構成されており、エラーコードごとにエラー内容とその処置方法が一覧形式で示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
「ファイル操作命令の完了ステータスに格納されるエラーコードの一覧」を示しています。

### 表
#### ファイル操作命令で発生するエラーコード一覧

| エラーコード | エラー内容 | 処置方法 |
| :--- | :--- | :--- |
| 8000H | SM606(SDメモリカード強制使用停止指示)がONしている。<br>SDメモリカードが装着されていない。<br>SDメモリカードがマウントされていない。 | SM606がONの場合、SM606をOFFし、SDメモリカード強制使用停止解除を行う。<br>SDメモリカードを装着する。<br>SDメモリカードをマウントする。 |
| 8001H | SDメモリカードへのアクセスに失敗した。<br>SDメモリカードがプロテクトされている。<br>ファイルが読取専用になっている。<br>SDメモリカードに格納するファイルのサイズが、SDメモリカードの空き容量もしくは最大容量を超えている。 | ・ファイル名文字列の指定に誤りがないか確認。<br>・他機能でファイルにアクセスしていないか確認。<br>・ノイズ対策を施す。<br>・CPUユニットをリセット後RUNし、エラーが続く場合はハードウェア異常の可能性あり。<br>・ライトプロテクトスイッチを無効（書込み許可）にする。<br>・読み取り専用設定を解除。<br>・不要ファイルを削除し空き容量を確保。<br>・ファイルサイズを最大容量以下に修正。 |
| 8002H | 指定したファイルまたはフォルダが存在しない。<br>SDメモリカードの空き容量が不足している。 | ・指定ファイルやフォルダの存在を確認。<br>・不要ファイルを削除し空き容量を確保。 |
| 8003H | ファイルから読み出したデータ数の合計が、(d1)+3(最大読出しデータ数)を超えた。 | (d1)+2(要求読出しデータ数)または(d1)+3(最大読出しデータ数)を調整。 |
| 8004H | 削除対象フォルダが空フォルダではない。 | コントロールデータの設定を確認。 |
| 8005H | 同名のファイルまたはフォルダが存在している。 | ファイル名またはフォルダ名を変更。 |
| 8006H | ・命令実行後のフォルダパスが244文字を超えるフォルダが存在。<br>・命令実行後のファイルパスが253文字を超えるファイルが存在。<br>・コピー先または移動先に、コピー元と同一のフォルダ/サブフォルダ、または移動元と同一のフォルダ/サブフォルダを指定している。 | ・命令実行後のフォルダパスまたはファイルパスが最大文字数を超えないように設定。<br>・コピー先または移動先のパスを変更。 |

</contents>
