ファイル名: HM-60252J_page398

<overview>
このページは「JOG/HOME/ZHOME運転 運転情報設定パラメータ」に関する内容で構成されています。主に表形式で、Modbus通信レジスタアドレス、名称、設定範囲、初期値、反映、FAネットワーク命令コード（READ/WRITE）が一覧で示されています。テキスト部分はパラメータ名や説明が含まれています。グラフや図はなく、表中心の技術資料ページです。
</overview>

<contents>
### テキスト
#### JOG/HOME/ZHOME運転 運転情報設定パラメータ
各種運転パラメータの設定範囲や初期値、対応するModbus通信レジスタアドレスおよびFAネットワーク命令コードが記載されています。

### 表
#### JOG/HOME/ZHOME運転情報設定パラメータ一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                             | 設定範囲                                                                                  | 初期値     | 反映 | FAネットワーク命令コード READ (16進) | FAネットワーク命令コード WRITE (16進) |
|:-------------------------------:|:-------------------------------:|:--------------------------------|:-----------------------------------------------------------------------------------------|:----------:|:----:|:------------------------------------:|:-------------------------------------:|
| 672 (02A0h)                     | 673 (02A1h)                     | (JOG)移動量                     | 1～8,388,607 step                                                                        | 1          | B    | 336 (0150h)                         | 4432 (1150h)                         |
| 674 (02A2h)                     | 675 (02A3h)                     | (JOG)運転速度                   | 1～4,000,000 Hz                                                                          | 1,000      | B    | 337 (0151h)                         | 4433 (1151h)                         |
| 676 (02A4h)                     | 677 (02A5h)                     | (JOG)加減速                   | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s、または1=0.001 ms/kHz)                       | 1,000,000  | B    | 338 (0152h)                         | 4434 (1152h)                         |
| 678 (02A6h)                     | 679 (02A7h)                     | (JOG)起動速度                   | 0～4,000,000 Hz                                                                          | 500        | B    | 339 (0153h)                         | 4435 (1153h)                         |
| 680 (02A8h)                     | 681 (02A9h)                     | (JOG)運転速度（高）             | 1～4,000,000 Hz                                                                          | 5,000      | B    | 340 (0154h)                         | 4436 (1154h)                         |
| 688 (02B0h)                     | 689 (02B1h)                     | (ZHOME)運転速度                | 1～4,000,000 Hz                                                                          | 5,000      | B    | 344 (0158h)                         | 4440 (1158h)                         |
| 690 (02B2h)                     | 691 (02B3h)                     | (ZHOME)加減速                 | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s、または1=0.001 ms/kHz)                       | 1,000,000  | B    | 345 (0159h)                         | 4441 (1159h)                         |
| 692 (02B4h)                     | 693 (02B5h)                     | (ZHOME)起動速度                | 0～4,000,000 Hz                                                                          | 500        | B    | 346 (015Ah)                         | 4442 (115Ah)                         |
| 700 (02BCh)                    | 701 (02BDh)                    | JOG/HOME/ZHOME運転指令フィルタ時定数 | 1～200 ms                                                                               | 1          | B    | 350 (015Eh)                         | 4446 (115Eh)                         |
| 702 (02BEh)                    | 703 (02BFh)                    | JOG/HOME/ZHOME運転 運転電流     | 0～1,000 (1=0.1 %)                                                                     | 1,000      | B    | 351 (015Fh)                         | 4447 (115Fh)                         |
| 704 (02C0h)                    | 705 (02C1h)                    | (HOME)原点復帰方法             | 0:2センサ 1:3センサ 2:1方向回転 3:押し当て                                            | 1          | B    | 352 (0160h)                         | 4448 (1160h)                         |
| 706 (02C2h)                    | 707 (02C3h)                    | (HOME)原点復帰開始方向         | 0:-側 1:+側                                                                             | 1          | B    | 353 (0161h)                         | 4449 (1161h)                         |
| 708 (02C4h)                    | 709 (02C5h)                    | (HOME)原点復帰加減速           | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s、または1=0.001 ms/kHz)                       | 1,000,000  | B    | 354 (0162h)                         | 4450 (1162h)                         |
| 710 (02C6h)                    | 711 (02C7h)                    | (HOME)原点復帰起動速度         | 1～4,000,000 Hz                                                                        | 500        | B    | 355 (0163h)                         | 4451 (1163h)                         |
| 712 (02C8h)                    | 713 (02C9h)                    | (HOME)原点復帰運転速度         | 1～4,000,000 Hz                                                                        | 1,000      | B    | 356 (0164h)                         | 4452 (1164h)                         |
| 714 (02CAh)                    | 715 (02CBh)                    | (HOME)原点復帰原点検出速度     | 1～10,000 Hz                                                                           | 500        | B    | 357 (0165h)                         | 4453 (1165h)                         |
| 716 (02CCh)                    | 717 (02CDh)                    | (HOME)原点復帰SLITセンサ検出   | 0:無効 1:有効                                                                          | 0          | B    | 358 (0166h)                         | 4454 (1166h)                         |
| 718 (02CEh)                    | 719 (02CFh)                    | (HOME)原点復帰TIM・ZSG信号検出 | 0:無効 1:TIM出力 2:ZSG出力                                                            | 0          | B    | 359 (0167h)                         | 4455 (1167h)                         |
| 720 (02D0h)                    | 721 (02D1h)                    | (HOME)原点復帰オフセット       | -2,147,483,647～2,147,483,647 step                                                    | 0          | B    | 360 (0168h)                         | 4456 (1168h)                         |
| 722 (02D2h)                    | 723 (02D3h)                    | (HOME)2センサ原点復帰戻り量     | 0～8,388,607 step                                                                      | 500        | B    | 361 (0169h)                         | 4457 (1169h)                         |
| 724 (02D4h)                    | 725 (02D5h)                    | (HOME)1方向回転原点復帰動作量   | 0～8,388,607 step                                                                      | 500        | B    | 362 (016Ah)                         | 4458 (116Ah)                         |
| 726 (02D6h)                    | 727 (02D7h)                    | (HOME)押し当て原点復帰運転電流 | 0～1,000 (1=0.1 %)                                                                    | 1,000      | B    | 363 (016Bh)                         | 4459 (116Bh)                         |
| 728 (02D8h)                    | 729 (02D9h)                    | (HOME)押し当て原点復帰初回戻り量 | 0～8,388,607 step                                                                      | 0          | B    | 364 (016Ch)                         | 4460 (116Ch)                         |

</contents>
