ファイル名: HM-60252J_page248

<overview>
このページは「パラメータ：通信・I/F機能」に関する内容で構成されています。主に表形式で、各パラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明文で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### パラメータ：通信・I/F機能
各パラメータは「間接参照対象アドレス設定」として番号（0～27）ごとに設定項目があり、それぞれのパラメータは対応する間接参照アドレスに格納するデータのIDを設定するものです。

### 表
#### 間接参照対象アドレス設定一覧

| パラメータ名                   | 内容                                               | 設定範囲               | 初期値 |
|------------------------------|--------------------------------------------------|------------------------|--------|
| 間接参照(0)対象アドレス設定   | 間接参照アドレス(0)に格納するデータのIDを設定します。 | 0～65,535 (0～FFFFh)   | 0      |
| 間接参照(1)対象アドレス設定   | 間接参照アドレス(1)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(2)対象アドレス設定   | 間接参照アドレス(2)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(3)対象アドレス設定   | 間接参照アドレス(3)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(4)対象アドレス設定   | 間接参照アドレス(4)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(5)対象アドレス設定   | 間接参照アドレス(5)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(6)対象アドレス設定   | 間接参照アドレス(6)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(7)対象アドレス設定   | 間接参照アドレス(7)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(8)対象アドレス設定   | 間接参照アドレス(8)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(9)対象アドレス設定   | 間接参照アドレス(9)に格納するデータのIDを設定します。 |                        | 0      |
| 間接参照(10)対象アドレス設定  | 間接参照アドレス(10)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(11)対象アドレス設定  | 間接参照アドレス(11)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(12)対象アドレス設定  | 間接参照アドレス(12)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(13)対象アドレス設定  | 間接参照アドレス(13)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(14)対象アドレス設定  | 間接参照アドレス(14)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(15)対象アドレス設定  | 間接参照アドレス(15)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(16)対象アドレス設定  | 間接参照アドレス(16)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(17)対象アドレス設定  | 間接参照アドレス(17)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(18)対象アドレス設定  | 間接参照アドレス(18)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(19)対象アドレス設定  | 間接参照アドレス(19)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(20)対象アドレス設定  | 間接参照アドレス(20)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(21)対象アドレス設定  | 間接参照アドレス(21)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(22)対象アドレス設定  | 間接参照アドレス(22)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(23)対象アドレス設定  | 間接参照アドレス(23)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(24)対象アドレス設定  | 間接参照アドレス(24)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(25)対象アドレス設定  | 間接参照アドレス(25)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(26)対象アドレス設定  | 間接参照アドレス(26)に格納するデータのIDを設定します。|                        | 0      |
| 間接参照(27)対象アドレス設定  | 間接参照アドレス(27)に格納するデータのIDを設定します。|                        | 0      |

---

以上の内容は、通信・I/F機能における間接参照アドレスの設定パラメータ一覧であり、各アドレスに格納するデータIDを0～65535の範囲で設定可能で、初期値はすべて0に設定されています。
</contents>
