ファイル名: HM-60252J_page365

<overview>
本ページはモニタコマンドに関する情報を掲載しており、主に表形式で構成されています。内容はModbus通信レジスタアドレス、名称、内容、FAネットワーク命令コードの4つのカラムからなる一覧表です。テキスト部分は表の説明や補足はなく、表の各項目の詳細説明が中心です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### モニタコマンド一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                         | 内容                                                                                     | FAネットワーク命令コード |
| :-------------------------------: | :-------------------------------: | :--------------------------- | :--------------------------------------------------------------------------------------- | :-----------------------: |
| 194 (00C2h)                      | 195 (00C3h)                      | 現在の選択データNo.           | 選択されている運転データNo.を示します。優先順位は、NET選択番号、ダイレクト選択(D-SEL)、M0～M7入力の順です。 | 8289 (2061h)              |
| 196 (00C4h)                      | 197 (00C5h)                      | 現在の運転データNo.           | ストアードデータ運転中または連続マクロ運転で運転中の運転データNo.を示します。運転データを使用しない運転では、-1が表示されます。停止中も-1が表示されます。 | 8290 (2062h)              |
| 198 (00C6h)                      | 199 (00C7h)                      | 指令位置                       | 現在の指令位置を示します。ラウンド機能が有効のときは、ラウンド座標上の値が表示されます。                             | 8291 (2063h)              |
| 200 (00C8h)                      | 201 (00C9h)                      | 指令速度 (r/min)               | 現在の指令速度を示します。（r/min）                                                        | 8292 (2064h)              |
| 202 (00CAh)                     | 203 (00CBh)                     | 指令速度 (Hz)                  | 現在の指令速度を示します。（Hz）                                                           | 8293 (2065h)              |
| 204 (00CCh)                     | 205 (00CDh)                     | 検出位置                       | 現在の検出位置を示します。ラウンド機能が有効のときは、ラウンド座標上の値が表示されます。                             | 8294 (2066h)              |
| 206 (00CEh)                     | 207 (00CFh)                     | 検出速度 (r/min)               | 現在の検出速度を示します。（r/min）                                                        | 8295 (2067h)              |
| 208 (00D0h)                     | 209 (00D1h)                     | 検出速度 (Hz)                  | 現在の検出速度を示します。（Hz）                                                           | 8296 (2068h)              |
| 210 (00D2h)                     | 211 (00D3h)                     | ドウェルの残り時間             | 運転終了遅延中またはドウェル時間中における残り時間を示します。（ms）                         | 8297 (2069h)              |
| 212 (00D4h)                     | 213 (00D5h)                     | ダイレクトI/O                 | ダイレクト入出力、拡張入力、差動出力、および仮想入力の状態を示します。（bitの配置→371ページ） | 8298 (206Ah)              |
| 214 (00D6h)                     | 215 (00D7h)                     | トルクモニタ                   | 現在のトルクを、励磁最大静止トルクに対する割合で示します。                                 | 8299 (206Bh)              |
| 218 (00DAh)                     | 219 (00DBh)                     | 積算負荷モニタ                 | 運転中の負荷の積算値を示します。（内部単位）モーターの回転方向に関係なく、負荷を積算します。（積算負荷モニタの詳細→460ページ） | 8301 (206Dh)              |
| 222 (00DEh)                     | 223 (00DFh)                     | ターゲット位置                 | ・次の運転における目標指令位置を絶対座標で示します。<br> - 位置決めSD運転、インチング運転、高速原点復帰運転、原点復帰運転（オフセット移動時）<br>・次の運転では、運転開始位置を示します。<br> - 連続SD運転、連続マクロ運転、インチング運転以外のJOGマクロ運転、原点復帰運転（センサ使用時、押し当て方式時） | 8303 (206Fh)              |
| 224 (00E0h)                     | 225 (00E1h)                     | Next No.                     | 運転中の運転データの「結合先」で指定された運転データNo.を示します。運転終了後も値をラッチします。「結合」が「結合無」、または「結合先」が「Stop」のときは、-1が表示されます。 | 8304 (2070h)              |
| 226 (00E2h)                     | 227 (00E3h)                     | ループ戻りNo.                 | ループ運転（拡張ループ運転）において、ループの起点となる運転データNo.を示します。ループが実行されていないとき、または停止中は-1が表示されます。 | 8305 (2071h)              |
| 228 (00E4h)                     | 229 (00E5h)                     | ループカウント                 | ループ運転（拡張ループ運転）において、現在のループ回数を示します。ループ以外の運転が実行されているとき、または停止中は0が表示されます。 | 8306 (2072h)              |
| 230 (00E6h)                     | 231 (00E7h)                     | イベントモニタ指令位置 (NEXT) | NEXTによってイベントが発生したときの指令位置をラッチします。ラッチ中に再度同じイベントが発生すると、値が上書きされます。ラッチをクリアすると、0が表示されます。 | 8307 (2073h)              |
| 232 (00E8h)                     | 233 (00E9h)                     | イベントモニタ検出位置 (NEXT) | NEXTによってイベントが発生したときの検出位置をラッチします。ラッチ中に再度同じイベントが発生すると、値が上書きされます。ラッチをクリアすると、0が表示されます。 | 8308 (2074h)              |
| 234 (00EAh)                     | 235 (00EBh)                     | イベントモニタ指令位置 (JUMP0-弱イベント) | 弱イベントが発生したときの指令位置をラッチします。ラッチ中に再度同じイベントが発生すると、値が上書きされます。ラッチをクリアすると、0が表示されます。 | 8309 (2075h)              |

</contents>
