ファイル名: HM-60252J_page290

<overview>
本ページは「データの設定方法」に関する内容で構成されています。ページ全体は主に表形式で構成されており、「関連するパラメータ」として通信・I/F機能に関わる複数の間接参照アドレス設定項目が一覧化されています。テキスト部分は表の説明として、間接参照アドレスに格納するデータIDの設定範囲や初期値について記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 関連するパラメータ
通信・I/F機能に関する間接参照アドレス設定のパラメータ一覧です。各パラメータは「間接参照(0)対象アドレス設定」から「間接参照(31)対象アドレス設定」まで連番で並んでいます。

- 間接参照アドレスに格納するデータのIDを設定します。
- 設定範囲は0～65,535（16進数で0～FFFFh）です。
- 初期値はすべて0に設定されています。

### 表
#### 関連するパラメータ一覧

| MEXE02ツリー表示 | 名称                     | 内容                                                                 | 初期値 |
|------------------|--------------------------|----------------------------------------------------------------------|--------|
|                  | 間接参照(0)対象アドレス設定  | 間接参照アドレスに格納するデータのIDを設定します。<br>【設定範囲】0～65,535（0～FFFFh） | 0      |
|                  | 間接参照(1)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(2)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(3)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(4)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(5)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(6)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(7)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(8)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(9)対象アドレス設定  | 同上                                                                 | 0      |
|                  | 間接参照(10)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(11)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(12)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(13)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(14)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(15)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(16)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(17)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(18)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(19)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(20)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(21)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(22)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(23)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(24)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(25)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(26)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(27)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(28)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(29)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(30)対象アドレス設定 | 同上                                                                 | 0      |
|                  | 間接参照(31)対象アドレス設定 | 同上                                                                 | 0      |

</contents>
