ファイル名: HM-60252J_page467

<overview>
本ページは「パルス列運転の拡張設定」に関する章の目次ページです。  
ページ全体はテキストのみで構成されており、章の内容を示す目次が記載されています。  
表やグラフ、図は含まれていません。  
目次は6つの大項目に分かれており、それぞれ細かい小項目が設定されています。  
主な内容は、運転と拡張設定の流れ、スイッチによる設定、パラメータによる拡張設定、入出力信号、モニタ機能、押し当て運転に関する説明です。
</overview>

<contents>
### テキスト
#### 10 パルス列運転の拡張設定
パルス列運転の機能を拡張させる方法について説明します。

##### もくじ
| 項目番号 | 内容 | ページ |
| :--- | :--- | :--- |
| 1 | 運転と拡張設定のながれ | 468 |
| 2 | スイッチによる設定（パルス列入力タイプのみ） | 469 |
| 2-1 | 分解能 | 469 |
| 2-2 | パルス入力方式 | 470 |
| 2-3 | 運転電流 | 470 |
| 2-4 | 指令フィルタ | 471 |
| 3 | パラメータによる拡張設定 | 473 |
| 3-1 | 分解能 | 473 |
| 3-2 | パルス入力方式 | 473 |
| 3-3 | 運転電流 | 475 |
| 3-4 | 指令フィルタ | 475 |
| 4 | パルス列運転に関する入出力信号 | 477 |
| 4-1 | LED（パルス列入力タイプのみ） | 477 |
| 4-2 | 入力信号 | 477 |
| 4-3 | 出力信号 | 478 |
| 4-4 | タイミングチャート | 480 |
| 5 | モニタ機能 | 481 |
| 5-1 | I/O位置出力機能 | 481 |
| 5-2 | パルスリクエスト機能 | 483 |
| 6 | 押し当て運転 | 485 |
| 6-1 | 運転の準備 | 485 |
| 6-2 | 押し当て運転の実行 | 488 |
| 6-3 | タイミングチャート | 489 |
</contents>
