ファイル名: HM-60252J_page388

<overview>
このページは主に表形式で構成されており、運転データのR/Wコマンド（互換用）とFAネットワークの直接参照に関するアドレスコード一覧を示しています。テキスト部分は表のタイトルや説明、各項目の名称や設定範囲、初期値、反映の有無などの説明が含まれています。グラフや図はなく、表が中心の構成です。
</overview>

<contents>
### テキスト
#### 運転データR/Wコマンド（互換用）
Modbus通信の基準アドレス（上位・下位）、名称、設定範囲、初期値、反映の有無を示しています。

#### 11-2 直接参照（FAネットワーク）
FAネットワークの命令コード（READ/WRITE）、名称、設定範囲、初期値、反映の有無を示しています。

### 表
#### 運転データR/Wコマンド（互換用）

| Modbus通信基準アドレス 上位 | Modbus通信基準アドレス 下位 | 名称           | 設定範囲                                                                 | 初期値    | 反映 |
|-----------------------------|-----------------------------|----------------|-------------------------------------------------------------------------|-----------|------|
| 1664 (0680h)                | 1665 (0681h)                | 停止レートNo.0  | 1～1,000,000,000 (1=0.001 kHz/s、1=0.001 s、または1=0.001 ms/kHz)       | 1,000,000 | B    |
| 1666 (0682h)                | 1667 (0683h)                | 停止レートNo.1  | 同上                                                                    | 同上      | B    |
| ～                         | ～                         | ～             | ～                                                                      |           |      |
| 1790 (06FEh)                | 1791 (06FFh)                | 停止レートNo.63 | 同上                                                                    |           |      |
| 1792 (0700h)                | 1793 (0701h)                | 運転電流No.0    | 0～1,000 (1=0.1 %)                                                      | 1,000     | B    |
| 1794 (0702h)                | 1795 (0703h)                | 運転電流No.1    | 同上                                                                    | 同上      | B    |
| ～                         | ～                         | ～             | ～                                                                      |           |      |
| 1918 (077Eh)                | 1919 (077Fh)                | 運転電流No.63   | 同上                                                                    |           |      |

#### 11-2 直接参照（FAネットワーク）

| FAネットワーク命令コード READ | FAネットワーク命令コード WRITE | 名称         | 設定範囲                                                                                     | 初期値 | 反映 |
|-------------------------------|---------------------------------|--------------|----------------------------------------------------------------------------------------------|--------|------|
| 512 (0200h)                   | 4608 (1200h)                    | 位置No.0     | -2,147,483,648～2,147,483,647 step                                                           | 0      | B    |
| 513 (0201h)                   | 4609 (1201h)                    | 位置No.1     | 同上                                                                                        | 同上   | B    |
| ～                           | ～                             | ～           | ～                                                                                          |        |      |
| 575 (023Fh)                   | 4671 (123Fh)                    | 位置No.63    | 同上                                                                                        |        |      |
| 576 (0240h)                   | 4672 (1240h)                    | 速度No.0     | -4,000,000～4,000,000 Hz                                                                    | 1,000  | B    |
| 577 (0241h)                   | 4673 (1241h)                    | 速度No.1     | 同上                                                                                        | 同上   | B    |
| ～                           | ～                             | ～           | ～                                                                                          |        |      |
| 639 (027Fh)                   | 4735 (127Fh)                    | 速度No.63    | 同上                                                                                        |        |      |
| 640 (0280h)                   | 4736 (1280h)                    | 方式No.0     | 1:絶対位置決め<br>2:相対位置決め（指令位置基準）<br>3:相対位置決め（検出位置基準）<br>7:連続運転（位置制御）<br>8:ラウンド絶対位置決め<br>9:ラウンド近回り位置決め<br>10:ラウンドFWD方向絶対位置決め<br>11:ラウンドRVS方向絶対位置決め<br>12:ラウンド絶対押し当て<br>13:ラウンド近回り押し当て<br>14:ラウンドFWD方向押し当て<br>15:ラウンドRVS方向押し当て<br>16:連続運転（速度制御）<br>17:連続運転（押し当て）<br>18:連続運転（トルク）<br>20:絶対位置決め押し当て<br>21:相対位置決め押し当て（指令位置基準）<br>22:相対位置決め押し当て（検出位置基準） | 2      | B    |
| 641 (0281h)                   | 4737 (1281h)                    | 方式No.1     | 同上                                                                                        | 同上   | B    |
| ～                           | ～                             | ～           | ～                                                                                          |        |      |
| 703 (02BFh)                   | 4799 (12BFh)                    | 方式No.63    | 同上                                                                                        |        |      |
</contents>
