ファイル名: HM-60252J_page411

<overview>
このページは主に表形式で構成されており、Modbus通信のレジスタアドレスに対応するパラメータR/Wコマンドの一覧を示しています。テキスト部分は各項目の名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READ/WRITE）を説明しています。表は複数のパラメータに関する詳細情報を網羅的に記載しており、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### パラメータR/Wコマンド一覧
Modbus通信のレジスタアドレス（上位・下位）に対応する各パラメータの名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READおよびWRITE）が一覧で示されています。

- 設定範囲の例として、「0:軸IDで動作」「1:グループIDで動作」や「0～250 ms」などが記載されています。
- 初期値はほとんどが「0」で、反映は「C」となっています。
- FAネットワーク命令コードは16進数表記で示されており、READとWRITEのコードがそれぞれ対応しています。

### 表
#### Modbus通信レジスタアドレス対応パラメータ一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                              | 設定範囲                  | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | FAネットワーク命令コード WRITE (16進) |
|:-------------------------------:|:-------------------------------:|:--------------------------------:|:-------------------------:|:------:|:----:|:------------------------------------:|:-------------------------------------:|
| 4672 (1240h)                    | 4673 (1241h)                    | R-IN0グループ動作モード 初期状態(NETC) | 0:軸IDで動作 1:グループIDで動作 | 0      | C    | 2336 (0920h)                        | 6432 (1920h)                         |
| 4674 (1242h)                    | 4675 (1243h)                    | R-IN1グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2337 (0921h)                        | 6433 (1921h)                         |
| 4676 (1244h)                    | 4677 (1245h)                    | R-IN2グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2338 (0922h)                        | 6434 (1922h)                         |
| 4678 (1246h)                    | 4679 (1247h)                    | R-IN3グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2339 (0923h)                        | 6435 (1923h)                         |
| 4680 (1248h)                    | 4681 (1249h)                    | R-IN4グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2340 (0924h)                        | 6436 (1924h)                         |
| 4682 (124Ah)                   | 4683 (124Bh)                   | R-IN5グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2341 (0925h)                        | 6437 (1925h)                         |
| 4684 (124Ch)                   | 4685 (124Dh)                   | R-IN6グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2342 (0926h)                        | 6438 (1926h)                         |
| 4686 (124Eh)                   | 4687 (124Fh)                   | R-IN7グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2343 (0927h)                        | 6439 (1927h)                         |
| 4688 (1250h)                   | 4689 (1251h)                   | R-IN8グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2344 (0928h)                        | 6440 (1928h)                         |
| 4690 (1252h)                   | 4691 (1253h)                   | R-IN9グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2345 (0929h)                        | 6441 (1929h)                         |
| 4692 (1254h)                   | 4693 (1255h)                   | R-IN10グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2346 (092Ah)                        | 6442 (192Ah)                         |
| 4694 (1256h)                   | 4695 (1257h)                   | R-IN11グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2347 (092Bh)                        | 6443 (192Bh)                         |
| 4696 (1258h)                   | 4697 (1259h)                   | R-IN12グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2348 (092Ch)                        | 6444 (192Ch)                         |
| 4698 (125Ah)                   | 4699 (125Bh)                   | R-IN13グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2349 (092Dh)                        | 6445 (192Dh)                         |
| 4700 (125Ch)                   | 4701 (125Dh)                   | R-IN14グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2350 (092Eh)                        | 6446 (192Eh)                         |
