ファイル名: HM-60252J_page168

<overview>
本ページは「信号一覧」と題されており、主に表形式で構成されています。ページ全体は割付No.、信号名、機能の3列からなる表が占めており、テキストやグラフは含まれていません。表は各信号の番号と名称、それに対応する機能説明を詳細に記載しています。
</overview>

<contents>
### 表
#### 信号一覧（割付No.、信号名、機能）

| 割付No. | 信号名       | 機能                                                                                   |
|---------|--------------|----------------------------------------------------------------------------------------|
| 144     | HOME-END     | 高速原点復帰運転や原点復帰運転の終了時、および位置プリセットの実行時に出力されます。       |
| 145     | ABSPEN       | 座標が確定されているときに出力されます。                                               |
| 146     | ELPRST-MON   | 電気原点座標が有効となっているときに出力されます。                                     |
| 149     | PRST-DIS     | プリセット後、モーターを動かす前に再度プリセットが必要な場合にONになります。             |
| 150     | PRST-STLD    | 機械原点が設定されていると出力されます。                                               |
| 151     | ORGN-STLD    | 工場出荷時に製品に合わせた機械原点が設定されている場合に出力されます。                   |
| 152     | RND-OVF     | ラウンド範囲を超えると出力が反転します。（トグル動作）                                 |
| 153     | FW-SLS       | FWD方向のソフトウェアリミットに到達すると出力されます。                                 |
| 154     | RV-SLS       | RVS方向のソフトウェアリミットに到達すると出力されます。                                 |
| 155     | ZSG          | モーターの検出位置が、プリセット位置から1回転するたびに出力されます。                   |
| 156     | RND-ZERO     | 「ラウンド（RND）設定」パラメータが「有効」のとき、モーターがラウンド範囲の原点にあると出力されます。 |
| 157     | TIM          | モーター出力軸が原点から7.2°回転するたびに出力されます。                               |
| 159     | MAREA        | モーターが運転データに設定したエリア内にあるときに出力されます。                       |
| 160〜167| AREA0〜AREA7 | モーターがエリア内にあるときに出力されます。                                           |
| 168     | MPS          | 主電源を投入しているときに出力されます。                                               |
| 169     | MBC          | 電磁ブレーキが解放状態のときに出力されます。                                           |
| 170     | RG           | 回生状態のときに出力されます。                                                         |
| 172     | EDM-MON      | HWTO1入力、HWTO2入力が両方OFFになると出力されます。                                   |
| 173     | HWTOIN-MON   | HWTO1入力、HWTO2入力の片方がOFFになると出力されます。                                 |
| 176     | MON-OUT     | I/O位置出力機能のリクエストに応じた情報を出力します。                                  |
| 177     | PLS-OUTR    | パルスリクエスト機能の準備が完了すると出力されます。                                  |
| 180     | USR-OUT0   | 2種類の出力信号の論理積または論理和を出力します。                                     |
| 181     | USR-OUT1   |                                                                                         |
| 192     | CRNT-LMTD  | 電流制限を行なっているときに出力されます。                                             |
| 193     | SPD-LMTD   | 速度制限を行なっているときに出力されます。                                             |
| 196     | OPE-BSY    | 内部発振が行なわれているときに出力されます。                                           |
| 197     | PAUSE-BSY  | ポーズ状態のときに出力されます。                                                       |
| 198     | SEQ-BSY    | ストアードデータ運転が行われているときに出力されます。                               |
| 199     | DELAY-BSY  | ドライバが待機状態（運転終了遅延、Dwell）になると出力されます。                      |
| 200     | JUMP0-LAT  | 弱イベントトリガが検出されたときに出力されます。                                       |
| 201     | JUMP1-LAT  | 強イベントトリガが検出されたときに出力されます。                                       |
| 202     | NEXT-LAT   | NEXT入力によって運転の遷移が行なわれたときに出力されます。                           |
| 203     | PLS-LOST  | パルス入力が無効のときに、パルスが入力されると出力されます。                          |
| 204     | DCMD-RDY  | ダイレクトデータ運転の準備が完了したときに出力されます。                             |
| 205     | DCMD-FULL | ダイレクトデータ運転のバッファ領域にデータが書き込まれているときに出力されます。       |
| 207     | M-CHG     | 運転データNo.が遷移すると出力が反転します。（トグル動作）                            |
| 208     | M-ACT0    | 運転中の運転データNo.に対応するM0入力の状態を出力します。                             |
| 209     | M-ACT1    | 運転中の運転データNo.に対応するM1入力の状態を出力します。                             |
| 210     | M-ACT2    | 運転中の運転データNo.に対応するM2入力の状態を出力します。                             |
| 211     | M-ACT3    | 運転中の運転データNo.に対応するM3入力の状態を出力します。                             |
| 212     | M-ACT4    | 運転中の運転データNo.に対応するM4入力の状態を出力します。                             |
| 213     | M-ACT5    | 運転中の運転データNo.に対応するM5入力の状態を出力します。                             |

</contents>
