ファイル名: HM-60252J_page231

<overview>
このPDFページは、モーター・機構のパラメータ設定に関する内容で構成されています。ページ全体は表形式で、各パラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明が中心で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータ：モーター・機構（座標/JOG/原点復帰）設定

| パラメータ名 | 内容 | 設定範囲 | 初期値 |
| :--- | :--- | :--- | :--- |
| JOG/HOME/ZHOME運転運転電流 | 運転電流を設定します。 | 0～1,000 (1=0.1%) | 1,000 |
| (JOG)移動量 | インチング運転の移動量を設定します。 | 1～8,388,607 step | 1 |
| (JOG)運転速度 | JOG運転、インチング運転の運転速度を設定します。 | 1～4,000,000 Hz | 1,000 |
| (JOG)加減速 | JOGマクロ運転の加減速レートまたは加減速時間を設定します。 | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s, または1=0.001 ms/kHz) | 1,000,000 |
| (JOG)起動速度 | JOGマクロ運転の起動速度を設定します。 | 0～4,000,000 Hz | 500 |
| (JOG)運転速度(高) | 高速JOG運転の運転速度を設定します。 | 1～4,000,000 Hz | 5,000 |
| (ZHOME)運転速度 | 高速原点復帰運転の運転速度を設定します。 | 1～4,000,000 Hz | 5,000 |
| (ZHOME)加減速 | 高速原点復帰運転の加減速レートまたは加減速時間を設定します。 | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s, または1=0.001 ms/kHz) | 1,000,000 |
| (ZHOME)起動速度 | 高速原点復帰運転の起動速度を設定します。 | 0～4,000,000 Hz | 500 |
| (HOME)原点復帰方法 | 原点復帰方法を設定します。 | 0:2センサ<br>1:3センサ<br>2:1方向回転<br>3:押し当て | 1 |
| (HOME)原点復帰開始方向 | 原点検出の開始方向を設定します。 | 0:－側<br>1:+側 | 1 |
| (HOME)原点復帰加減速 | 原点復帰運転の加減速レートまたは加減速時間を設定します。 | 1～1,000,000,000 (1=0.001 kHz/s, 1=0.001 s, または1=0.001 ms/kHz) | 1,000,000 |
| (HOME)原点復帰起動速度 | 原点復帰運転の起動速度を設定します。 | 1～4,000,000 Hz | 500 |
| (HOME)原点復帰運転速度 | 原点復帰運転の運転速度を設定します。 | 1～4,000,000 Hz | 1,000 |
| (HOME)原点復帰原点検出速度 | 最終的に原点と位置合わせをするときの運転速度を設定します。 | 1～10,000 Hz | 500 |
| (HOME)原点復帰SLITセンサ検出 | 原点復帰時にSLIT入力を併用するかを設定します。 | 0:無効<br>1:有効 | 0 |
| (HOME)原点復帰TIM・ZSG信号検出 | 原点復帰時にTIM出力またはZSG出力を併用するかを設定します。 | 0:無効<br>1:TIM出力<br>2:ZSG出力 | 0 |
| (HOME)原点復帰オフセット | 原点からのオフセット量を設定します。 | -2,147,483,647～2,147,483,647 step | 0 |
| (HOME)2センサ原点復帰戻り量 | 2センサ原点復帰運転後の戻り量を設定します。 | 0～8,388,607 step | 500 |
| (HOME)1方向回転原点復帰動作量 | 1方向回転方式の原点復帰運転後の動作量を設定します。 | 0～8,388,607 step | 500 |
| (HOME)押し当て原点復帰運転電流 | 基本電流を100%として、押し当て原点復帰の運転電流率を設定します。 | 0～1,000 (1=0.1%) | 1,000 |
| (HOME)押し当て原点復帰初回戻り量 | 押し当て原点復帰運転において、最初にメカ端を検出した後の戻り量を設定します。 | 0～8,388,607 step | 0 |
| (HOME)押し当て原点復帰Push終了時間 | 押し当てで完了を判断するTLC出力の発生時間を設定します。 | 1～65,535 ms | 200 |
| (HOME)押し当て原点復帰戻り量 | 押し当て原点復帰運転において、メカ端の位置を確定した後の戻り量を設定します。 | 0～8,388,607 step | 500 |
| 表示単位 | MEXE02で使用されている単位が表示されます。 | 0:step<br>1:rev<br>2:mm<br>3:deg | 0 |
| 機構選択 | MEXE02で採用されている機構が表示されます。 | 0:モーター単体<br>1:直動<br>2:ベルト<br>3:テーブル | 0 |

</contents>
