ファイル名: HM-60252J_page230

<overview>
本ページは「パラメータ：モーター・機構（座標/JOG/原点復帰）設定」に関する内容で構成されています。  
主にテキスト説明とパラメータ設定の詳細を示した表で構成されており、図やグラフは含まれていません。  
テキスト部分では設定の注意点や概要が記載されており、表部分では各パラメータ名、内容、設定範囲、初期値が一覧で示されています。
</overview>

<contents>
### テキスト
#### パラメータ：モーター・機構（座標/JOG/原点復帰）設定について
- 本パラメータはMEXE02のユニット情報モニタと連動しているため、変更後はユニット情報モニタの「実行（採用値）」欄で反映を確認する必要がある。  
- ユーザー単位系設定支援ウィザードで分解能や表示単位を設定すると、次のパラメータの表示値も自動で変更される。  
- 変更した値はドライバに書き込まないと反映されない。  
- 詳細は29ページの「表示単位と分解能の設定」を参照。  
- 対象は電子ギヤA、電子ギヤB、機構リード、ギヤ比設定、表示単位、機構選択。

### 表
#### パラメータ一覧

| パラメータ名                     | 内容                                                                                     | 設定範囲                                                                                          | 初期値 |
| :------------------------------ | :--------------------------------------------------------------------------------------- | :------------------------------------------------------------------------------------------------ | :----- |
| 機構諸元設定                   | 機構諸元パラメータを変更する場合はマニュアル設定を選択                                   | 0: ABZO設定を優先<br>1: マニュアル設定                                                          | 0      |
| 電子ギヤA                      | 電子ギヤの分母を設定                                                                     | 1～65,535                                                                                        | 1      |
| 電子ギヤB                      | 電子ギヤの分子を設定                                                                     | 1～65,535                                                                                        | 1      |
| モーター回転方向               | モーター出力軸の回転方向を設定                                                           | 0: +側=CCW<br>1: +側=CW<br>2: +側=CCW（ドライバパラメータ採用）<br>3: +側=CW（ドライバパラメータ採用） | 1      |
| 機構形状                       | 予約機能。使用不可                                                                       | 0: Step<br>1: Rev<br>2: mm<br>3: Deg                                                             | 0      |
| 機構リード                     | ボールねじのリードを設定                                                                 | 1～32,767                                                                                       | 1      |
| 機構リード小数点以下桁数       | ボールねじのリードを小数点で表す場合の小数点桁数を設定                                   | 0: ×1 mm<br>1: ×0.1 mm<br>2: ×0.01 mm<br>3: ×0.001 mm                                           | 0      |
| ギヤ比設定                     | ギヤードモーターのギヤ比を設定                                                           | 0: ギヤ比設定無効<br>1～32,767: 減速比（1=0.01）                                               | 0      |
| 初期座標生成・ラウンド座標設定 | 初期座標生成・ラウンド座標パラメータを変更する場合はマニュアル設定を選択                 | 0: ABZO設定を優先<br>1: マニュアル設定                                                          | 0      |
| ラウンド（RND）設定            | ラウンド機能を設定                                                                       | 0: 無効<br>1: 有効                                                                              | 1      |
| RND-ZERO出力用RND分割数        | ラウンド範囲内でRND-ZERO出力をONにする回数を設定                                       | 1～536,870,911分割                                                                             | 1      |
| 初期座標生成・ラウンド設定範囲  | ラウンド範囲を設定                                                                       | 232ページ参照（1=0.1 rev）                                                                     | 10     |
| 初期座標生成・ラウンドオフセット比率設定 | ラウンド範囲のオフセット比率を設定                                                       | 0～10,000（1=0.01%）                                                                           | 5,000  |
| 初期座標生成・ラウンドオフセット値設定 | ラウンド範囲のオフセット量を設定                                                         | -536,870,912～536,870,911 step                                                                 | 0      |
| 機構リミットパラメータ設定     | 機構リミットパラメータのABZO設定を無効にする                                           | 0: ABZO設定に従う<br>1: 無効化する                                                            | 0      |
| 機構保護パラメータ設定         | 機構保護パラメータのABZO設定を無効にする                                               | 0: ABZO設定に従う<br>1: 無効化する                                                            | 0      |
| JOG/HOME/ZHOME運転運転情報設定 | 運転パラメータを変更する場合はマニュアル設定を選択                                     | 0: ABZO設定を優先<br>1: マニュアル設定                                                        | 0      |
| JOG/HOME/ZHOME運転指令フィルタ時定数 | 指令フィルタの時定数を設定                                                               | 1～200 ms                                                                                      | 1      |
</contents>
