ファイル名: HM-60252J_page245

<overview>
このページはパラメータ設定に関する内容で構成されています。主に表形式で、各パラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明が中心で、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメータ: EXT-IN・VIR-IN・USR-OUT機能選択（拡張）

| パラメータ名 | 内容 | 設定範囲 | 初期値 |
| :--- | :--- | :--- | :--- |
| 仮想入力(VIR-IN1) ON信号検出不感時間 | VIR-IN1のON信号検出不感時間を設定します。 | 0〜250 ms | 0 |
| 仮想入力(VIR-IN1) 強制1shot | VIR-IN1の強制1shot機能を有効にします。 | 0:1shot機能が無効<br>1:1shot機能が有効 | 0 |
| 仮想入力(VIR-IN2) 機能 | VIR-IN2に割り付ける入力信号を選択します。 | 入力信号一覧 →251ページ | 0:未使用 |
| 仮想入力(VIR-IN2) 源選択 | VIR-IN2のトリガにする出力信号を選択します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| 仮想入力(VIR-IN2) 接点設定(信号反転) | VIR-IN2の接点設定を変更します。 | 0:反転しない<br>1:反転する | 0 |
| 仮想入力(VIR-IN2) ON信号検出不感時間 | VIR-IN2のON信号検出不感時間を設定します。 | 0〜250 ms | 0 |
| 仮想入力(VIR-IN2) 強制1shot | VIR-IN2の強制1shot機能を有効にします。 | 0:1shot機能が無効<br>1:1shot機能が有効 | 0 |
| 仮想入力(VIR-IN3) 機能 | VIR-IN3に割り付ける入力信号を選択します。 | 入力信号一覧 →251ページ | 0:未使用 |
| 仮想入力(VIR-IN3) 源選択 | VIR-IN3のトリガにする出力信号を選択します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| 仮想入力(VIR-IN3) 接点設定(信号反転) | VIR-IN3の接点設定を変更します。 | 0:反転しない<br>1:反転する | 0 |
| 仮想入力(VIR-IN3) ON信号検出不感時間 | VIR-IN3のON信号検出不感時間を設定します。 | 0〜250 ms | 0 |
| 仮想入力(VIR-IN3) 強制1shot | VIR-IN3の強制1shot機能を有効にします。 | 0:1shot機能が無効<br>1:1shot機能が有効 | 0 |
| ユーザー出力(USR-OUT0) 源A機能 | USR-OUT0の出力源Aを設定します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| ユーザー出力(USR-OUT0) 源A接点設定(信号反転) | USR-OUT0の出力源Aの接点を変更します。 | 0:反転しない<br>1:反転する | 0 |
| ユーザー出力(USR-OUT0) 源B機能 | USR-OUT0の出力源Bを設定します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| ユーザー出力(USR-OUT0) 源B接点設定(信号反転) | USR-OUT0の出力源Bの接点を変更します。 | 0:反転しない<br>1:反転する | 0 |
| ユーザー出力(USR-OUT0) 論理結合選択 | USR-OUT0のユーザー出力源AとBの論理結合を設定します。 | 0:AND<br>1:OR | 1 |
| ユーザー出力(USR-OUT1) 源A機能 | USR-OUT1の出力源Aを設定します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| ユーザー出力(USR-OUT1) 源A接点設定(信号反転) | USR-OUT1の出力源Aの接点を変更します。 | 0:反転しない<br>1:反転する | 0 |
| ユーザー出力(USR-OUT1) 源B機能 | USR-OUT1の出力源Bを設定します。 | 出力信号一覧 →252ページ | 128:CONST-OFF |
| ユーザー出力(USR-OUT1) 源B接点設定(信号反転) | USR-OUT1の出力源Bの接点を変更します。 | 0:反転しない<br>1:反転する | 0 |
| ユーザー出力(USR-OUT1) 論理結合選択 | USR-OUT1のユーザー出力源AとBの論理結合を設定します。 | 0:AND<br>1:OR | 1 |

</contents>
