ファイル名: HM-60252J_page228

<overview>
このページは「パラメータ：基本設定」に関する内容で構成されています。主にテキストと表で構成されており、各パラメータ名ごとに「内容」「設定範囲」「初期値」が表形式で整理されています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### パラメータ：基本設定
ユーザー単位系設定支援ウィザードで分解能や表示単位を設定すると、「加減速単位」パラメータの表示値も自動で変更されます。変更した値はドライバに書き込まれず反映されません。詳細は29ページ「5 表示単位と分解能の設定」を参照。

### 表
#### パラメータ一覧

| パラメータ名                         | 内容                                                                                     | 設定範囲                                                                                              | 初期値  |
|------------------------------------|----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------|--------|
| モーターユーザー名称               | 使用しているモーターに任意の名称を付けられます。                                       | -                                                                                                   | -      |
| ドライバユーザー名称               | 使用しているドライバに任意の名称を付けられます。                                       | -                                                                                                   | -      |
| ドライバ動作モード                 | モーターを接続しなくても、仮想のモーターを使って座標やI/Oの様子をシミュレーションできます。 | 0: 実際にモーターを接続する<br>1: 仮想モーターを使用する（ABZO未接続時：ABZOセンサ情報なし）<br>2: 仮想モーターを使用する（ABZO未接続時：1,800回転までのラウンド機能有効）<br>3: 仮想モーターを使用する※（ABZO未接続時：900回転までのラウンド機能有効） | 0      |
| 基本電流                         | 定格電流を100%として、モーターの出力最大電流を定格電流に対する割合で設定します。         | 0～1,000（1=0.1%）                                                                                  | 1,000  |
| 基本電流設定源（パルス列入力タイプのみ） | パルス列入力タイプで有効。基本電流の設定方法を選択します。                             | 0: パラメータ設定に従う<br>1: ドライバのスイッチ設定に従う                                      | 1      |
| 停止電流                         | 基本電流を100%として、モーター停止時の電流を基本電流に対する割合で設定します。           | 0～1,000（1=0.1%）                                                                                  | 500    |
| 指令フィルタ選択                 | モーターの応答性を調整するフィルタを設定します。                                       | 1: LPF（速度フィルタ）を選択<br>2: 移動平均フィルタを選択                                         | 1      |
| 指令フィルタ時定数               | モーターの応答性を調整します。                                                         | 0～200 ms                                                                                           | 1      |
| 指令フィルタ時定数設定源（パルス列入力タイプのみ） | パルス列入力タイプで有効。指令フィルタの設定方法を選択します。                         | 0: パラメータ設定に従う<br>1: ドライバのスイッチ設定に従う                                      | 1      |
| スムースドライブ                 | スムースドライブ機能を有効にします。                                                   | 0: スムースドライブ機能が無効<br>1: スムースドライブ機能が有効                                   | 1      |
| カレントコントロールモード       | 電流制御方式を設定します。                                                             | 0: CCM入力の設定に従う<br>1: α制御モード（CST）<br>2: サーボエミュレーションモード（SVE）        | 0      |
| サーボエミュレーション（SVE）比率 | 運転電流のうち、サーボエミュレーションで制御する電流の割合を設定します。<br>「0」に設定すると、自動でα制御モードになります。 | 0～1,000（1=0.1%）                                                                                  | 1,000  |
| SVE位置ループゲイン             | 位置偏差に対する追従性を調整します。値を高くすると指令位置と実位置の偏差が小さくなります。 | 1～50                                                                                              | 10     |
| SVE速度ループゲイン             | 速度偏差に対する追従性を調整します。値を高くすると指令速度と実速度の偏差が小さくなります。 | 10～200                                                                                            | 180    |
| SVE速度ループ積分時定数         | 速度ループゲインでは調整できない偏差を調整します。値が高すぎるとモーターの動きが緩やかになります。 | 100～2,000（1=0.1 ms）                                                                             | 1,000  |
| オートカレントダウン             | オートカレントダウン機能を有効にします。                                             | 0: 無効<br>1: 有効                                                                                  | 1      |
| オートカレントダウン判定時間     | モーター停止後、オートカレントダウン機能が働くまでの時間を設定します。                 | 0～1,000 ms                                                                                        | 100    |
</contents>
