ファイル名: HM-60252J_page348

<overview>
このページは、簡易ダイレクトデータ運転に関する通信方式の説明と、リモートレジスタコマンドおよびレスポンスの詳細な仕様を示しています。構成は以下の通りです。
- テキスト部分：CC-Link通信およびEtherCAT通信の動作説明、注意事項
- 表部分：リモートレジスタコマンドとレスポンスの各項目（CoE Index、Sub-index、名称、型、アクセス、内容）を詳細に示した表が2つ
- グラフ部分：なし
</overview>

<contents>
### テキスト
#### 簡易ダイレクトデータ運転
- **CC-Link通信の場合**  
  リモートI/OのD-REQをONにして目標位置を書き込むと同時に運転が起動し、D-REQがONの間はレスポンスのデータが更新され続ける。  
  ネットワークコンバータNETC02-CCを使用する場合は、命令選択方式でコマンドを実行する必要がある。

- **EtherCAT通信の場合**  
  リモートレジスタのTRIGをONにして目標位置を書き込むと同時に運転が起動し、TRIGがONの間はレスポンスのデータが更新され続ける。

### 表
#### リモートレジスタコマンド（2800h、0号機）
| CoE Index | Sub-index | 名称    | 型   | アクセス | 内容                         |
| :-------- | :-------- | :------ | :--- | :------- | :--------------------------- |
| 0         | -         | -       | U8   | R        | Sub-index数:4                |
|           | 1         | Axis    | U8   | RW       | 予約（未使用）               |
|           | 2         | Command | U16  | RW       | 命令コード:4149(1035h)      |
|           | 3         | Data    | INT32| RW       | データ:8,500 step（目標位置）|
|           | 4         | TRIG    | U8   | RW       | bit[0]:TRIG、他bitは未使用  |

#### リモートレジスタレスポンス（2900h、0号機）
| CoE Index | Sub-index | 名称    | 型   | アクセス | 内容                                   |
| :-------- | :-------- | :------ | :--- | :------- | :------------------------------------- |
| 0         | -         | -       | U8   | R        | Sub-index数:4                          |
|           | 1         | Axis    | U8   | R        | 予約（未使用）                         |
|           | 2         | Command | U16  | R        | 命令コード応答:4149(1035h)            |
|           | 3         | Data    | INT32| R        | データ応答:0～8,500 step（指令位置のモニタ）|
|           | 4         | Status  | U8   | R        | bit[4]:Command Error<br>bit[3]:Axis Error<br>bit[2]:STATUS<br>bit[0]:TRIG_R |

</contents>
