ファイル名: HM-60252J_page446

<overview>
本ページは「アラーム」に関する情報で構成されています。主に表形式で、アラームコードごとにLED点滅回数、アラームの種類、原因、処置、ALM-RST入力による解除の可否、モーター励磁の有無が記載されています。テキストは表内の説明文が中心で、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### アラーム一覧

| アラームコード | LED点滅回数 | アラームの種類             | 原因                                                                                         | 処置                                                                                         | ALM-RST入力による解除 | モーター励磁 |
|:--------------:|:------------:|:--------------------------|:--------------------------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------|:---------------------:|:------------:|
| 66h            | 7            | ハードウェアオーバートラベル | 「FW-LS・RV-LS入力動作」パラメータが「アラーム発生」のとき、FW-LS入力またはRV-LS入力が検出された。 | アラームを解除してから、運転または手動でセンサから脱出してください。                       | 可                    | 励磁         |
| 67h            | 7            | ソフトウェアオーバートラベル | 「ソフトウェアオーバートラベル」パラメータが「アラーム発生」のとき、ソフトウェアリミットに達した。 | ・運転データを見直してください。<br>・アラームを解除してから、運転または手動でセンサから脱出してください。 | 可                    | 励磁         |
| 68h            | 1            | HWTO入力検出               | 「HWTO動作」パラメータが「アラーム発生あり」のとき、HWTO1入力またはHWTO2入力がOFFになった。       | HWTO1入力とHWTO2入力をONにしてください。                                                   | 可                    | 無励磁       |
| 6Ah            | 7            | 原点復帰運転オフセット異常   | 原点復帰運転でオフセット移動しているときに、FW-LS入力またはRV-LS入力が検出された。                 | オフセット値を確認してください。                                                           | 可                    | 励磁         |
| 6Dh            | 7            | メカオーバートラベル         | 原点設定済みの製品が、ABZセンサに保存されている機構リミットに到達した。                           | ・移動量（位置）を確認してください。<br>・アラームを解除してから、運転または手動でセンサから脱出してください。 | 可                    | 励磁         |
| 70h            | 7            | 運転データ異常               | ・運転速度が0のデータで、ストアードデータ運転を行なった。<br>・ラウンド設定が無効のときに、ラウンド運転を実行した。<br>・機構保護パラメータの設定値を超える運転速度または運転電流で運転した。<br>・DGⅡシリーズで押し当て運転または押し当て原点復帰運転を実行した。 | ・運転データを確認してください。<br>・ラウンド設定を確認してください。<br>・機構保護パラメータの設定値は、MEXE02のユニット情報モニタで確認してください。<br>・DGⅡシリーズでは、押し当て運転または押し当て原点復帰運転を実行できません。（運転データ異常のサブコード参照） | 可                    | 励磁         |
| 71h            | 7            | 電子ギヤ設定異常             | 「電子ギヤA」パラメータと「電子ギヤB」パラメータで設定した分解能が、仕様の範囲外だった。           | 「電子ギヤA」パラメータと「電子ギヤB」パラメータを見直して、分解能を仕様の範囲内にしてください。 | 不可                  | 無励磁       |
| 72h            | 7            | ラウンド設定異常             | 分解能と「初期座標生成・ラウンド設定範囲」パラメータが不整合な値で電源が投入された。                 | 「初期座標生成・ラウンド設定範囲」パラメータを正しく設定して、電源を再投入してください。     | 不可                  | 無励磁       |
| 81h            | 7            | ネットワークバス異常         | 運転中にネットワークコンバータの上位ネットワークが解列状態になった。                             | 上位ネットワークのコネクタやケーブルを確認してください。                                   | 可                    | 励磁         |
| 83h            | 7            | 通信用スイッチ設定異常       | 通信速度設定スイッチ（BAUD）が仕様外だった。                                                   | BAUDスイッチを確認してください。                                                           | 不可                  | 無励磁       |
| 84h            | 7            | RS-485通信異常               | ・RS-485通信の連続異常回数が、「通信異常アラーム」パラメータの設定値に達した。<br>・ネットワークコンバータとの通信で、連続して3回異常を検出した。 | ・上位システムとの接続を確認してください。<br>・RS-485通信の設定を確認してください。<br>・ネットワークコンバータとの接続を確認してください。 | 可                    | 励磁         |

</contents>
