ファイル名: HM-60252J_page443

<overview>
本ページは「アラーム一覧」の内容で構成されており、主に表形式でアラームコードごとの詳細情報を示している。ページ全体は表部分のみで構成されており、テキストやグラフは含まれていない。表はアラームコード、LED点滅回数、アラームの種類、原因、処置、ALM-RST入力による解除可否、モーター励磁の有無の項目で構成されている。
</overview>

<contents>
### 表
#### アラーム一覧

| アラームコード | LED点滅回数 | アラームの種類       | 原因                                                                                   | 処置                                                                                                         | ALM-RST入力による解除 | モーター励磁 |
|:--------------|:------------|:---------------------|:---------------------------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------|:----------------------|:-------------|
| 10h           | 4           | 位置偏差過大         | ・カレントオン中、指令位置と検出位置の偏差がモーター軸で「位置偏差過大アラーム」パラメータの設定値を超えた。<br>・負荷が大きい、または負荷に対して加減速時間または加減速レートが短すぎる。<br>・位置決め押し当てSD運転の動作範囲を超えた。 | ・負荷を軽くしてください。<br>・加減速時間を長くする、または加減速レートを緩やかにしてください。<br>・運転電流を上げてください。<br>・運転データを見直してください。 | 可                    | 無励磁       |
| 20h           | 5           | 過電流               | モーター、ケーブル、およびドライバ出力回路が短絡した。                               | 電源を切り、モーター、ケーブル、およびドライバが破損していないか確認し、電源を再投入してください。それでもアラームが解除されないときは、モーター、ケーブル、またはドライバが破損しているおそれがあります。最寄りのお客様ご相談センターにお問い合わせください。 | 不可                  | 無励磁       |
| 21h           | 2           | 主回路過熱           | ドライバの内部温度が仕様値の上限に達した。                                         | 換気条件を見直してください。                                                                                 | 可                    | 無励磁       |
| 22h           | 3           | 過電圧(AC電源ドライバ) | ・電源電圧が許容値を超えた。<br>・大きな慣性負荷を急停止した。<br>・昇降運転を行なった。 | ・電源の入力電圧を確認してください。<br>・負荷を軽くしてください。<br>・加減速時間を長くする、または加減速レートを緩やかにしてください。<br>・当社の回生抵抗RGB100を接続してください。 | 不可                  | 無励磁       |
| 22h           | 3           | 過電圧(DC電源ドライバ) | ・電源電圧が許容値を超えた。<br>・大きな慣性負荷を急停止した。<br>・昇降運転を行なった。 | ・電源の入力電圧を確認してください。<br>・負荷を軽くしてください。<br>・加減速時間を長くする、または加減速レートを緩やかにしてください。 | 可                    | 無励磁       |
| 23h           | 3           | 主電源オフ           | 運転中に主電源が遮断された。                                                       | 主電源が正常に投入されているか確認してください。                                                             | 可                    | 無励磁       |
| 25h           | 3           | 不足電圧             | 電源が瞬間的に遮断された、または電圧が不足した。                                   | 電源の入力電圧を確認してください。                                                                             | 可                    | 無励磁       |
| 26h           | 8           | モーター過熱         | ABZOセンサの検出温度が仕様値の上限に達した。                                     | ・モーターの放熱状態を確認してください。<br>・換気条件を見直してください。                                     | 可                    | 無励磁       |
| 28h           | 8           | センサ異常           | 運転中にABZOセンサの異常が検出された。                                           | 電源を切り、モーターの接続を確認し、電源を再投入してください。                                               | 不可                  | 無励磁       |
| 2Ah           | 8           | ABZOセンサ通信異常   | ドライバとABZOセンサ間の通信に異常が発生した。                                   | 電源を切り、ABZOセンサの接続を確認し、電源を再投入してください。                                             | 不可                  | 無励磁       |
</contents>
