ファイル名: HM-60252J_page238

<overview>
本ページはパラメータ設定に関する内容で構成されています。主にテキストと表で構成されており、各パラメータ名、内容、設定範囲、初期値が一覧表形式で示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### パラメータ：I/O動作・機能
各パラメータ名に対して、その内容、設定範囲、初期値が詳細に説明されています。主にD-END出力に対応する運転データNo.の設定や、AREA出力の位置や判定距離、範囲指定方法、位置判定基準の設定に関する内容です。

### 表
#### パラメータ一覧

| パラメータ名               | 内容                                                                 | 設定範囲                                   | 初期値 |
|----------------------------|----------------------------------------------------------------------|--------------------------------------------|--------|
| D-END0 No.選択             | D-END0出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 0      |
| D-END1 No.選択             | D-END1出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 1      |
| D-END2 No.選択             | D-END2出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 2      |
| D-END3 No.選択             | D-END3出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 3      |
| D-END4 No.選択             | D-END4出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 4      |
| D-END5 No.選択             | D-END5出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 5      |
| D-END6 No.選択             | D-END6出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 6      |
| D-END7 No.選択             | D-END7出力に対応させる運転データNo.を設定します。                   | 0～255：運転データNo.                      | 7      |
| AREA0＋位置／オフセット    | AREA0出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA0－位置／判定距離      | AREA0出力の一方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA0範囲指定方法          | AREA0出力の範囲指定方法を設定します。                               | 0：絶対値で範囲指定<br>1：目標位置からのオフセット・幅を指定 | 0      |
| AREA0位置判定基準          | AREA0出力の位置判定基準を設定します。                               | 0：検出位置基準<br>1：指令位置基準         | 0      |
| AREA1＋位置／オフセット    | AREA1出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA1－位置／判定距離      | AREA1出力の一方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA1範囲指定方法          | AREA1出力の範囲指定方法を設定します。                               | 0：絶対値で範囲指定<br>1：目標位置からのオフセット・幅を指定 | 0      |
| AREA1位置判定基準          | AREA1出力の位置判定基準を設定します。                               | 0：検出位置基準<br>1：指令位置基準         | 0      |
| AREA2＋位置／オフセット    | AREA2出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA2－位置／判定距離      | AREA2出力の一方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA2範囲指定方法          | AREA2出力の範囲指定方法を設定します。                               | 0：絶対値で範囲指定<br>1：目標位置からのオフセット・幅を指定 | 0      |
| AREA2位置判定基準          | AREA2出力の位置判定基準を設定します。                               | 0：検出位置基準<br>1：指令位置基準         | 0      |
| AREA3＋位置／オフセット    | AREA3出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA3－位置／判定距離      | AREA3出力の一方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA3範囲指定方法          | AREA3出力の範囲指定方法を設定します。                               | 0：絶対値で範囲指定<br>1：目標位置からのオフセット・幅を指定 | 0      |
| AREA3位置判定基準          | AREA3出力の位置判定基準を設定します。                               | 0：検出位置基準<br>1：指令位置基準         | 0      |
| AREA4＋位置／オフセット    | AREA4出力の＋方向位置、または目標位置からのオフセットを設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |
| AREA4－位置／判定距離      | AREA4出力の一方向位置、またはオフセット位置からの距離を設定します。 | -2,147,483,648～2,147,483,647 step        | 0      |

</contents>
