ファイル名: HM-60252J_page283

<overview>
このページはModbus RTUモードによるデータ設定例を示しており、主にテキスト説明と複数の表で構成されています。テキスト部分では、START信号をON/OFFにするためのクエリ送信手順が説明されており、表部分ではクエリおよびレスポンスの各フィールド名称、データ値、内容が詳細に示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
Modbus RTUモードによるデータの設定例として、START信号をONにするクエリ送信から位置決め運転開始、終了までの手順が説明されています。

1. STARTをONにするためのクエリ送信
2. 位置決め運転開始
3. 位置決め運転完了後、STARTをOFFに戻すためのクエリ送信

STARTは初期設定でドライバ入力指令(007Dh)のbit3に割り付けられており、2進数で1,000=16進数で0008hに相当します。

### 表

#### クエリ（START ON時）
| フィールド名称       | データ  | 内容                              |
|----------------------|---------|---------------------------------|
| サーバーアドレス     | 01h     | サーバーアドレス1               |
| ファンクションコード | 06h     | 保持レジスタへの書き込み         |
| データ               |         |                                 |
| - レジスタアドレス(上位) | 00h     | 書き込みを行なうレジスタアドレス=ドライバ入力指令(007Dh) |
| - レジスタアドレス(下位) | 7Dh     |                                 |
| - ライト値(上位)     | 00h     | レジスタアドレスに書き込む値=START ON(0008h) ※       |
| - ライト値(下位)     | 08h     |                                 |
| エラーチェック(下位) | 18h     | CRC-16の計算結果                |
| エラーチェック(上位) | 14h     |                                 |

#### レスポンス（START ON時）
| フィールド名称       | データ  | 内容          |
|----------------------|---------|---------------|
| サーバーアドレス     | 01h     | クエリと同じ値 |
| ファンクションコード | 06h     | クエリと同じ値 |
| データ               |         |               |
| - レジスタアドレス(上位) | 00h     | クエリと同じ値 |
| - レジスタアドレス(下位) | 7Dh     |               |
| - ライト値(上位)     | 00h     | クエリと同じ値 |
| - ライト値(下位)     | 08h     |               |
| エラーチェック(下位) | 18h     | CRC-16の計算結果 |
| エラーチェック(上位) | 14h     |               |

#### クエリ（START OFF時）
| フィールド名称       | データ  | 内容                              |
|----------------------|---------|---------------------------------|
| サーバーアドレス     | 01h     | サーバーアドレス1               |
| ファンクションコード | 06h     | 保持レジスタへの書き込み         |
| データ               |         |                                 |
| - レジスタアドレス(上位) | 00h     | 書き込みを行なうレジスタアドレス=ドライバ入力指令(007Dh) |
| - レジスタアドレス(下位) | 7Dh     |                                 |
| - ライト値(上位)     | 00h     | レジスタアドレスに書き込む値=START OFF(0000h)            |
| - ライト値(下位)     | 00h     |                                 |
| エラーチェック(下位) | 19h     | CRC-16の計算結果                |
| エラーチェック(上位) | D2h     |                                 |

#### レスポンス（START OFF時）
| フィールド名称       | データ  | 内容          |
|----------------------|---------|---------------|
| サーバーアドレス     | 01h     | クエリと同じ値 |
| ファンクションコード | 06h     | クエリと同じ値 |
| データ               |         |               |
| - レジスタアドレス(上位) | 00h     | クエリと同じ値 |
| - レジスタアドレス(下位) | 7Dh     |               |
| - ライト値(上位)     | 00h     | クエリと同じ値 |
| - ライト値(下位)     | 00h     |               |
| エラーチェック(下位) | 19h     | CRC-16の計算結果 |
| エラーチェック(上位) | D2h     |               |

### 注釈
- STARTは初期設定でドライバ入力指令(007Dh)のbit3に割り付けられている。
- 2進数で1,000は16進数で0008hに相当する。

</contents>
