ファイル名: HM-60252J_page138

<overview>
本ページは「運転の種類と運転データ・パラメータの関係」についての説明で構成されています。  
ページ全体は主に表形式で構成されており、MEXE02ツリー表示、パラメータ名、ストアードデータ運転、高速原点復帰運転の対応関係を示しています。  
テキスト部分は見出しと簡単な説明があり、表がメインの情報提供手段です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 運転の種類と運転データ・パラメータの関係
本章では、運転の種類とそれに対応する運転データやパラメータの関係について説明しています。

### 表
#### 運転データ・パラメータ対応表

| MEXE02ツリー表示                         | パラメータ名                         | ストアードデータ運転 | 高速原点復帰運転 |
| :------------------------------------- | :--------------------------------- | :------------------: | :--------------: |
| 運転データ                             | 運転データ                         | ○                   | －               |
| 運転I/Oイベント                       | 運転I/Oイベント                   | ○                   | －               |
| 運転データ拡張用設定                 | 運転データ拡張用設定             | ○                   | －               |
| 基本設定                             | 基本電流                         | ○                   | ○               |
|                                      | 停止電流                         | ○                   | ○               |
|                                      | 指令フィルタ選択                 | ○                   | ○               |
|                                      | 指令フィルタ時定数               | ○                   | －               |
|                                      | 共通起動・変速レート             | ○                   | －               |
|                                      | 共通停止レート                   | ○                   | －               |
|                                      | 起動速度                         | ○                   | －               |
|                                      | 使用レート                       | ○                   | －               |
|                                      | 加減速単位                     | ○                   | ○               |
|                                      | 座標未確定時絶対位置決め運転許可 | ○                   | －               |
| モーター・機構（座標/JOG/原点復帰）設定 | (JOG)移動量                     | －                   | －               |
|                                      | (JOG)運転速度                   | －                   | －               |
|                                      | (JOG)加減速                     | －                   | －               |
|                                      | (JOG)起動速度                   | －                   | －               |
|                                      | (JOG)運転速度（高）             | －                   | －               |
|                                      | (ZHOME)運転速度                 | －                   | ○               |
|                                      | (ZHOME)加減速                   | －                   | ○               |
|                                      | (ZHOME)起動速度                 | －                   | ○               |
|                                      | JOG/HOME/ZHOME運転 指令フィルタ時定数 | －               | ○               |
|                                      | JOG/HOME/ZHOME運転 運転電流     | －                   | ○               |
|                                      | (HOME)原点復帰方法               | －                   | －               |
|                                      | (HOME)原点復帰開始方向           | －                   | －               |
|                                      | (HOME)原点復帰加減速             | －                   | －               |
|                                      | (HOME)原点復帰起動速度           | －                   | －               |
|                                      | (HOME)原点復帰運転速度           | －                   | －               |
|                                      | (HOME)原点復帰原点検出速度       | －                   | －               |
|                                      | (HOME)原点復帰SLITセンサ検出     | －                   | －               |
|                                      | (HOME)原点復帰TIM・ZSG信号検出   | －                   | －               |
|                                      | (HOME)原点復帰オフセット         | －                   | －               |
|                                      | (HOME)2センサ原点復帰戻り量       | －                   | －               |
|                                      | (HOME)1方向回転原点復帰動作量     | －                   | －               |
|                                      | (HOME)押し当て原点復帰運転電流   | －                   | －               |
|                                      | (HOME)押し当て原点復帰初回戻り量 | －                   | －               |
|                                      | (HOME)押し当て原点復帰Push終了時間 | －                   | －               |
|                                      | (HOME)押し当て原点復帰戻り量     | －                   | －               |

**記号の意味**  
○：該当する運転で使用されるパラメータ  
－：該当しないパラメータ
</contents>
