ファイル名: HM-60252J_page242

<overview>
本ページは「パラメータ: Remote-I/O機能選択 (R-I/O)」に関する説明で構成されています。ページ全体は主に表形式で構成されており、各パラメータ名、内容、設定範囲、初期値が一覧で示されています。テキスト部分はパラメータの説明が中心で、表部分がメインの情報提供手段となっています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### パラメータ: Remote-I/O機能選択 (R-I/O)
Remote-I/Oの入力信号やグループ動作モードの初期状態を設定するためのパラメータ一覧です。

- 各R-IN入力機能は、対応する入力信号を選択するためのパラメータです。
- R-IN0からR-IN15までの入力機能があり、それぞれに割り当てる入力信号を指定します。
- グループ動作モード初期状態（NETC）は、リモートI/Oの動作モードの初期状態を設定します。
- 動作モードは「0:軸IDで動作」「1:グループIDで動作」の2種類があります。

### 表
#### Remote-I/O機能選択パラメータ一覧

| パラメータ名               | 内容                                   | 設定範囲               | 初期値          |
|----------------------------|--------------------------------------|------------------------|-----------------|
| R-IN0入力機能              | R-IN0に割り付ける入力信号を選択します。 | 入力信号一覧 →251ページ | 64:M0           |
| R-IN1入力機能              | R-IN1に割り付ける入力信号を選択します。 |                        | 65:M1           |
| R-IN2入力機能              | R-IN2に割り付ける入力信号を選択します。 |                        | 66:M2           |
| R-IN3入力機能              | R-IN3に割り付ける入力信号を選択します。 |                        | 32:START        |
| R-IN4入力機能              | R-IN4に割り付ける入力信号を選択します。 |                        | 37:ZHOME        |
| R-IN5入力機能              | R-IN5に割り付ける入力信号を選択します。 |                        | 5:STOP          |
| R-IN6入力機能              | R-IN6に割り付ける入力信号を選択します。 |                        | 1:FREE          |
| R-IN7入力機能              | R-IN7に割り付ける入力信号を選択します。 |                        | 8:ALM-RST       |
| R-IN8入力機能              | R-IN8に割り付ける入力信号を選択します。 |                        | 40:D-SEL0       |
| R-IN9入力機能              | R-IN9に割り付ける入力信号を選択します。 |                        | 41:D-SEL1       |
| R-IN10入力機能             | R-IN10に割り付ける入力信号を選択します。|                        | 42:D-SEL2       |
| R-IN11入力機能             | R-IN11に割り付ける入力信号を選択します。|                        | 33:SSTART       |
| R-IN12入力機能             | R-IN12に割り付ける入力信号を選択します。|                        | 52:FW-JOG-P     |
| R-IN13入力機能             | R-IN13に割り付ける入力信号を選択します。|                        | 53:RV-JOG-P     |
| R-IN14入力機能             | R-IN14に割り付ける入力信号を選択します。|                        | 56:FW-POS       |
| R-IN15入力機能             | R-IN15に割り付ける入力信号を選択します。|                        | 57:RV-POS       |
| R-IN0グループ動作モード初期状態(NETC)  | リモートI/Oの動作モードの初期状態を設定します。 | 0:軸IDで動作<br>1:グループIDで動作 | 0               |
| R-IN1グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN2グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN3グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN4グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN5グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN6グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN7グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN8グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN9グループ動作モード初期状態(NETC)  | 同上                                   | 同上                   | 0               |
| R-IN10グループ動作モード初期状態(NETC) | 同上                                   | 同上                   | 0               |
| R-IN11グループ動作モード初期状態(NETC) | 同上                                   | 同上                   | 0               |
| R-IN12グループ動作モード初期状態(NETC) | 同上                                   | 同上                   | 0               |
| R-IN13グループ動作モード初期状態(NETC) | 同上                                   | 同上                   | 0               |
| R-IN14グループ動作モード初期状態(NETC) | 同上                                   | 同上                   | 0               |
| R-IN15グループ動作モード初期状態(NETC) | 同上                                   | 同上                   | 0               |

</contents>
