ファイル名: HM-60252J_page368

<overview>
本ページは「モニタコマンド」に関する内容で構成されています。主に表形式で、Modbus通信のレジスタアドレス（上位・下位）、名称、内容、FAネットワーク命令コードが一覧で示されています。テキスト部分は各項目の説明が含まれ、表が中心の構成です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### モニタコマンドの概要
Modbus通信のレジスタアドレスに対応した各種モニタコマンドの名称と内容、及びFAネットワーク命令コードが一覧で示されています。内容欄には、I/OステータスのON/OFF状態やアラーム履歴の詳細、インフォメーション履歴の説明が記載されています。

### 表
#### モニタコマンド一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                         | 内容                                                                                  | FAネットワーク命令コード |
| :------------------------------- | :------------------------------- | :--------------------------- | :------------------------------------------------------------------------------------ | :----------------------- |
| 378 (017Ah)                      | 379 (017Bh)                      | I/Oステータス6               | 内部I/OのON/OFF状態を示します。（bitの配置→372ページ）                              | 8381 (20BDh)             |
| 380 (017Ch)                      | 381 (017Dh)                      | I/Oステータス7               | 同上                                                                                 | 8382 (20BEh)             |
| 382 (017Eh)                      | 383 (017Fh)                      | I/Oステータス8               | 同上                                                                                 | 8383 (20BFh)             |
| 2560 (0A00h)                    | 2561 (0A01h)                    | アラーム履歴詳細（アラームコード） | メンテナンスコマンドの「アラーム履歴詳細展開」で指定したアラーム履歴の内容を示します。 | 9472 (2500h)             |
| 2562 (0A02h)                    | 2563 (0A03h)                    | アラーム履歴詳細（サブコード） | 同上                                                                                 | 9473 (2501h)             |
| 2564 (0A04h)                    | 2565 (0A05h)                    | アラーム履歴詳細（ドライバ温度） | 同上                                                                                 | 9474 (2502h)             |
| 2566 (0A06h)                    | 2567 (0A07h)                    | アラーム履歴詳細（モーター温度） | 同上                                                                                 | 9475 (2503h)             |
| 2568 (0A08h)                    | 2569 (0A09h)                    | アラーム履歴詳細（インバータ電圧） | 同上                                                                                 | 9476 (2504h)             |
| 2570 (0A0Ah)                    | 2571 (0A0Bh)                    | アラーム履歴詳細（物理I/O入力） | 同上                                                                                 | 9477 (2505h)             |
| 2572 (0A0Ch)                    | 2573 (0A0Dh)                    | アラーム履歴詳細（R-I/O出力） | 同上                                                                                 | 9478 (2506h)             |
| 2574 (0A0Eh)                    | 2575 (0A0Fh)                    | アラーム履歴詳細（運転情報0） | 同上                                                                                 | 9479 (2507h)             |
| 2576 (0A10h)                    | 2577 (0A11h)                    | アラーム履歴詳細（運転情報1） | 同上                                                                                 | 9480 (2508h)             |
| 2578 (0A12h)                    | 2579 (0A13h)                    | アラーム履歴詳細（検出位置） | 同上                                                                                 | 9481 (2509h)             |
| 2580 (0A14h)                    | 2581 (0A15h)                    | アラーム履歴詳細（BOOTからの経過時間） | 同上                                                                                 | 9482 (250Ah)             |
| 2582 (0A16h)                    | 2583 (0A17h)                    | アラーム履歴詳細（運転開始からの経過時間） | 同上                                                                                 | 9483 (250Bh)             |
| 2584 (0A18h)                    | 2585 (0A19h)                    | アラーム履歴詳細（主電源通電時間） | 同上                                                                                 | 9484 (250Ch)             |
| 2592 (0A20h)                    | 2593 (0A21h)                    | インフォメーション履歴1       | もっとも新しいインフォメーション履歴を示します。インフォメーションが発生しているときは、そのコードがインフォメーション履歴1にも同時に表示されます。 | 9488 (2510h)             |
| 2594 (0A22h)                    | 2595 (0A23h)                    | インフォメーション履歴2       | インフォメーション履歴を示します。                                                     | 9489 (2511hh)            |
| 2596 (0A24h)                    | 2597 (0A25h)                    | インフォメーション履歴3       | 同上                                                                                 | 9490 (2512h)             |
| 2598 (0A26h)                    | 2599 (0A27h)                    | インフォメーション履歴4       | 同上                                                                                 | 9491 (2513h)             |
| 2600 (0A28h)                    | 2601 (0A29h)                    | インフォメーション履歴5       | 同上                                                                                 | 9492 (2514h)             |
| 2602 (0A2Ah)                    | 2603 (0A2Bh)                    | インフォメーション履歴6       | 同上                                                                                 | 9493 (2515h)             |
| 2604 (0A2Ch)                    | 2605 (0A2Dh)                    | インフォメーション履歴7       | 同上                                                                                 | 9494 (2516h)             |
| 2606 (0A2Eh)                    | 2607 (0A2Fh)                    | インフォメーション履歴8       | 同上                                                                                 | 9495 (2517h)             |
| 2608 (0A30h)                    | 2609 (0A31h)                    | インフォメーション履歴9       | 同上                                                                                 | 9496 (2518h)             |
| 2610 (0A32h)                    | 2611 (0A33h)                    | インフォメーション履歴10      | 同上                                                                                 | 9497 (2519h)             |
| 2612 (0A34h)                    | 2613 (0A35h)                    | インフォメーション履歴11      | 同上                                                                                 | 9498 (251Ah)             |

</contents>
