ファイル名: HM-60252J_page353

<overview>
このPDFページは「7 アドレス/コード一覧」という章の目次ページです。  
ページ全体はテキストで構成されており、表形式で目次が示されています。  
表やグラフはなく、テキストのみで各項目のタイトルと対応ページ番号が一覧化されています。  
主にModbus通信およびFAネットワーク制御で使用するアドレスやコードに関するコマンドやパラメータの一覧が記載されています。
</overview>

<contents>
### テキスト
#### 7 アドレス/コード一覧
Modbus通信およびFAネットワーク制御で使用するアドレス/コードの一覧です。

##### もくじ
| 項目番号 | 項目名 | ページ |
| :--- | :--- | :--- |
| 1 | パラメータの反映タイミング | 354 |
| 2 | I/Oコマンド | 355 |
| 3 | グループコマンド | 357 |
| 4 | プロテクト解除コマンド | 358 |
| 5 | ダイレクトデータ運転コマンド | 359 |
| 6 | 簡易ダイレクトデータ運転コマンド | 361 |
| 7 | メンテナンスコマンド | 362 |
| 7-1 | メンテナンスコマンドの実行方法 | 363 |
| 8 | モニタコマンド | 364 |
| 9 | 運転データR/Wコマンド アドレス配置の概要 | 374 |
| 9-1 | 直接参照の概要 | 374 |
| 9-2 | オフセット参照の概要 | 374 |
| 9-3 | 直接参照（互換用）の概要 | 375 |
| 10 | 運転データR/Wコマンド | 376 |
| 10-1 | 直接参照（Modbus通信） | 376 |
| 10-2 | オフセット参照（Modbus通信） | 380 |
| 10-3 | オフセット参照（FAネットワーク） | 380 |
| 11 | 運転データR/Wコマンド（互換用） | 387 |
| 11-1 | 直接参照（Modbus通信） | 387 |
| 11-2 | 直接参照（FAネットワーク） | 388 |
| 12 | 運転I/OイベントR/Wコマンド | 390 |
| 12-1 | 設定方法 | 390 |
| 12-2 | 直接参照 | 390 |
| 12-3 | オフセット参照 | 391 |
| 13 | 運転データ拡張用設定R/Wコマンド | 393 |
| 14 | パラメータR/Wコマンド | 394 |
| 14-1 | ドライバ動作シミュレーション設定パラメータ | 394 |
| 14-2 | 基本設定パラメータ | 394 |
| 14-3 | 座標パラメータ | 395 |
| 14-4 | 運転パラメータ | 395 |
| 14-5 | ダイレクトデータ運転パラメータ | 396 |
| 14-6 | ABZOセンサ反映パラメータ | 396 |
| 14-7 | 機構諸元設定パラメータ | 396 |
| 14-8 | 初期座標生成・ラウンド座標設定パラメータ | 397 |
| 14-9 | JOG/HOME/ZHOME運転運転情報設定パラメータ | 398 |
| 14-10 | 動力遮断機能設定パラメータ | 399 |
| 14-11 | アラーム設定パラメータ | 399 |
| 14-12 | インフォメーション設定パラメータ | 400 |
| 14-13 | I/Oパラメータ | 402 |
| 14-14 | ダイレクトI/O設定パラメータ | 406 |
| 14-15 | リモートI/O設定パラメータ | 409 |
| 14-16 | 拡張入力設定パラメータ | 412 |
| 14-17 | 差動出力設定パラメータ | 412 |
| 14-18 | 仮想入力パラメータ | 413 |
| 14-19 | ユーザー出力設定パラメータ | 414 |
| 14-20 | ドライバ動作設定パラメータ | 414 |
| 14-21 | LED状態表示設定パラメータ | 415 |
| 14-22 | RS-485通信設定パラメータ | 415 |
| 14-23 | 間接参照設定パラメータ | 416 |
| 14-24 | 当社のメンテナンス専用パラメータ | 418 |
| 15 | 入出力信号 割り付け一覧 | 419 |
| 15-1 | 入力信号 | 419 |
| 15-2 | 出力信号 | 420 |

以上が本章の目次内容です。
</contents>
