ファイル名: HM-60252J_page450

<overview>
本ページは「アラーム」に関する情報で構成されています。ページ上部にABZOセンサに設定されている固定値の一覧表があり、その下に関連パラメータの説明表が続きます。さらに、運転情報0および運転情報1で示される情報の詳細がテキストで解説されています。テキスト部分と表部分が主な構成で、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### アラーム
ABZOセンサに設定されている値（固定値）については、ユニット情報モニタで確認可能です。

#### 「運転情報0」「運転情報1」で示される情報
- 運転情報0  
  - -1: 運転データ未使用、または制御電源投入直後  
  - 0～255: 運転中のデータNo.

- 運転情報1  
  0: 内部発振なし（停止中またはパルス列入力）  
  1: ストアードデータ運転  
  2: ダイレクトデータ運転  
  3: 原点復帰運転  
  4: 高速原点復帰運転  
  5: JOG運転  
  6: 高速JOG運転  
  7: 複合JOG運転  
  8: インチング運転  
  9: 連続運転  
  10: 速度制御運転  
  11: 速度制御押し当て運転  
  12: 予約機能（使用しない）  
  13: ティーチングリモート運転

※注釈  
- ストアードデータ運転または連続マクロ運転以外の運転を実行中。  
- 停止中は直前に運転していた運転データNo.が表示される。

### 表
#### ABZOセンサに設定されている値（固定値）一覧
| 項目 | 設定値1 | 設定値2 | 備考 |
| :--- | :--- | :--- | :--- |
| 機構リミットパラメータ | 無効 | ABZO設定に従う |  |
| 機構リミット(F原点からの距離)正側 | 無効 | 無効 |  |
| 機構リミット(F原点からの距離)負側 | 無効 | 無効 |  |
| 機構保護パラメータ | 無効 | ABZO設定に従う | 設定無し |
| 最大起動速度 | 0 [r/min] | 8000 [r/min] |  |
| 最大運転速度 | 0 [r/min] | 8000 [r/min] |  |
| 最大押し当て速度 | 0 [r/min] | 8000 [r/min] |  |
| 最大押し当て原点復帰速度 | 0 [r/min] | 8000 [r/min] |  |
| 最大押し当て電流 | 押し当て不可 | 100.0 [%] |  |
| JOG/HOME/ZHOME運転 運転情報設定 | ドライバパラメータ | ABZO設定を優先 | 設定無し |
| JOG/HOME/ZHOME運転 寿命フィルタ定数 | 1 [ms] | 1 [ms] |  |
| JOG/HOME/ZHOME運転 運転電流 | 100.0 [%] | 100.0 [%] |  |
| (JOG)移動量 | 1 [step] | 1 [step] |  |
| (JOG)運転速度 | 1000 [Hz] | 60 [r/min] |  |
| (JOG)加減速 | 1000.000 [kHz/s] | 1.000 [s] |  |
| (JOG)起動速度 | 500 [Hz] | 30 [r/min] |  |
| (JOG)運転速度(高) | 5000 [Hz] | 300 [r/min] |  |
| (ZHOME)運転速度 | 5000 [Hz] | 300 [r/min] |  |
| (ZHOME)加減速 | 1000.000 [kHz/s] | 1.000 [s] |  |
| (ZHOME)起動速度 | 500 [Hz] | 30 [r/min] |  |
| (HOME)原点復帰方法 | 3センサ | 3センサ |  |
| (HOME)原点復帰開始方向 | +側 | +側 |  |
| (HOME)原点復帰加減速 | 1000.000 [kHz/s] | 1.000 [s] |  |
| (HOME)原点復帰運転速度 | 500 [Hz] | 30 [r/min] |  |
| (HOME)原点復帰運転速度 | 1000 [Hz] | 60 [r/min] |  |
| (HOME)原点復帰原点検出速度 | 500 [Hz] | 30 [r/min] |  |
| (HOME)原点復帰SLITセンサ検出 | 無効 | 無効 |  |
| (HOME)原点復帰TIM・2SG信号検出 | 無効 | 無効 |  |
| (HOME)原点復帰オフセット | 0 [step] | 0.000 [rev] |  |
| (HOME)2センサ原点復帰残り量 | 500 [step] | 0.500 [rev] |  |
| (HOME)1方向の原点復帰移動量 | 500 [step] | 0.500 [rev] |  |
| (HOME)押し当て原点復帰運転電流 | 100.0 [%] | 100.0 [%] |  |
| (HOME)押し当て原点復帰加減速量 | 0 [step] | 0.000 [rev] |  |
| (HOME)押し当て原点復帰Push終了時間 | 200 [ms] | 0.200 [ms] |  |
| (HOME)押し当て原点復帰残り量 | 500 [step] | 0.500 [rev] |  |

#### 関連するパラメータ
| MEXE02ツリー表示 | パラメータ名 | 内容 | 初期値 |
| :--- | :--- | :--- | :--- |
| モーター・機構 | 機構保護パラメータ設定 | 機構保護パラメータのABZO設定を無効にします。<br>【設定範囲】0: ABZO設定に従う 1: 無効化する | 0 |
</contents>
