ファイル名: HM-60252J_page167

<overview>
本ページは「信号一覧」の表で構成されています。ページ全体は表形式で、割付No.、信号名、機能の3列からなり、信号名ごとに対応する機能説明が記載されています。テキストやグラフはなく、表のみで情報が整理されています。
</overview>

<contents>
### 表
#### 信号一覧

| 割付No. | 信号名       | 機能                                                                                   |
|---------|--------------|----------------------------------------------------------------------------------------|
| 55      | RV-JOG-C_R   |                                                                                        |
| 56      | FW-POS_R     |                                                                                        |
| 57      | RV-POS_R     |                                                                                        |
| 58      | FW-SPD_R     |                                                                                        |
| 59      | RV-SPD_R     |                                                                                        |
| 60      | FW-PSH_R     |                                                                                        |
| 61      | RV-PSH_R     |                                                                                        |
| 64      | M0_R         |                                                                                        |
| 65      | M1_R         |                                                                                        |
| 66      | M2_R         |                                                                                        |
| 67      | M3_R         |                                                                                        |
| 68      | M4_R         |                                                                                        |
| 69      | M5_R         |                                                                                        |
| 70      | M6_R         |                                                                                        |
| 71      | M7_R         |                                                                                        |
| 75      | TEACH_R      |                                                                                        |
| 76      | MON-REQ0_R   |                                                                                        |
| 77      | MON-REQ1_R   |                                                                                        |
| 78      | MON-CLK_R    |                                                                                        |
| 79      | PLSM-REQ_R   |                                                                                        |
| 80      | R0_R         |                                                                                        |
| 81      | R1_R         |                                                                                        |
| 82      | R2_R         |                                                                                        |
| 83      | R3_R         |                                                                                        |
| 84      | R4_R         |                                                                                        |
| 85      | R5_R         |                                                                                        |
| 86      | R6_R         |                                                                                        |
| 87      | R7_R         |                                                                                        |
| 88      | R8_R         |                                                                                        |
| 89      | R9_R         |                                                                                        |
| 90      | R10_R        |                                                                                        |
| 91      | R11_R        |                                                                                        |
| 92      | R12_R        |                                                                                        |
| 93      | R13_R        |                                                                                        |
| 94      | R14_R        |                                                                                        |
| 95      | R15_R        |                                                                                        |
| 128     | CONST-OFF    | 常時OFFを出力します。                                                                   |
| 129     | ALM-A        | ドライバのアラーム状態を出力します（A接点）。                                         |
| 130     | ALM-B        | ドライバのアラーム状態を出力します（B接点）。                                         |
| 131     | SYS-RDY      | ドライバの制御電源を投入すると出力されます。                                           |
| 132     | READY       | ドライバの運転準備が完了したときに出力されます。                                       |
| 133     | PLS-RDY     | パルス入力が有効となったときに出力されます。                                           |
| 134     | MOVE        | モーターが動作中のときに出力されます。                                                 |
| 135     | INFO        | ドライバのインフォメーション状態を出力します。                                         |
| 136     | SYS-BSY     | ドライバが内部処理状態のときに出力されます。                                           |
| 137     | ETO-MON     | HWTO1入力またはHWTO2入力がOFFになってから、モーターが励磁されるまでの間、出力されます。 |
| 138     | IN-POS      | 位置決め運転が完了したときに出力されます。                                             |
| 140     | TLC         | 出力トルクが上限値に到達すると出力されます。                                           |
| 141     | VA          | 運転速度が目標速度に到達すると出力されます。                                           |
| 142     | CRNT        | モーターが励磁しているときに出力されます。                                             |
| 143     | AUTO-CD     | オートカレントダウン状態のときに出力されます。                                         |

**備考:**  
- 割付No.は信号の番号を示す。  
- 信号名は各信号の識別名。  
- 機能欄には信号の動作や状態に関する説明が記載されている。  
- 一部の信号は機能説明が空欄であるが、入力信号に対する応答を出力する信号群であることが示唆されている。
</contents>
