ファイル名: HM-60252J_page455

<overview>
このページは「アラームとインフォメーション」セクションに属し、主に表形式で構成されています。内容は「ETO・Alarm・Info設定」に関するパラメータ一覧で、各パラメータ名、説明（発生条件や設定範囲）、および初期値が示されています。テキスト部分はパラメータの説明文で、表部分が中心です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### ETO・Alarm・Info設定パラメータ一覧

| パラメータ名 | 内容 | 初期値 |
| :--- | :--- | :---: |
| ドライバ温度インフォメーション (INFO-DRV_TMP) | ドライバ温度インフォメーションの発生条件を設定。<br>【設定範囲】40～85℃ | 85 |
| モーター温度インフォメーション (INFO-MTR_TMP) | モーター温度インフォメーションの発生条件を設定。<br>【設定範囲】40～120℃ | 85 |
| 過電圧インフォメーション (INFO-OVOLT) [ACドライバ] | 過電圧インフォメーションの発生条件を設定。[AC電源ドライバのみ]<br>【設定範囲】120～450V | 435 |
| 不足電圧インフォメーション (INFO-UVOLT) [ACドライバ] | 不足電圧インフォメーションの発生条件を設定。[AC電源ドライバのみ]<br>【設定範囲】120～280V | 120 |
| 過電圧インフォメーション (INFO-OVOLT) [DCドライバ] | 過電圧インフォメーションの発生条件を設定。[DC電源ドライバのみ]<br>【設定範囲】150～630 (1=0.1V) | 630 |
| 不足電圧インフォメーション (INFO-UVOLT) [DCドライバ] | 不足電圧インフォメーションの発生条件を設定。[DC電源ドライバのみ]<br>【設定範囲】150～630 (1=0.1V) | 180 |
| 過負荷時間インフォメーション (INFO-OLTIME) | 過負荷時間インフォメーションの発生条件を設定。<br>【設定範囲】1～300 (1=0.1秒) | 50 |
| 速度インフォメーション (INFO-SPD) | 速度インフォメーションの発生条件を設定。<br>【設定範囲】0:無効、1～12,000 r/min | 0 |
| 積算負荷0インフォメーション (INFO-CULD0) | 積算負荷0インフォメーションの発生条件を設定。<br>【設定範囲】0～2,147,483,647 | 0 |
| 積算負荷1インフォメーション (INFO-CULD1) | 積算負荷1インフォメーションの発生条件を設定。<br>【設定範囲】0～2,147,483,647 | 0 |
| 積算負荷自動クリア | 運転開始時に積算負荷をクリアする設定。<br>【設定範囲】0:クリアしない、1:クリアする | 1 |
| 積算負荷除数 | 積算負荷の除数を設定。<br>【設定範囲】1～32,767 | 1 |
| TRIPメーターインフォメーション (INFO-TRIP) | TRIPメーターインフォメーションの発生条件を設定。<br>【設定範囲】0:無効、1～2,147,483,647 (1=0.1 kRev) | 0 |

</contents>
